Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image,Permalink
Cannes Lions,2020,AUDIO-RADIO,RADIO RECLINER,BRIDGE SENIOR LIVING,LUCKIE,Use of Radio or Audio as a Medium,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/d36214d8845b41b698f15d404d4920b6/storyboard_000008.jpg,/awards/canneslions/2020/campaigns/radio-recliner-bridge-senior-living-luckie-2020/
Cannes Lions,2020,AUDIO-RADIO,THE HY PROJECT,TOYOTA,THE ELECTRIC FACTORY,Automotive,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/84ee8a774eb54389af833c3d5756ebcf,/awards/canneslions/2020/campaigns/the-hy-project-toyota-the-electric-factory-2020/
Cannes Lions,2020,AUDIO-RADIO,BONNIE BAM (70),LUFTHANSA,KOLLE REBBE PART OF ACCENTURE INTERACTIVE,Travel & Leisure,Bronze,https://images.ctfassets.net/8ha5xom4da7e/HHC8rICbjMxbx6eDreIds/c7b569e03ca6b3f3521da11e51a3d198/audio-yellow.svg,/awards/canneslions/2020/campaigns/bonnie-bam-70-lufthansa-kolle-rebbe-part-of-accenture-interactive-2020/
Cannes Lions,2020,AUDIO-RADIO,VOICES OF BRUSSELS,BRUSSELS PUBLIC TRANSPORT,MORTIERBRIGADE,Travel & Leisure,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/d66babb20e8d467c96190775ebc135a3/storyboard_000008.jpg,/awards/canneslions/2020/campaigns/voices-of-brussels-brussels-public-transport-mortierbrigade-2020/
Cannes Lions,2020,AUDIO-RADIO,THE HY PROJECT,TOYOTA,THE ELECTRIC FACTORY,Use of Audio Technology,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/b84a6a00be7d4f42ac1a18e3d13bf7f5/storyboard_000008.jpg,/awards/canneslions/2020/campaigns/the-hy-project-toyota-the-electric-factory-2020-2/
Cannes Lions,2020,AUDIO-RADIO,MY CARER,ALZHEIMER'S SOCIETY,MRM GERMANY,Use of Audio Technology,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/e37faab08f014b8ca7ae04807ad48d91/storyboard_000008.jpg,/awards/canneslions/2020/campaigns/my-carer-alzheimers-society-mrm-germany-2020/
Cannes Lions,2020,AUDIO-RADIO,THE CALL,EMPOWHER NY,THE BLOC,Social Behaviour,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/1c7a77cf850b4a4d90606967dceeac82/storyboard_000008.jpg,/awards/canneslions/2020/campaigns/the-call-empowher-ny-the-bloc-2020/
Cannes Lions,2020,AUDIO-RADIO,FOR SEASONS - COMPOSED BY CLIMATE DATA,NDR ELBPHILHARMONIE ORCHESTRA HAMBURG,MARKENFILM CROSSING,Corporate Purpose & Social Responsibility,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/8cf770e4536041f8b0d8a6737f027a78/storyboard_000008.jpg,/awards/canneslions/2020/campaigns/for-seasons-composed-by-climate-data-ndr-elbphilharmonie-orchestra-hamburg-markenfilm-crossing-2020/
Cannes Lions,2020,AUDIO-RADIO,RADIO RECLINER,BRIDGE SENIOR LIVING,LUCKIE,Corporate Purpose & Social Responsibility,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/d36214d8845b41b698f15d404d4920b6/storyboard_000008.jpg,/awards/canneslions/2020/campaigns/radio-recliner-bridge-senior-living-luckie-2020-2/
Cannes Lions,2020,AUDIO-RADIO,MARMITE X FOSTERS,UNILEVER,adam&eveDDB,Food & Drink,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/77ce22ca10f64c479a2d53c31d116a0c,/awards/canneslions/2020/campaigns/marmite-x-fosters-unilever-adam-and-eveddb-2020/
