Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,SAFETYFORSAFEKEEPERS- BAKLAVA GOT LEGS,ABAAD RESOURCE CENTER FOR GENDER EQUALITY,LEO BURNETT,Not-for-profit & Charity & Government,Gold,https://cdn.filespin.io/api/v1/storyboard/d68898d375a84d3e93c91ab7298dcc65/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,STAYHOME,AL FUTTAIM HONDA,MEMAC OGILVY,Breakthrough on a Budget,Gold,https://cdn.filespin.io/api/v1/storyboard/3ed9727f8feb4836b5c375279b89ab3c/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOW TO GROW RICH DURING THE PANDEMIC,ENBD,LEO BURNETT,Corporate Social Responsibility (CSR) & Corporate Image,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/ee7038540278403ca71966c0c577d269
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GHOST PEPPER TWISTER,KFC,TBWA\RAAD,Travel Leisure Retail Restaurants & Fast Food Chains,Silver,https://cdn.filespin.io/api/v1/storyboard/0a727a6ac4c649bf9547411840c6ae76/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOHOS TACTICALS | A WHOLE NEW ROLL | COFFEE SHOP,EDITA,ELEPHANT,Fast Moving Consumer Goods,Bronze,https://cdn.filespin.io/api/v1/storyboard/7254a020d6404b6595ecf700bb03bdbe/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,STAYHOME,AL FUTTAIM HONDA,MEMAC OGILVY,Durable Consumer Goods including Automotive,Bronze,https://cdn.filespin.io/api/v1/storyboard/3ed9727f8feb4836b5c375279b89ab3c/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,SPIDER,AL FUTTAIM IKEA,MEMAC OGILVY,Fast Moving Consumer Goods,Bronze,https://cdn.filespin.io/api/v1/storyboard/db2c15107ce94c0e8a0bbc465609c393/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GEESE,AL FUTTAIM IKEA,MEMAC OGILVY,Fast Moving Consumer Goods,Bronze,https://cdn.filespin.io/api/v1/storyboard/f65616071127425581583f57aba0fb7b/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,A DADS JOB,HOME CENTRE,HOME CENTRE,Travel Leisure Retail Restaurants & Fast Food Chains,Bronze,https://cdn.filespin.io/api/v1/storyboard/10ffda2d66fd43938ef6d067cbfe88ac/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOHOS TACTICALS | A WHOLE NEW ROLL | TEACHER,EDITA,ELEPHANT,Fast Moving Consumer Goods,Shortlist,https://cdn.filespin.io/api/v1/storyboard/429638f1b32049b8afc92e77f5876621/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,KITCHEN,HOME CENTRE,HOME CENTRE,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://cdn.filespin.io/api/v1/storyboard/84f8e939b56b4f32b15358c4395c96eb/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,ANT,AL FUTTAIM IKEA,MEMAC OGILVY,Fast Moving Consumer Goods,Shortlist,https://cdn.filespin.io/api/v1/storyboard/0d336a1945b44776845b960837b52739/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOOPOE,AL FUTTAIM IKEA,MEMAC OGILVY,Fast Moving Consumer Goods,Shortlist,https://cdn.filespin.io/api/v1/storyboard/854580a1f9834c0fa03a5d1bc3a02104/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOHOS TACTICALS | A WHOLE NEW ROLL | COFFEE SHOP,EDITA,ELEPHANT,Fast Moving Consumer Goods,Shortlist,https://cdn.filespin.io/api/v1/storyboard/7254a020d6404b6595ecf700bb03bdbe/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOHOS TACTICALS | A WHOLE NEW ROLL | TEACHER,EDITA,ELEPHANT,Fast Moving Consumer Goods,Shortlist,https://cdn.filespin.io/api/v1/storyboard/429638f1b32049b8afc92e77f5876621/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,DEAR NEIGHBOR,BOSE,WUNDERMAN THOMPSON,Durable Consumer Goods including Automotive,Shortlist,https://cdn.filespin.io/api/v1/storyboard/ce0be5c14e214349a73992b6c9b122b0/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,STAYHOME,AL FUTTAIM HONDA,MEMAC OGILVY,Durable Consumer Goods including Automotive,Shortlist,https://cdn.filespin.io/api/v1/storyboard/3ed9727f8feb4836b5c375279b89ab3c/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,LIGHTS ON,NETFLIX,SCIENCE & SUNSHINE,Media & Entertainment,Shortlist,https://cdn.filespin.io/api/v1/storyboard/b1721afee16a4d99bb8e25255eecfc06/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOW TO GROW RICH DURING THE PANDEMIC,ENBD,LEO BURNETT,Corporate Social Responsibility (CSR) & Corporate Image,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/ee7038540278403ca71966c0c577d269
