Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image,Permalink
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,AS GOOD AS THE ORIGINAL,BURGER KING KUWAIT,M&C SAATCHI,Travel Leisure Retail Restaurants & Fast Food Chains,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/97edf15edc0b40b1b17de251957384f2/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/as-good-as-the-original-burger-king-kuwait-m-and-c-saatchi-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BASED ON TRUE STORIES,TIKTOK FOR BUSINESS,TIKTOK FOR BUSINESS,Screens & Events,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/86fd42c7bccf4069aa6dc3147fb6889f/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/based-on-true-stories-tiktok-for-business-tiktok-for-business-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE RIGHT TO POWER 47 SECONDS,LOGI ENERGY,SAATCHI & SAATCHI ME,Breakthrough on a Budget,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/5da75918a771489fa2d670ccc4407837/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-right-to-power-47-seconds-logi-energy-saatchi-and-saatchi-me-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,HEINEKEN CLEANERS,HEINEKEN CLEANERS,GOOD PEOPLE FILMS,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/5e4360a44e32484f83c0eb61fdd80bf2/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/heineken-cleaners-heineken-cleaners-good-people-films-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,DIRTY LAUNDRY - NO SHAME NO BLAME,ABAAD RESOURCE CENTER FOR GENDER EQUALITY,LEO BURNETT,Not-for-profit & Charity & Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/dbebbf51a61d4515b63f227794a6f623/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/dirty-laundry-no-shame-no-blame-abaad-resource-center-for-gender-equality-leo-burnett-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BLAST TO THE PAST,HUNGERSTATION,WUNDERMAN THOMPSON,Social Behaviour & Cultural Insight,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/3401e7e93a3d4f36bed14dd396f4d479/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/blast-to-the-past-hungerstation-wunderman-thompson-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,MOLTO FINO,MOLTO,GOOD PEOPLE FILMS,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/03009b6cbb934f6383a481a7444dfde9/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/molto-fino-molto-good-people-films-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,NAGWA GORILLA,NAGWA,GOOD PEOPLE FILMS,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/f21eed860e854b8aac7b738ba95ca105/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/nagwa-gorilla-nagwa-good-people-films-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,NAGWA SQUIRREL,NAGWA,GOOD PEOPLE FILMS,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/bc826c23ec134aeeb841af8aa7633f2a/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/nagwa-squirrel-nagwa-good-people-films-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SORRY YOU COULDNT MAKE IT (THE WORLD CUP),BURGER KING KUWAIT,M&C SAATCHI,Travel Leisure Retail Restaurants & Fast Food Chains,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/9eb843146fcd4e7b94f796fe013afe88/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/sorry-you-couldnt-make-it-the-world-cup-burger-king-kuwait-m-and-c-saatchi-2023/
