Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Dubai Lynx,2024,MEDIA ENTERTAINMENT,RUMBLE,GENERAL ENTERTAINMENT AUTHORITY,ACCENTURE SONG,Media & Entertainment,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/66748388f50d47c69b1ec6f6a64322bd/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,LIPTON - DITCH THE GLITCH,LIPTON TEA,DDB EGYPT,Social Behaviour & Cultural Insight,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/80450f2255fc47889141cf60d43ad75d/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,THE CREATURE,HOME CENTRE,LEO BURNETT,Social Behaviour & Cultural Insight,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/244150c47afb429395b163e75182ac00/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,THE PROTECTIVE RHYMES,ANGHAMI,LEO BURNETT,Branded Content & Entertainment Film,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/be9c8a8c39e148e9be381ace9e1fa1bd
Dubai Lynx,2024,MEDIA ENTERTAINMENT,JUMP,NBA,LEO BURNETT,Branded Content & Entertainment Film,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/b31d8484997a4881bc7a4b483f22cbfd/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,FEAR,DOSY,LEO BURNETT,Single Market Campaign,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/f86649a6458340a8b98408bbea09bb8b/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,WEGO DONT LET YOUR WINTER BREAK BECOME A NIGHTMARE,WEGO,M&C SAATCHI,Travel Leisure Retail Restaurants & Fast Food Chains,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/74568212e6da4e609e39b8a00ba43fae/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,SLOW DOWN,CADILLAC,SAATCHI & SAATCHI ME,Challenger Brand,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/9512fca2b58a446fa14d7c1d97c28c6a/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,ORANGE - WHATEVER IS LUCKY,ORANGE EGYPT FOR TELECOMMUNICATIONS,TAREK NOUR ADVERTISING,Social Behaviour & Cultural Insight,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/53b7dc9f9cf84088b33c00562f34fa4e/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,MADINET MASR - TOUBA - THINGS YOU DO FOR DEBT,TOUBA,IMPACT BBDO,Social Behaviour & Cultural Insight,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/5cd691190e3244e9a9ccc5b58aa5bb21/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,FEAR,DOSY,LEO BURNETT,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/f86649a6458340a8b98408bbea09bb8b/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,DAY OF RECKONING,RIYADH SEASON,BIGTIME CREATIVE SHOP,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/465e318544324abdb0d04fc2d682c4e6/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,THE CREATURE,HOME CENTRE,LEO BURNETT,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/244150c47afb429395b163e75182ac00/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,QIDDIYA - BRAND RELAUNCH CAMPAIGN,QIDDIYA,ACCENTURE SONG,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/8e366dba1264421e9e03f439b5786af9/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,CHICKEN & EGG,INVEST NOW PAY LATER,IN COMMUNICATIONS,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/f7061ceea8cc49659ae694c177b89e68/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,AL-FUTTAIM IKEA MONSTERS INCLUDED,AL-FUTTAIM IKEA,MEMAC OGILVY,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/f2847945fcc54db49bed76c1da017469/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,DAY OF RECKONING,RIYADH SEASON,BIGTIME CREATIVE SHOP,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/465e318544324abdb0d04fc2d682c4e6/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,A TALE AS OLD AS TIME,RIYADH SEASON,BIGTIME CREATIVE SHOP,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5c9e75c59b8e412099e5ee1db0585e1f/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,WEGO DONT LET YOUR WINTER BREAK BECOME A NIGHTMARE,WEGO,M&C SAATCHI,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/74568212e6da4e609e39b8a00ba43fae/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,THE CREATURE,HOME CENTRE,LEO BURNETT,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/244150c47afb429395b163e75182ac00/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,JUMP,NBA,LEO BURNETT,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b31d8484997a4881bc7a4b483f22cbfd/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,QIDDIYA - BRAND RELAUNCH CAMPAIGN,QIDDIYA,ACCENTURE SONG,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/8e366dba1264421e9e03f439b5786af9/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,WALL,SMILES,SAATCHI & SAATCHI ME,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/06381f1d75964d50b4c614b870b2a327/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,AL-FUTTAIM IKEA MONSTERS INCLUDED,AL-FUTTAIM IKEA,MEMAC OGILVY,Social Behaviour & Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/745c46c86f1e41cc9dc6e6a48ff3525d/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,TRIBUTE TO EL SHARNOUBY,RIYADH SEASON,BIGTIME CREATIVE SHOP,Social Behaviour & Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5fae28a3a2b8461e906552560939eb6a/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,FEAR,DOSY,LEO BURNETT,Social Behaviour & Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/f86649a6458340a8b98408bbea09bb8b/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,ORIGINAL COPIES,JEEP,PUBLICIS MIDDLE EAST,Breakthrough on a Budget,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4b2fc920a3164d5e8fb6fa2d5bc66627/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,JUMP,NBA,LEO BURNETT,Corporate Purpose & Social Responsibility,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b31d8484997a4881bc7a4b483f22cbfd/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,DRIVEN BY DREAMS,PORCSHE,PHENOMENA,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/484705919a9b46f0a906bf4d34fc3a37/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,CINEMA,COCA-COLA,VML,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/b01ba009e3a247d987f6195c258fb728/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,DELIVERY,COCA-COLA,VML,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/a9cc64256fb94f0eb039272a27992cf5/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,DRY CLEAN,COCA-COLA,VML,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/2d8d655d350c4f60a77d5682f31ee4ed/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,OFFICE,RABBIT,IMPACT BBDO,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e6742b7c90244d74b606b964540d55b6/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,HOME,RABBIT,IMPACT BBDO,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/781dea25066248ef80fb2e71a371753c/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,MOBIL - THE POWER OF US,MOBIL,IMPACT BBDO,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/6c44bb396b944e89a681d5806aa6bde9/storyboard_000008.jpg
Dubai Lynx,2024,MEDIA ENTERTAINMENT,ROYAL AIR MAROC / DREAM AFRICA MEET MOROCCO,ROYAL AIR MAROC,ROYAL AIR MAROC,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/50e57d1466e84a90bb5855a02aa51988/storyboard_000008.jpg
