Festival,Year,Track,Title,Brand,Agency,Agency contributing,Award
Effie Argentina,2025,Accesorios para Vehiculos,No es lo mismo ser Shell que La Shell,Shell,Don by Havas,,Shortlist
Effie Argentina,2025,Accesorios para Vehiculos,Te Leo Messi,YPF,Mercado McCann,Virgen Films,Shortlist
Effie Argentina,2025,Alimentos,Helado helado,Helados Arcor,Vendaval Agency,,Shortlist
Effie Argentina,2025,Bajo presupuesto - Servicios,AQuA es mAs halloween,Parque de la Costa,TombrasNiAa,,Shortlist
Effie Argentina,2025,Bajo presupuesto - Servicios,Si te tocas hacelo bien,Pura Vida ONG,diPaola Argentina,,Shortlist
Effie Argentina,2025,Bebidas sin alcohol,Juntos en todas,Coca-Cola,Grey Argentina,,Shortlist
Effie Argentina,2025,Bebidas sin alcohol,Madres,7UP,Isla,Landia,Shortlist
Effie Argentina,2025,Bebidas sin alcohol,El código Dove,Dove,Droga5 SAo Paulo e Initiative Argentina,VML - Medialab,Shortlist
Effie Argentina,2025,Bebidas sin alcohol,El sexo reactiva la economAa,TulipAn,Zurda Agency,Retina,Shortlist
Effie Argentina,2025,Bebidas sin alcohol,Hidratando el algoritmo,CeraVe,Wild Fi,Publicis Argentina,Shortlist
Effie Argentina,2025,Branded Content,Quieren Rock,Quilmes,draftLine BUE,,Shortlist
Effie Argentina,2025,Branded Content,The Good Hacker,ICBC,VML,,Shortlist
Effie Argentina,2025,Customer experience,Manual de instrucciones,YPF,Mercado McCann,Virgen Films,Shortlist
Effie Argentina,2025,Customer experience,Full fandom pistacho,YPF,Ninch Communication Company,,Shortlist
Effie Argentina,2025,Customer experience,Mini rooms,Motorola,Newsan,Quiroga,Shortlist
Effie Argentina,2025,Customer experience,Toda tu piel importa,Dove,VML e Initiative Argentina,Mercado ads - Medialab,Shortlist
Effie Argentina,2025,Engaged community,Alfajor Secreto,Grido,Lanzallamas,,Shortlist
Effie Argentina,2025,Engaged community,Calles BA Trap,Mercado Libre,Gut,The Movement By Landia - UM Mediabrands,Shortlist
Effie Argentina,2025,Engaged community,CamiA3n dorado,YPF,Isla,Rebolucion,Shortlist
Effie Argentina,2025,Engaged community,RAD mototemAticos,YPF,Zurda Agency,Sentidos - Argentina Cine,Shortlist
Effie Argentina,2025,Engaged community,Todos los cuerpos son de verano,Dove,VML y Media Lab Agency,Initiative Argentina,Shortlist
Effie Argentina,2025,Axito Sostenido,Conectar con responsabilidad,Movistar,VML,Havas Plus,Shortlist
Effie Argentina,2025,Axito Sostenido,ICBC El poder de una marca que dice SA,ICBC,Don by Havas,VML,Shortlist
Effie Argentina,2025,Axito Sostenido,Mi paAs mi plata mi plataforma,Mercado Pago,Gut,UM Mediabrands,Shortlist
Effie Argentina,2025,Axito Sostenido,Tierras - Axito sostenido,ICBC,Centralia Media Content,Paramount Argentina,Shortlist
