Festival,Year,Track,Title,Brand,Agency,Agency contributing,Award,Permalink
Effie Argentina,2025,Accesorios para Vehiculos,No es lo mismo ser Shell que La Shell,Shell,Don by Havas,,Shortlist,/awards/effie_argentina/2025/campaigns/no-es-lo-mismo-ser-shell-que-la-shell-shell-don-by-havas-2025/
Effie Argentina,2025,Accesorios para Vehiculos,Te Leo Messi,YPF,Mercado McCann,Virgen Films,Shortlist,/awards/effie_argentina/2025/campaigns/te-leo-messi-ypf-mercado-mccann-2025/
Effie Argentina,2025,Alimentos,Helado helado,Helados Arcor,Vendaval Agency,,Shortlist,/awards/effie_argentina/2025/campaigns/helado-helado-helados-arcor-vendaval-agency-2025/
Effie Argentina,2025,Bajo presupuesto - Servicios,AQuA es mAs halloween,Parque de la Costa,TombrasNiAa,,Shortlist,/awards/effie_argentina/2025/campaigns/aqua-es-mas-halloween-parque-de-la-costa-tombrasniaa-2025/
Effie Argentina,2025,Bajo presupuesto - Servicios,Si te tocas hacelo bien,Pura Vida ONG,diPaola Argentina,,Shortlist,/awards/effie_argentina/2025/campaigns/si-te-tocas-hacelo-bien-pura-vida-ong-dipaola-argentina-2025/
Effie Argentina,2025,Bebidas sin alcohol,Juntos en todas,Coca-Cola,Grey Argentina,,Shortlist,/awards/effie_argentina/2025/campaigns/juntos-en-todas-coca-cola-grey-argentina-2025/
Effie Argentina,2025,Bebidas sin alcohol,Madres,7UP,Isla,Landia,Shortlist,/awards/effie_argentina/2025/campaigns/madres-7up-isla-2025/
Effie Argentina,2025,Bebidas sin alcohol,El código Dove,Dove,Droga5 SAo Paulo e Initiative Argentina,VML - Medialab,Shortlist,/awards/effie_argentina/2025/campaigns/el-codigo-dove-dove-droga5-sao-paulo-e-initiative-argentina-2025/
Effie Argentina,2025,Bebidas sin alcohol,El sexo reactiva la economAa,TulipAn,Zurda Agency,Retina,Shortlist,/awards/effie_argentina/2025/campaigns/el-sexo-reactiva-la-economaa-tulipan-zurda-agency-2025/
Effie Argentina,2025,Bebidas sin alcohol,Hidratando el algoritmo,CeraVe,Wild Fi,Publicis Argentina,Shortlist,/awards/effie_argentina/2025/campaigns/hidratando-el-algoritmo-cerave-wild-fi-2025/
Effie Argentina,2025,Branded Content,Quieren Rock,Quilmes,draftLine BUE,,Shortlist,/awards/effie_argentina/2025/campaigns/quieren-rock-quilmes-draftline-bue-2025/
Effie Argentina,2025,Branded Content,The Good Hacker,ICBC,VML,,Shortlist,/awards/effie_argentina/2025/campaigns/the-good-hacker-icbc-vml-2025/
Effie Argentina,2025,Customer experience,Manual de instrucciones,YPF,Mercado McCann,Virgen Films,Shortlist,/awards/effie_argentina/2025/campaigns/manual-de-instrucciones-ypf-mercado-mccann-2025/
Effie Argentina,2025,Customer experience,Full fandom pistacho,YPF,Ninch Communication Company,,Shortlist,/awards/effie_argentina/2025/campaigns/full-fandom-pistacho-ypf-ninch-communication-company-2025/
Effie Argentina,2025,Customer experience,Mini rooms,Motorola,Newsan,Quiroga,Shortlist,/awards/effie_argentina/2025/campaigns/mini-rooms-motorola-newsan-2025/
Effie Argentina,2025,Customer experience,Toda tu piel importa,Dove,VML e Initiative Argentina,Mercado ads - Medialab,Shortlist,/awards/effie_argentina/2025/campaigns/toda-tu-piel-importa-dove-vml-e-initiative-argentina-2025/
Effie Argentina,2025,Engaged community,Alfajor Secreto,Grido,Lanzallamas,,Shortlist,/awards/effie_argentina/2025/campaigns/alfajor-secreto-grido-lanzallamas-2025/
Effie Argentina,2025,Engaged community,Calles BA Trap,Mercado Libre,Gut,The Movement By Landia - UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/calles-ba-trap-mercado-libre-gut-2025/
Effie Argentina,2025,Engaged community,CamiA3n dorado,YPF,Isla,Rebolucion,Shortlist,/awards/effie_argentina/2025/campaigns/camia3n-dorado-ypf-isla-2025/
Effie Argentina,2025,Engaged community,RAD mototemAticos,YPF,Zurda Agency,Sentidos - Argentina Cine,Shortlist,/awards/effie_argentina/2025/campaigns/rad-mototematicos-ypf-zurda-agency-2025/
Effie Argentina,2025,Engaged community,Todos los cuerpos son de verano,Dove,VML y Media Lab Agency,Initiative Argentina,Shortlist,/awards/effie_argentina/2025/campaigns/todos-los-cuerpos-son-de-verano-dove-vml-y-media-lab-agency-2025/
Effie Argentina,2025,Axito Sostenido,Conectar con responsabilidad,Movistar,VML,Havas Plus,Shortlist,/awards/effie_argentina/2025/campaigns/conectar-con-responsabilidad-movistar-vml-2025/
Effie Argentina,2025,Axito Sostenido,ICBC El poder de una marca que dice SA,ICBC,Don by Havas,VML,Shortlist,/awards/effie_argentina/2025/campaigns/icbc-el-poder-de-una-marca-que-dice-sa-icbc-don-by-havas-2025/
Effie Argentina,2025,Axito Sostenido,Mi paAs mi plata mi plataforma,Mercado Pago,Gut,UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/mi-paas-mi-plata-mi-plataforma-mercado-pago-gut-2025/
Effie Argentina,2025,Axito Sostenido,Tierras - Axito sostenido,ICBC,Centralia Media Content,Paramount Argentina,Shortlist,/awards/effie_argentina/2025/campaigns/tierras-axito-sostenido-icbc-centralia-media-content-2025/
Effie Argentina,2025,Axito Sostenido,ManA lord of the king,ManA King,Infinity Media,MAS Investigación,Shortlist,/awards/effie_argentina/2025/campaigns/mana-lord-of-the-king-mana-king-infinity-media-2025/
Effie Argentina,2025,Axito Sostenido,Boxed ads,Mercado Libre,Gut,UM Mediabrands,Shortlist,/awards/effie_argentina/2025/campaigns/boxed-ads-mercado-libre-gut-2025/
Effie Argentina,2025,Axito Sostenido,El Juego del Calamar 2,Netflix,Febrero,Dentsu Argentina,Shortlist,/awards/effie_argentina/2025/campaigns/el-juego-del-calamar-2-netflix-febrero-2025/
Effie Argentina,2025,Axito Sostenido,El poder de la dulzura,Axe,Catch e Initiative,Amaze,Shortlist,/awards/effie_argentina/2025/campaigns/el-poder-de-la-dulzura-axe-catch-e-initiative-2025/
Effie Argentina,2025,Axito Sostenido,Mundial de clubes,Quilmes,draftLine BUE,,Shortlist,/awards/effie_argentina/2025/campaigns/mundial-de-clubes-quilmes-draftline-bue-2025/
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,LudopatAa digital,Movistar,VML,Faro Digital - Havas Plus,Shortlist,/awards/effie_argentina/2025/campaigns/ludopataa-digital-movistar-vml-2025/
Effie Argentina,2025,Impacto positivo - Concientización y educación sobre enfermedades,Toda tu piel importa,Dove,VML e Initiative Argentina,Mercado ads - Medialab,Shortlist,/awards/effie_argentina/2025/campaigns/toda-tu-piel-importa-dove-vml-e-initiative-argentina-2025-2/
