Festival,Year,Track,Title,Brand,Agency,Contributing_Agencies,Category,Country,Award Level
Effie Awards Latam,2025,Single-Market,ShellBox como piloto del viaje a la nostalgia,Shell,Don by Havas,,Vehicles accessories,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Tienda de Inconveniencia,Vibra,PROS,Wado Gonçalves / Diego Ognibeni,Vehicles accessories,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Lays Natural desde el campo hasta el paquete,Lay s,AlmapBBDO,Ampfy,Food,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,BK - No LaBK,Burger King,AlmapBBDO,Jotacom / Streetwise,Food,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Hellmanns + Pedrito Sola otra oportunidad,Hellmanns,Initiative México,Épica,Food,México,Shortlist
Effie Awards Latam,2025,Single-Market,UFOAM- cabezas en juego,Nissin,Dentsu Creative,,Food,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,¿Quién carajos comió maní?,Compañía Nacional de Chocolates,Sancho BBDO,,Small budget - Products,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Certificada por el sol,Corona Extra,Gut,,Small budget - Products,México,Shortlist
Effie Awards Latam,2025,Single-Market,Leroy MerlinYour homes offers,Leroy Merlin,MRM,,Small budget - Products,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Pomarolarecetario bailable 100% hecho con AI,Pomarola,Potro,Initiative Media,Small budget - Products,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Tacorcholata,Victoria,Wieden + Kennedy,,Small budget - Products,México,Shortlist
Effie Awards Latam,2025,Single-Market,Por un Perú sin papelones,Paracas,Boost Brand Accelerator,,Small budget - Products,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Priceless walls,Home Vega,Beflamingo Agency,Karina Burgos,Small budget - Products,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Decí fulbo,TaDa,draftLine BUE,,Small budget - Products,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,T-Search,ONG Mães da Sé,Cappuccino,Shotfilmes/Ultrassom Music Ideas/Weber Shandwick (Brasil)/Powell Tate Brazil,Small Budget - Non-profit,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Andina Patrocinador oficial del fútbol NO profesional colombiano,Cerveza Andina,Sancho BBDO y OMD,,Beverages - alcohol,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Sponsor de la suerte,Schneider,Mercado McCann,,Beverages - alcohol,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Steal Artois,Anheuser-Busch InBev,VML,Alta Comunicación/Zenith (Chile),Beverages - alcohol,Chile,Shortlist
Effie Awards Latam,2025,Single-Market,Johnnie Walker - Fuerte son ellas,Johnnie Walker,AlmapBBDO,,Beverages - alcohol,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Eclipsed legacies,Dante Robino (AB InBev),TombrasNiña,,Beverages - alcohol,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Recuérdame viviendo,Victoria,Wieden + Kennedy México,Agencia Montalvo/Zenith MediaTrendsétera de México,Beverages - alcohol,México,Shortlist
Effie Awards Latam,2025,Single-Market,Imagina con petacos,Cerveza Poker,DDB Colombia y Buentipo,,Beverages - alcohol,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,MixMyEmojis la nueva manera de buscar,Pernod Ricard,Dentsu Creative,,Beverages - alcohol,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,En fiestas patrias celebremos nuestras diferencias con eso que nos une,Inca Kola y Arca Continental Lindley,McCann Lima,EssenceMediacom Perú/Burson Perú/VML Perú,Beverages - non alcohol,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Madres,7UP,ISLA,Landia,Beverages - non alcohol,México,Shortlist
Effie Awards Latam,2025,Single-Market,Lo estás haciendo bien,Gloria,Fahrenheit DDB,Starcom - Publicis Groupe,Beverages - non alcohol,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Juntos en todas,Coca-Cola,Grey Argentina,,Beverages - non alcohol,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,¿Y si el daño fuera belleza?,Dove,VML e Initiative Argentina,Paramount +/Mercado ads/Medialab,Beauty & Wellness,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Toda tu piel importa,Dove,VML e Initiative Argentina,Mercado ads/Medialab,Beauty & Wellness,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Un Argentino no te abandona Rexona tampoco,Rexona,Zurda e Initiative Argentina,Medialab/CATCH,Beauty & Wellness,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Clears winning play against Dandruff,Clear y Unilever Brasil,MullenLowe Singapore,,Beauty & Wellness,Singapur,Shortlist
Effie Awards Latam,2025,Single-Market,Newborn parents,Johnsons Baby,UM Brasil,,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,El buen diente,Dento,RT& Lima,MediaHub/Grupo Lucky,Beauty & Wellness,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Wheres ratinhos water?,Unicef,VML,,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,This is not a game,Movistar,VML,Havas Group México,Beauty & Wellness,México,Shortlist
Effie Awards Latam,2025,Single-Market,ElectrocardiogrAMSTEL,Amstel,AlmapBBDO,Iprospect (Brasil)/Agência Lema/Círculo CRM,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Historias de heladera,Hellmanns Argentina,Ogilvy Argentina e Initiative Argentina,Media Lab,Beauty & Wellness,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Me vale Cheetos,Cheetos,Slap Global,,Beauty & Wellness,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Invocando al rey en Halloween,Burger King Puerto Rico,De la Cruz Ogilvy,,Beauty & Wellness,Puerto Rico,Shortlist
Effie Awards Latam,2025,Single-Market,The Good Hacker,ICBC,VML Argentina,,Beauty & Wellness,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,El Himno de Colombia interpretado por su biodiversidadEl símbolo que puso a hablar al país de orgullo,Seguros Sura,sostenibilidad y de Sura de McCann Worldgroup Colombia y UM Universal McCann Colombia,Miguel de Narváez/Craft Colombia/Burson Colombia,Beauty & Wellness,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,La mancha invisible,Reckitt / Vanish,BETC Havas,Lobo/DaHouse Audio/Abrace – Bull/ ing Prevention Institute,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,KitKot,KitKat,Ogilvy Brasil,Media Brands/Allfluencesailor Studio,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Romeo and Juliet by BIC,BIC,VML,Hogarth Worldwide Brasil/Carbono Sound LAB/Bolha/OIO,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Nubanc por Matt LeBlanc,Nubank,Wieden + Kennedy,,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Te amarásLa canción de amor que no sabías que escribiste,Amarás,Marte Creative House y Valor Group,Media Hub/LLYC,Beauty & Wellness,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,El Tinder” de seguros,Contigo Soluciones,Liquid Digital Agency,Ninja SRL/Panamericana/Adelobo Estudio de Sonido,Beauty & Wellness,República Dominicana,Shortlist
Effie Awards Latam,2025,Single-Market,Pomarolarecetario bailable 100% hecho con AI,Pomarola,Potro,Initiative Media,Beauty & Wellness,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Conectamos con lo que nos mueve Ecuador,Movistar,Ogilvy Ecuador - Compañía Rednet Ecuador Ecuarednet S.A,Havas Ecuador,Beauty & Wellness,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Las 7 mujeres la película que desenmascaró al asesino silencioso del VPH,MSD Colombia,McCann Worldgroup Colombia y Weber Shandwick Colombia,Performer S,Beauty & Wellness,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Tierras,ICBC,Centralia Media & Content,Paramount,Beauty & Wellness,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,De la razón al corazón el giro que cambió el vínculo de Santander con las Pymes,Santander,Don by Havas,,Beauty & Wellness,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,La frutería ideal,Leche Evaporada Ideal,McCann Panamá,,Beauty & Wellness,Panamá,Shortlist
Effie Awards Latam,2025,Single-Market,Handy es un hit,Handy,Publicis Impetu,Zenith Media Uruguay,Beauty & Wellness,Uruguay,Shortlist
Effie Awards Latam,2025,Single-Market,Con Aguila Light la lealtad nunca se derrite,Aguila Light,David,,Beauty & Wellness,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Medusa La serie que se auto-censuró,Netflix,Sancho BBDO,Flare BBDO,Beauty & Wellness,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Pedro Sola segunda oportunidad,Hellmanns,Initiative México,Épica,Beauty & Wellness,México,Shortlist
Effie Awards Latam,2025,Single-Market,1 Minuto al corazón,Pingüino,Initiative,,Beauty & Wellness,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Outside book from screens to the sun,Fruittella,VML,Sweet Filmes,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Seguro ficticio ¿Tu personaje favorito se murió? ¡Felicitaciones ganaste!,RCN y Seguros del Estado,DDB Colombia y Multi,,Beauty & Wellness,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,El precio Kimberly Despertando a todo un país para ver marcha atlética de madrugada,plazaVea,Fahrenheit DDB,,Beauty & Wellness,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Latam Airlines - Lady Gaga,Latam Airlines,MRM y WMcCann,Jazz Side/Somos Fans,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Arrepentidos,Entel,McCann Chile,PHD/Meat,Beauty & Wellness,Chile,Shortlist
Effie Awards Latam,2025,Single-Market,Patrocinio boca sucia,CIF,Droga5 São Paulo,Initiative Brasil,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Dove - only available in Brazil,Dove,David Agency y Tastemakers Assessoria De Comunicacao LTDA,Initiative/BR Media Group,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Switch de saboresConfuso hasta probarlas,Switch de Sabores,BBDO México,,Beauty & Wellness,México,Shortlist
Effie Awards Latam,2025,Single-Market,Fiat De un limón una goleada,Fiat,Leo Burnett Tailor Made,Globo Comunicacao e Participacoes,Beauty & Wellness,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Medusa La serie que se auto-censuró,Netflix,Sancho BBDO,Flare BBDO,Media companies & entertainment,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Pedigree Caramelo el mestizo amado de Brasil ahora tiene Pedigree,Pedigree,AlmapBBDO,,Pet care,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Report this ad,Veris,Paradais DDB,,Healthcare,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Glowing relief,Alivia Health,De la Cruz Ogilvy,,Healthcare,Puerto Rico,Shortlist
Effie Awards Latam,2025,Single-Market,El 7 mujeres la película que desenmascaró al asesino silencioso del VPH,MSD Colombia,McCann Worldgroup Colombia y Weber Shandwick Colombia,Performer /Craft Colombia,Healthcare,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Sensodyne limpia placas,Sensodyne,Publicis LeOne,,Healthcare,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Clear the Air,Listerine,UM Brasil (Brasil),Spark,Healthcare,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,La reserva rosa,La Liga Rosa,Rosado Toledo &,mesa 24/7,Healthcare,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,The test list,Grupo Omint,TombrasNiña,,Healthcare,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Realty for gamers,Minutocorp,Garnier BBDO,,Healthcare,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Tacorcholata,Victoria,Wieden + Kennedy,Wieden + Kennedy,Healthcare,México,Shortlist
Effie Awards Latam,2025,Single-Market,Equinox EV,Equinox EV,McCann Worldgroup México,MRM,Healthcare,México,Shortlist
Effie Awards Latam,2025,Single-Market,Promesas absurdas,ASDRA,VML,,Healthcare,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Próxima estación Ikea,Ikea,Havas Hoy,Arena Media,Healthcare,México,Shortlist
Effie Awards Latam,2025,Single-Market,El secreto de la TV como generador de tráfico digital,Mercado Libre,UM,Meet Super/Gut Agency (México),Healthcare,México,Shortlist
Effie Awards Latam,2025,Single-Market,El algoritmo que no entendía a la Gen Z,Tuenti,Havas Group,VML,Healthcare,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Democracia a la carta,La Hija del Pollero,MullenLowe Interamérica,,Healthcare,República Dominicana,Shortlist
Effie Awards Latam,2025,Single-Market,Andina Patrocinador oficial del fútbol NO profesional colombiano,Cerveza Andina,Sancho BBDO y OMD,,Healthcare,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Algoritmos,Tuenti,VML Argentina,Havas Group,Healthcare,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Domicilios con descuentos,TaDa y Cervepar,Wild Fi,Renovatio Films,Direct to consumer,Paraguay,Shortlist
