Festival,Year,Track,Title,Brand,Agency,Contributing_Agencies,Category,Country,Award Level,Permalink
Effie Awards Latam,2025,Single-Market,ShellBox como piloto del viaje a la nostalgia,Shell,Don by Havas,,Vehicles accessories,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/shellbox-como-piloto-del-viaje-a-la-nostalgia-shell-don-by-havas-2025/
Effie Awards Latam,2025,Single-Market,Tienda de Inconveniencia,Vibra,PROS,Wado Gonçalves / Diego Ognibeni,Vehicles accessories,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/tienda-de-inconveniencia-vibra-pros-2025/
Effie Awards Latam,2025,Single-Market,Lays Natural desde el campo hasta el paquete,Lay s,AlmapBBDO,Ampfy,Food,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/lays-natural-desde-el-campo-hasta-el-paquete-lay-s-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,BK - No LaBK,Burger King,AlmapBBDO,Jotacom / Streetwise,Food,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/bk-no-labk-burger-king-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Hellmanns + Pedrito Sola otra oportunidad,Hellmanns,Initiative México,Épica,Food,México,Shortlist,/awards/effie_latam/2025/campaigns/hellmanns-pedrito-sola-otra-oportunidad-hellmanns-initiative-mexico-2025/
Effie Awards Latam,2025,Single-Market,UFOAM- cabezas en juego,Nissin,Dentsu Creative,,Food,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/ufoam-cabezas-en-juego-nissin-dentsu-creative-2025/
Effie Awards Latam,2025,Single-Market,¿Quién carajos comió maní?,Compañía Nacional de Chocolates,Sancho BBDO,,Small budget - Products,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/quien-carajos-comio-mani-compania-nacional-de-chocolates-sancho-bbdo-2025/
Effie Awards Latam,2025,Single-Market,Certificada por el sol,Corona Extra,Gut,,Small budget - Products,México,Shortlist,/awards/effie_latam/2025/campaigns/certificada-por-el-sol-corona-extra-gut-2025/
Effie Awards Latam,2025,Single-Market,Leroy MerlinYour homes offers,Leroy Merlin,MRM,,Small budget - Products,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/leroy-merlinyour-homes-offers-leroy-merlin-mrm-2025/
Effie Awards Latam,2025,Single-Market,Pomarolarecetario bailable 100% hecho con AI,Pomarola,Potro,Initiative Media,Small budget - Products,Perú,Shortlist,/awards/effie_latam/2025/campaigns/pomarolarecetario-bailable-100-hecho-con-ai-pomarola-potro-2025/
Effie Awards Latam,2025,Single-Market,Tacorcholata,Victoria,Wieden + Kennedy,,Small budget - Products,México,Shortlist,/awards/effie_latam/2025/campaigns/tacorcholata-victoria-wieden-kennedy-2025/
Effie Awards Latam,2025,Single-Market,Por un Perú sin papelones,Paracas,Boost Brand Accelerator,,Small budget - Products,Perú,Shortlist,/awards/effie_latam/2025/campaigns/por-un-peru-sin-papelones-paracas-boost-brand-accelerator-2025/
Effie Awards Latam,2025,Single-Market,Priceless walls,Home Vega,Beflamingo Agency,Karina Burgos,Small budget - Products,Ecuador,Shortlist,/awards/effie_latam/2025/campaigns/priceless-walls-home-vega-beflamingo-agency-2025/
Effie Awards Latam,2025,Single-Market,Decí fulbo,TaDa,draftLine BUE,,Small budget - Products,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/deci-fulbo-tada-draftline-bue-2025/
Effie Awards Latam,2025,Single-Market,T-Search,ONG Mães da Sé,Cappuccino,Shotfilmes/Ultrassom Music Ideas/Weber Shandwick (Brasil)/Powell Tate Brazil,Small Budget - Non-profit,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/t-search-ong-maes-da-se-cappuccino-2025/
Effie Awards Latam,2025,Single-Market,Andina Patrocinador oficial del fútbol NO profesional colombiano,Cerveza Andina,Sancho BBDO y OMD,,Beverages - alcohol,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/andina-patrocinador-oficial-del-futbol-no-profesional-colombiano-cerveza-andina-sancho-bbdo-y-omd-2025/
Effie Awards Latam,2025,Single-Market,Sponsor de la suerte,Schneider,Mercado McCann,,Beverages - alcohol,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/sponsor-de-la-suerte-schneider-mercado-mccann-2025/
Effie Awards Latam,2025,Single-Market,Steal Artois,Anheuser-Busch InBev,VML,Alta Comunicación/Zenith (Chile),Beverages - alcohol,Chile,Shortlist,/awards/effie_latam/2025/campaigns/steal-artois-anheuser-busch-inbev-vml-2025/
Effie Awards Latam,2025,Single-Market,Johnnie Walker - Fuerte son ellas,Johnnie Walker,AlmapBBDO,,Beverages - alcohol,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/johnnie-walker-fuerte-son-ellas-johnnie-walker-almapbbdo-2025/
