Festival,Year,Track,Title,Agency,Brand,Country,Award,Credits,Permalink
El Ojo de Iberoamerica,2024,Film,The power of a fragrance,LOLA MullenLowe,Axe-Lynx,Espana,El GRAN OJO FILM,Prod Czarbe Otro Realizador-a Lionel Goldstein Prod Audio Sonido Senstudio Otro Postprod Czarbe Otro Pais Espana,/awards/el_ojo/2024/campaigns/the-power-of-a-fragrance-axe-lynx-lola-mullenlowe-2024/
El Ojo de Iberoamerica,2024,Film,The last barf bag,FCB Chicago,Dramamine,Estados Unidos,El GRAN OJO FILM,Prod Rakish Realizador-a Sunny Sixteen Prod Audio Sonido JSM Music Postprod 456 Studios Otras Empresas 360PR -The Shipyard -Extra Packaging -SPCFuel Pais Estados Unidos,/awards/el_ojo/2024/campaigns/the-last-barf-bag-dramamine-fcb-chicago-2024/
El Ojo de Iberoamerica,2024,Film,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,ORO,Prod MJZ Realizador-a Juan Cabral Prod Audio Sonido Big Sync Postprod Glassworks Otras Empresas Mindshare Otro Pais Espana,/awards/el_ojo/2024/campaigns/find-your-summer-magnum-ice-cream-lola-mullenlowe-2024/
El Ojo de Iberoamerica,2024,Film,La espera,1984,de Kraft Heinz Chile,Chile,BRONCE,Prod Fabula Realizador-a Santiago Correa Pais Chile,/awards/el_ojo/2024/campaigns/la-espera-de-kraft-heinz-chile-1984-2024/
El Ojo de Iberoamerica,2024,Film,Stick to the original,LOLA MullenLowe,Magnum,Espana,BRONCE,Prod PROPPA - BACON Otro Realizador-a Martin Werner Prod Audio Sonido Big Sync Postprod BaconX Otro Pais Espana,/awards/el_ojo/2024/campaigns/stick-to-the-original-magnum-lola-mullenlowe-2024/
El Ojo de Iberoamerica,2024,Film,The power of a fragrance,LOLA MullenLowe,Axe-Lynx,Espana,ORO,Prod Czarbe Otro Realizador-a Lionel Goldstein Prod Audio Sonido Senstudio Otro Postprod Czarbe Otro Pais Espana,/awards/el_ojo/2024/campaigns/the-power-of-a-fragrance-axe-lynx-lola-mullenlowe-2024-2/
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia-,Zurda Agency,Tulipan,Argentina,PLATA,Prod Retina Postprod Retina Pais Argentina,/awards/el_ojo/2024/campaigns/tulipan-teniendo-sexo-podemos-reactivar-la-economia-tulipan-zurda-agency-2024/
El Ojo de Iberoamerica,2024,Film,The Autograph,LOLA MullenLowe,Persil,Espana,BRONCE,Prod Rebolucion Realizador-a Vellas Prod Audio Sonido Big Sync Music Postprod Rebolucion Pais Espana,/awards/el_ojo/2024/campaigns/the-autograph-persil-lola-mullenlowe-2024/
El Ojo de Iberoamerica,2024,Film,Sucesion,DAVID Buenos Aires,HSBC,Argentina,ORO,Prod argentinacine Realizador-a Augusto Gimenez Zapiola- Ale Rey Prod Audio Sonido Bigotes Musica Postprod argentinacine Pais Argentina,/awards/el_ojo/2024/campaigns/sucesion-hsbc-david-buenos-aires-2024/
El Ojo de Iberoamerica,2024,Film,Taste ID-,GUT Buenos Aires,e Globant Argentina,Estados Unidos,PLATA,Prod Rebolucion Realizador-a Luis Gerard Pais Estados Unidos,/awards/el_ojo/2024/campaigns/taste-id-e-globant-argentina-gut-buenos-aires-2024/
El Ojo de Iberoamerica,2024,Film,La Maquina del Tiempo,Publicis Impetu,Tienda Inglesa Uruguay,Uruguay,PLATA,Prod Olga Lee Realizador-a Oliver Lee Garland Prod Audio Sonido La Mayor Pais Uruguay,/awards/el_ojo/2024/campaigns/la-maquina-del-tiempo-tienda-inglesa-uruguay-publicis-impetu-2024/
El Ojo de Iberoamerica,2024,Film,Lo que necesitamos nuevo,Revuelta - Mono Madrid,Wallapop,Espana,PLATA,Prod Garlic Films Realizador-a OCKHAM Prod Audio Sonido Chaco Music House -La Panaderia Postprod McNulty Pais Espana,/awards/el_ojo/2024/campaigns/lo-que-necesitamos-nuevo-wallapop-revuelta-mono-madrid-2024/
El Ojo de Iberoamerica,2024,Film,Ajedrez - Pareja de CHINA parte,LLYC,de Sitges- Festival Internacional,Espana,BRONCE,Prod Lee Films Realizador-a Marc Ortiz Pais Espana,/awards/el_ojo/2024/campaigns/ajedrez-pareja-de-china-parte-de-sitges-festival-internacional-llyc-2024/
El Ojo de Iberoamerica,2024,Film,Fer-,anonimo,Save the Children Mexico,Mexico,ORO,Prod Catatonia Realizador-a Laura Baumeister Prod Audio Sonido Audios Estudio Shalala -Warner Chappell Music Argentina Postprod Catatonia -Fantastic Post Pais Mexico,/awards/el_ojo/2024/campaigns/fer-save-the-children-mexico-anonimo-2024/
El Ojo de Iberoamerica,2024,Film,Generado por la maquina,DAVID Buenos Aires,MACMA,Argentina,BRONCE,Prod Poster Realizador-a Dana Campanello Prod Audio Sonido Papa Music Pais Argentina,/awards/el_ojo/2024/campaigns/generado-por-la-maquina-macma-david-buenos-aires-2024/
El Ojo de Iberoamerica,2024,Film,Huracan,Grey Mexico,Reinserta,Mexico,BRONCE,Prod Oriental Films Realizador-a Garra Prod Audio Sonido Papa Music -Papa Music Postprod Warriors VFX Pais Mexico,/awards/el_ojo/2024/campaigns/huracan-reinserta-grey-mexico-2024/
El Ojo de Iberoamerica,2024,Film,La espera,1984,Kraft Heinz Chile,Chile,ORO,Prod Fabula Realizador-a Santiago Correa Pais Chile,/awards/el_ojo/2024/campaigns/la-espera-kraft-heinz-chile-1984-2024/
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,PLATA,Prod Retina Postprod Retina Pais Argentina,/awards/el_ojo/2024/campaigns/tulipan-teniendo-sexo-podemos-reactivar-la-economia-tulipan-zurda-agency-2024-2/
El Ojo de Iberoamerica,2024,Film,Gatorade vs agua,Springtime,Gatorade,Brasil,BRONCE,Prod Primo Realizador-a Nicolas Perez Veiga Prod Audio Sonido Porta Estudio Pais Brasil,/awards/el_ojo/2024/campaigns/gatorade-vs-agua-gatorade-springtime-2024/
El Ojo de Iberoamerica,2024,Film,The power of a fragrance,LOLA MullenLowe,Axe-Lynx,Espana,ORO,Prod Czarbe Otro Realizador-a Lionel Goldstein Prod Audio Sonido Senstudio Otro Postprod Czarbe Otro Pais Espana,/awards/el_ojo/2024/campaigns/the-power-of-a-fragrance-axe-lynx-lola-mullenlowe-2024-3/
El Ojo de Iberoamerica,2024,Film,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,PLATA,Prod MJZ Realizador-a Juan Cabral Prod Audio Sonido Big Sync Postprod Glassworks Otras Empresas Mindshare Otro Pais Espana,/awards/el_ojo/2024/campaigns/find-your-summer-magnum-ice-cream-lola-mullenlowe-2024-2/
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,PLATA,Prod Retina Postprod Retina Pais Argentina,/awards/el_ojo/2024/campaigns/tulipan-teniendo-sexo-podemos-reactivar-la-economia-tulipan-zurda-agency-2024-3/
El Ojo de Iberoamerica,2024,Film,Pasado perfecto,Mercado McCann,Schneider,Argentina,BRONCE,Prod Poster Realizador-a Sebastian Caporelli Prod Audio Sonido Porta Estudio Postprod Poster -Poster Otras Empresas Pimba VFX Pais Argentina,/awards/el_ojo/2024/campaigns/pasado-perfecto-schneider-mercado-mccann-2024/
El Ojo de Iberoamerica,2024,Film,Explore Uranus,Officer Gentleman,Easytoys,Espana,BRONCE,Prod Jakiens Postprod La Cueva Pais Espana,/awards/el_ojo/2024/campaigns/explore-uranus-easytoys-officer-gentleman-2024/
El Ojo de Iberoamerica,2024,Film,Fer,anonimo,de Save the Children Mexico,Mexico,PLATA,Prod Catatonia Realizador-a Laura Baumeister Prod Audio Sonido Audios Estudio Shalala -Warner Chappell Music Argentina Postprod Catatonia -Fantastic Post Pais Mexico,/awards/el_ojo/2024/campaigns/fer-de-save-the-children-mexico-anonimo-2024/
El Ojo de Iberoamerica,2024,Film,The Autograph,LOLA MullenLowe,Persil,Espana,BRONCE,Prod Rebolucion Realizador-a Vellas Prod Audio Sonido Big Sync Music Postprod Rebolucion Pais Espana,/awards/el_ojo/2024/campaigns/the-autograph-persil-lola-mullenlowe-2024-2/
El Ojo de Iberoamerica,2024,Film,NotCow,The Juju One Single Office ARG MEX,NotCo Latam,Argentina,BRONCE,Prod Malasana - Estudio Lanza Realizador-a Jorge Malpica- Andres Gatti- Javier Reboursin Prod Audio Sonido Perro Lobo -Perro Lobo Postprod Estudio Lanza Pais Argentina,/awards/el_ojo/2024/campaigns/notcow-notco-latam-the-juju-one-single-office-arg-mex-2024/
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,ORO,Prod Retina Postprod Retina Otras Empresas Pais Argentina,/awards/el_ojo/2024/campaigns/tulipan-teniendo-sexo-podemos-reactivar-la-economia-tulipan-zurda-agency-2024-4/
El Ojo de Iberoamerica,2024,Film,La primera ultima cita,MullenLowe SSP3 Mexico,Centro Mexicano Alzhaimer,Mexico,BRONCE,Prod Rebolucion Realizador-a Chelo De Los Santos- Boki Gonzalez Pais Mexico,/awards/el_ojo/2024/campaigns/la-primera-ultima-cita-centro-mexicano-alzhaimer-mullenlowe-ssp3-mexico-2024/
El Ojo de Iberoamerica,2024,Film,The last barf bag,FCB Chicago,Dramamine,Estados Unidos,ORO,Prod Rakish Realizador-a Sunny Sixteen Prod Audio Sonido JSM Music Postprod 456 Studios Otras Empresas 360PR -The Shipyard -Extra Packaging -SPCFuel Pais Estados Unidos,/awards/el_ojo/2024/campaigns/the-last-barf-bag-dramamine-fcb-chicago-2024-2/
El Ojo de Iberoamerica,2024,Film,Hotel La Argentina,Mercado McCann,TyC Sports,Argentina,ORO,Prod Virgen Films Realizador-a Martin de Escalada Prod Audio Sonido Virgen Films Postprod Virgen Films -Virgen Films Otras Empresas Supercharango Pais Argentina,/awards/el_ojo/2024/campaigns/hotel-la-argentina-tyc-sports-mercado-mccann-2024/
El Ojo de Iberoamerica,2024,Film,This is not a game,VML Mexico,Movistar Mexico,Mexico,PLATA,Prod Landia Realizador-a Lucas Shannon Prod Audio Sonido BDS Postprod Landia Pais Mexico,/awards/el_ojo/2024/campaigns/this-is-not-a-game-movistar-mexico-vml-mexico-2024/
El Ojo de Iberoamerica,2024,Film,La historia no contada de los ninos que dan voz a una generacion-,Casanova McCann - McCann Detroit,US Bank,Estados Unidos,BRONCE,Prod 9A Films Realizador-a Rudy Valdez Prod Audio Sonido DeAndre James Otras Empresas Weber Shandwick Estados Unidos Pais Estados Unidos,/awards/el_ojo/2024/campaigns/la-historia-no-contada-de-los-ninos-que-dan-voz-a-una-generacion-us-bank-casanova-mccann-mccann-detroit-2024/
El Ojo de Iberoamerica,2024,Film,This is not a game-,VML Mexico,Movistar Mexico,Mexico,ORO,Prod Landia Realizador-a Lucas Shannon Prod Audio Sonido BDS Postprod Landia Pais Mexico,/awards/el_ojo/2024/campaigns/this-is-not-a-game-movistar-mexico-vml-mexico-2024-2/
El Ojo de Iberoamerica,2024,Film,La Cura,Africa Creative,Editora Taverna,Brasil,BRONCE,Editora Taverna Prod Santeria Realizador-a Rafa Damy- Nicoly Cruvinel Prod Audio Sonido Cabaret Postprod 3t Pais Brasil,/awards/el_ojo/2024/campaigns/la-cura-editora-taverna-africa-creative-2024/
El Ojo de Iberoamerica,2024,Film,Late-,Alma DDB,Memorial Sloan Kettering Cancer Center,Estados Unidos,BRONCE,Prod Central Films Realizador-a Rodrigo Garcia Sainz Pais Estados Unidos,/awards/el_ojo/2024/campaigns/late-memorial-sloan-kettering-cancer-center-alma-ddb-2024/
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,ORO,Prod Retina Postprod Retina Pais Argentina,/awards/el_ojo/2024/campaigns/tulipan-teniendo-sexo-podemos-reactivar-la-economia-tulipan-zurda-agency-2024-5/
El Ojo de Iberoamerica,2024,Film,Tormenta,Almap BBDO,O Boticario,Brasil,BRONCE,Prod MyMama Entertainment Realizador-a Kid Burro Prod Audio Sonido Satelite Audio Postprod Nash Pais Brasil,/awards/el_ojo/2024/campaigns/tormenta-o-boticario-almap-bbdo-2024/
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,ORO,Prod Retina Postprod Retina Pais Argentina,/awards/el_ojo/2024/campaigns/tulipan-teniendo-sexo-podemos-reactivar-la-economia-tulipan-zurda-agency-2024-6/
El Ojo de Iberoamerica,2024,Film,Fer,anonimo,Save the Children Mexico,Mexico,PLATA,Prod Catatonia Realizador-a Laura Baumeister Prod Audio Sonido Audios Estudio Shalala -Warner Chappell Music Argentina Postprod Catatonia -Fantastic Post Pais Mexico,/awards/el_ojo/2024/campaigns/fer-save-the-children-mexico-anonimo-2024-2/
El Ojo de Iberoamerica,2024,Film,Ultimo Viaje,Grey Mexico,Articulo 19,Mexico,PLATA,Prod Oriental Films Realizador-a Yupi Segura- Marindia Prod Audio Sonido Paola Decanini -Azotea Post Postprod Carlos Cepeda Pais Mexico,/awards/el_ojo/2024/campaigns/ultimo-viaje-articulo-19-grey-mexico-2024/
El Ojo de Iberoamerica,2024,Film,El Veredicto,Kids,DACSA,Espana,BRONCE,Prod Jakiens Realizador-a Marco Huertas Pais Espana,/awards/el_ojo/2024/campaigns/el-veredicto-dacsa-kids-2024/
El Ojo de Iberoamerica,2024,Film,13 Cielos Hero,WiedenKennedy Mexico,Victoria,Mexico,BRONCE,Prod The Maestros Realizador-a Giuliana Tommasi- Rodrigo Valdes Prod Audio Sonido Yamil Misael Gomez -Javier Umpierrez Postprod The Maestros -Mathematic Studio -Club Color -Diego Flores Pais Mexico,/awards/el_ojo/2024/campaigns/13-cielos-hero-victoria-wiedenkennedy-mexico-2024/
El Ojo de Iberoamerica,2024,Grafica,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,EL GRAN OJO GRAFICA,Prod MJZ Realizador Juan Cabral Prod AudioSonido Big Sync Post Prod Glassworks Otras Empresas Mindshare Pais Espana,/awards/el_ojo/2024/campaigns/find-your-summer-magnum-ice-cream-lola-mullenlowe-2024-3/
El Ojo de Iberoamerica,2024,Grafica,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,ORO,Prod MJZ Realizador Juan Cabral Prod AudioSonido Big Sync Post Prod Glassworks Otras Empresas Mindshare Pais Espana,/awards/el_ojo/2024/campaigns/find-your-summer-magnum-ice-cream-lola-mullenlowe-2024-4/
El Ojo de Iberoamerica,2024,Grafica,Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola,Mexico,ORO,Prod Mango Films - Sugarcane Filmes - Baliprod - Glitch Productions - NetoShookan Productions Realizador Erik Tapia Otras Empresas Raw Audio -VML Brasil -Sugarcane Filmes -Ogilvy -EssenceMediacom Pais Mexico,/awards/el_ojo/2024/campaigns/thanks-for-coke-creating-coca-cola-vml-mexico-vml-brasil-2024/
El Ojo de Iberoamerica,2024,Grafica,Patrocinio sudado,Isla,Gatorade,Colombia,PLATA,Prod Aleta Media Realizador Matias Ferrari Pais Colombia,/awards/el_ojo/2024/campaigns/patrocinio-sudado-gatorade-isla-2024/
El Ojo de Iberoamerica,2024,Grafica,Lanches RL Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola,Mexico,BRONCE,Prod Mango Films - Sugarcane Filmes - Baliprod - Glitch Productions - NetoShookan Productions Realizador Erik Tapia Otras Empresas Raw Audio -Ogilvy -EssenceMediacom Pais Mexico,/awards/el_ojo/2024/campaigns/lanches-rl-thanks-for-coke-creating-coca-cola-vml-mexico-vml-brasil-2024/
El Ojo de Iberoamerica,2024,Grafica,Bombon y Confeti Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola,Mexico,BRONCE,Prod Mango Films - Sugarcane Filmes - Baliprod - Glitch Productions - NetoShookan Productions Realizador Erik Tapia Otras Empresas Raw Audio -Ogilvy -EssenceMediacom Pais Mexico,/awards/el_ojo/2024/campaigns/bombon-y-confeti-thanks-for-coke-creating-coca-cola-vml-mexico-vml-brasil-2024/
El Ojo de Iberoamerica,2024,Grafica,Braided history,DDB Latina Puerto Rico,Mizani,Puerto Rico,PLATA,Prod DDB Latina Puerto Rico Pais Puerto Rico,/awards/el_ojo/2024/campaigns/braided-history-mizani-ddb-latina-puerto-rico-2024/
El Ojo de Iberoamerica,2024,Grafica,Guess Who Won,LOLA MullenLowe,Persil,Espana,PLATA,Otras Empresas Mindshare Pais Espana,/awards/el_ojo/2024/campaigns/guess-who-won-persil-lola-mullenlowe-2024/
El Ojo de Iberoamerica,2024,Grafica,Made from recycled materials,BBDO Chile - BBDO Ecuador,Volkswagen,Ecuador,PLATA,Prod Wolf Credo Realizador Ale Burset Prod AudioSonido Post Prod Longest Line Pais Ecuador,/awards/el_ojo/2024/campaigns/made-from-recycled-materials-volkswagen-bbdo-chile-bbdo-ecuador-2024/
El Ojo de Iberoamerica,2024,Grafica,El peligro creciente,Anita y Vega,Volvo,Argentina,BRONCE,Prod Mama Hungara Realizador Martin Sigal Pais Argentina,/awards/el_ojo/2024/campaigns/el-peligro-creciente-volvo-anita-y-vega-2024/
El Ojo de Iberoamerica,2024,Grafica,Voice actors,Propeg,de ACBEU,Brasil,PLATA,Prod Activity Pais Brasil,/awards/el_ojo/2024/campaigns/voice-actors-de-acbeu-propeg-2024/
El Ojo de Iberoamerica,2024,Grafica,Invitados Inesperados,TBWAPeru,BCP,Peru,PLATA,Prod Naca Producciones Pais Peru,/awards/el_ojo/2024/campaigns/invitados-inesperados-bcp-tbwaperu-2024/
