Festival,Year,Track,Title,Brand,Agency,Category,Country,Award
El Ojo de Iberoamérica,2025,DESIGN,Estudiantes es La Plata,Estudiantes de La Plata de Estudiantes de La Plata,TombrasNiña,Identidad y construcción de marca,Argentina,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Rompe los patrones,Cartama de N/A,Creamos Agencia,Identidad y construcción de marca,Colombia,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Canja new vis ID,Canja Audio Culture de Canja Audio Culture,TBWA Chiat Day LA,Identidad y construcción de marca,Brasil,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Her touch,O Boticário de O Boticário,Almap BBDO,Diseño editorial,Brasil,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Found in translation,Medalla Light de Compañía Cervecera de Puerto Rico,DDB Latina Puerto Rico,Diseño editorial,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,The Shakespeare BIC,Bic Cristal Dura+ de BIC,VML Brasil,Diseño editorial,Brasil,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Nigrum corpus,IDOMED/ Instituto Yduqs de IDOMED / Instituto Yduqs,Artplan,Diseño editorial,Brasil,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Maker’s Mark,Maker’s Mark de N/A,Publicis Brasil,Afiches y publicaciones,Brasil,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,The shooting – Print,Artículo 19/ Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Afiches y publicaciones,México,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Breathless billboards,Astrazeneca de Astrazeneca Colombia,Leo,Afiches y publicaciones,Colombia,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Un festival de historias,WorldFest Houston de Houston International Film Festival,López Negrete,Afiches y publicaciones,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Priceless walls,Home Vega de Home Vega,BeFlamingo,Diseño para plataformas sociales,Ecuador,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Bouillon bag,Knorr de Unilever Global,MullenLowe Global,Instalaciones y artículos promocionales,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Depressed bedrooms,Casaideas de Casaideas Perú,Boost Brand Accelerator,Instalaciones y artículos promocionales,Perú,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,The Shakespeare BIC,Bic Cristal Dura+ de BIC,VML Brasil,Instalaciones y artículos promocionales,Brasil,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Corona Suntimer,Corona de Cervecería Ambev Guatemala,el taier DDB Centro,Diseño de producto,Guatemala,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,El complemento perfecto,Aceites de Oliva de España de Aceites de Oliva de España,CYW / Acentoenlacé,Diseño de producto,España,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Bad luck reverser,Refisal de Brinsa,Name / VML New York,Packaging,Colombia,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Bouillon bag,Knorr de Unilever Global,MullenLowe Global,Packaging,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Glowing relief,Alivia Health de Alivia Health,De la Cruz/ Ogilvy,Packaging,Puerto Rico,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,Rock & ride,Uber/ Quilmes de Uber Argentina / Cervecería y Maltería Quilmes,Wieden+Kennedy São Paulo / Wieden+Kennedy,Diseño de experiencia de marca,Argentina,Shortlist
El Ojo de Iberoamérica,2025,DESIGN,See through banners,L1 Max de 1190 Sports,Leo Lima,Diseño de experiencia de marca,Perú,Shortlist
