Festival,Year,Track,Title,Brand,Agency,Category,Country,Award,Permalink
El Ojo de Iberoamerica,2025,CONTENIDO,Aeromexicanos,Aeromexico de Aeromexico,Ogilvy Mexico,Eventos y acciones,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/aeromexicanos-aeromexico-de-aeromexico-ogilvy-mexico-2025/
El Ojo de Iberoamerica,2025,CONTENIDO,Aeromexicanos,Aeromexico de Aeromexico,Ogilvy Mexico,Responsabilidad Social Empresarial (RSE),Mexico,Shortlist,/awards/el_ojo/2025/campaigns/aeromexicanos-aeromexico-de-aeromexico-ogilvy-mexico-2025-2/
El Ojo de Iberoamerica,2025,CONTENIDO,The trial,All* In Action Fund de All* In Action Fund,Klick Health Brasil,Bien publico y mensajes gubernamentales,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/the-trial-all-in-action-fund-de-all-in-action-fund-klick-health-brasil-2025/
El Ojo de Iberoamerica,2025,CONTENIDO,Watch that stain,Andino Ultra de Unacem Peru,Fahrenheit DDB,Marca local y mercado especifico,Peru,Shortlist,/awards/el_ojo/2025/campaigns/watch-that-stain-andino-ultra-de-unacem-peru-fahrenheit-ddb-2025/
El Ojo de Iberoamerica,2025,CONTENIDO,The Shooting,Diario La Union de Articulo 19,Grey Mexico,Productos y Servicios,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/the-shooting-diario-la-union-de-articulo-19-grey-mexico-2025/
El Ojo de Iberoamerica,2025,CONTENIDO,The Shooting,Diario La Union de Articulo 19,Grey Mexico,Plataformas audiovisuales,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/the-shooting-diario-la-union-de-articulo-19-grey-mexico-2025-2/
El Ojo de Iberoamerica,2025,CONTENIDO,The Shooting,Diario La Union de Articulo 19,Grey Mexico,Responsabilidad Social Empresarial (RSE),Mexico,Shortlist,/awards/el_ojo/2025/campaigns/the-shooting-diario-la-union-de-articulo-19-grey-mexico-2025-3/
El Ojo de Iberoamerica,2025,CONTENIDO,The Shooting,Diario La Union de Articulo 19,Grey Mexico,Marca local y mercado especifico,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/the-shooting-diario-la-union-de-articulo-19-grey-mexico-2025-4/
El Ojo de Iberoamerica,2025,CONTENIDO,Tracking Bad Bunny,Bad Bunny de Rimas Entertainment,DDB Latina Puerto Rico,Plataformas digitales y sociales,Puerto Rico,Shortlist,/awards/el_ojo/2025/campaigns/tracking-bad-bunny-bad-bunny-de-rimas-entertainment-ddb-latina-puerto-rico-2025/
El Ojo de Iberoamerica,2025,CONTENIDO,Tracking Bad Bunny,Bad Bunny de Rimas Entertainment,DDB Latina Puerto Rico,Influencers & Co-creacion de contenido,Puerto Rico,Shortlist,/awards/el_ojo/2025/campaigns/tracking-bad-bunny-bad-bunny-de-rimas-entertainment-ddb-latina-puerto-rico-2025-2/
El Ojo de Iberoamerica,2025,CONTENIDO,Tracking Bad Bunny,Bad Bunny de Rimas Entertainment,DDB Latina Puerto Rico,Nuevas realidades y tecnologias emergentes,Puerto Rico,Shortlist,/awards/el_ojo/2025/campaigns/tracking-bad-bunny-bad-bunny-de-rimas-entertainment-ddb-latina-puerto-rico-2025-3/
El Ojo de Iberoamerica,2025,CONTENIDO,Tracking Bad Bunny,Bad Bunny de Rimas Entertainment,DDB Latina Puerto Rico,Experiencia de marca,Puerto Rico,Shortlist,/awards/el_ojo/2025/campaigns/tracking-bad-bunny-bad-bunny-de-rimas-entertainment-ddb-latina-puerto-rico-2025-4/
El Ojo de Iberoamerica,2025,CONTENIDO,Tracking Bad Bunny,Bad Bunny de Rimas Entertainment,DDB Latina Puerto Rico,Marca local y mercado especifico,Puerto Rico,Shortlist,/awards/el_ojo/2025/campaigns/tracking-bad-bunny-bad-bunny-de-rimas-entertainment-ddb-latina-puerto-rico-2025-5/
El Ojo de Iberoamerica,2025,CONTENIDO,The cheapest transfers,Bodega Aurrera de Walmart Mexico,TERAN TBWA\ (Mexico),Gaming & E-Sports,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/the-cheapest-transfers-bodega-aurrera-de-walmart-mexico-teran-tbwa-mexico-2025/
