Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Eurobest,2021,CONSUMER GOODS,THE NIGHT IS YOUNG,HEINEKEN,PUBLICIS ITALY,Consumer Goods,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/38adf42a2e29465980bd7f8588ef199a/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,THE PLAYLIST SONG,TWINTOES,MORTIERBRIGADE,Media & Entertainment,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/870b498033244034abe1736c1c669a99/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,WHATEVER IT TAKES,MACMILLAN CANCER SUPPORT,AMV BBDO,Not-for-profit & Charity & Government,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/174468f7771a4138a321a5e5c0253ba6/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,THE PLAYLIST SONG,TWINTOES,MORTIERBRIGADE,Social Film,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/302e62bdf47343c89d734c995ea49c92/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,HELMET HAS ALWAYS BEEN A GOOD IDEA,DANISH ROAD SAFETY COUNCIL,&CO,Single-market Campaign,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/4cec18a8af054ce2b5546281e608a5cb/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,CONFUSING TIMES,BURGER KING,DAVID,Travel Leisure Retail Restaurants & Fast Food Chains,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/bbd74895466040e5a99c799adc402a6b/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,TOILET,STUDIO BRUSSEL,MUTANT,Media & Entertainment,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/6b4084e38c7c4628882b7a993e0a7048/storyboard_000008.jpg
Eurobest,2021,CONSUMER GOODS,THE NIGHT IS YOUNG,HEINEKEN,PUBLICIS ITALY,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/38adf42a2e29465980bd7f8588ef199a/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,HELMET HAS ALWAYS BEEN A GOOD IDEA,DANISH ROAD SAFETY COUNCIL,&CO,Social Film,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/4cec18a8af054ce2b5546281e608a5cb/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,THE PLAYLIST SONG,TWINTOES,MORTIERBRIGADE,Challenger Brand,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/302e62bdf47343c89d734c995ea49c92/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,ROCKIN MAMAS,WEB MAGAZINE MAKERS,VMLY&R ITALY,Social Behaviour,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/13ba9df741694201bd00172bca65d9e3/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,THE NIGHT IS YOUNG,HEINEKEN,PUBLICIS ITALY,Market Disruption,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/38adf42a2e29465980bd7f8588ef199a/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,WELL MEET AGAIN,HEINEKEN,PUBLICIS ITALY,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/73b66883ba5d456d9ce1e6c047f38b62/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,STOP VEO - TALKS,STOP VEO,PUBLICIS CONSEIL,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/ccf022417f1f411ea74ee0fda24e4210/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,WELL MEET AGAIN,HEINEKEN,PUBLICIS ITALY,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/73b66883ba5d456d9ce1e6c047f38b62/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,FAMILY DIARY,WHATSAPP INC,BBDO,Media & Entertainment,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/9025edb69a604cd9b240674ffdb34c11/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,WE WILL BECOME BETTER,RUSSIAN LGBT NETWORK,VOSKHOD,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/58737dee8b0b4ef5afbfd7aa19a52ee8/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,THE HIRING CHAIN,COORDOWN,INDIANA PRODUCTION COMPANY,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/55558ffbb96543028054a0cb91d94543/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,CITES,AMAZON PRIME VIDEO,HEREZIE,Social Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/b2820f321498485da95dd60b293db0b3/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,WELL MEET AGAIN,HEINEKEN,PUBLICIS ITALY,Social Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/73b66883ba5d456d9ce1e6c047f38b62/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CONSUMER GOODS,WE WILL BECOME BETTER,RUSSIAN LGBT NETWORK,VOSKHOD,Online Fiction & Non-Fiction,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/58737dee8b0b4ef5afbfd7aa19a52ee8/storyboard_000008.jpg?resize=600,600
