Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Eurobest,2023,SOCIAL FILM,WOMENS FOOTBALL,ORANGE,MARCEL,Social Film,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/0d36a7a2f71541238d95339d24583fdc/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,THE CHASE FOR CARRERA,TAG HEUER,DDB,Consumer Goods,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/56a152bb34e84f11888c46469914ea5e/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,PAPA,CANAL,BETC,Media & Entertainment,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/6fd57536874847c7b15241fed0202784/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,ITS HANDY TO HAVE A DICK,EQUAL PAY DAY,MORTIERBRIGADE,Social Behaviour,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/aa6455e0c5bb4d72a1f483c1f5dabea7/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,ITS HANDY TO HAVE A DICK,EQUAL PAY DAY,MORTIERBRIGADE,Not-for-profit & Charity & Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/aa6455e0c5bb4d72a1f483c1f5dabea7/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,WOMENS FOOTBALL,ORANGE,MARCEL,Consumer Services & Business to Business,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/0d36a7a2f71541238d95339d24583fdc/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,ESCAPE,GERMAN RAIL,OGILVY GERMANY,Micro-film,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/014c77922c67431c81e859ecb2ef746d/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,ESCAPE,GERMAN RAIL,OGILVY GERMANY,Breakthrough on a Budget,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/0c7a5f8aac994760b1f87a938166f2ae/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,IRAN-E MAN,PAIRI DAEZA,NEW-LAND,Corporate Purpose & Social Responsibility,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/9daeeda0c7e24d27a02c04c5c49ef977/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,ME MY AUTISM & I,VANISH,HAVAS,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/6e8d4ea637224b2ca44f2067014d36dc/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,REAL VIRTUAL BEAUTY,DOVE,LOLA MULLENLOWE,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/b62a3a6dc41a45e98088676a261c0140/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,EDEKA - MERRY EASTER,EDEKA,JUNG VON MATT AG,Travel Leisure Retail Restaurants & Fast Food Chains,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/30bb2f110c8b4078bbe9129815658099/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,THE SECRET OF WAKANY,CANAL,BETC,Media & Entertainment,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/53fda5f06fe54d0b9745dd07a75fe753/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,HUMAN TOUCH,TRANSLATED,AUGE COMMUNICATION,Consumer Services & Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/bf9a96232eb84725bae373880e938cbb/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,WHOOPS,COPENHAGEN METRO,ACCENTURE SONG,Travel Leisure Retail Restaurants & Fast Food Chains,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/a2509f1a4d0c4336b14be1a0020eec3c/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,THE JARNYS,EON,BBDO NORDICS,Series Fiction & Non-Fiction,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/53651f23b41f45d9952952dbf6ae1cbe/storyboard_000008.jpg
Eurobest,2023,SOCIAL FILM,WOMENS FOOTBALL,ORANGE,MARCEL,Social Behaviour,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/0d36a7a2f71541238d95339d24583fdc/storyboard_000008.jpg
