Track,Title,Brand,Agency,Category,Award Level,Board image
SCREENS & EVENTS,CHESS,SITGES - INTERNATIONAL FANTASTIC FILM FESTIVAL OF CATALONIA,CHINA,Screens & Events,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/129e97769e014ded98ebb28bf3dd2242/storyboard_000008.jpg
SCREENS & EVENTS,THE FIRST SPEECH RUSSIA,REPORTERS WITHOUT BORDERS,INNOCEAN BERLIN,Not-for-profit - Charity - Government,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/caa31334fda34915aa87301b3fb201ff/storyboard_000008.jpg
SCREENS & EVENTS,THE FIRST SPEECH VENEZUELA,REPORTERS WITHOUT BORDERS,INNOCEAN BERLIN,Not-for-profit - Charity - Government,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/f07fef19e1354fa9bb1f1a4e3a95b793/storyboard_000008.jpg
SCREENS & EVENTS,THE FIRST SPEECH TURKEY,REPORTERS WITHOUT BORDERS,INNOCEAN BERLIN,Not-for-profit - Charity - Government,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/2ac2bdf7a1a7404c8bbcf1725edb5263/storyboard_000008.jpg
SCREENS & EVENTS,ASSUME THAT I CAN,COORDOWN,INDIANA PRODUCTION COMPANY,Not-for-profit - Charity - Government,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/a123c527d1ec4d96a4460586731f7fc3/storyboard_000008.jpg
SCREENS & EVENTS,ASSUME THAT I CAN,COORDOWN,INDIANA PRODUCTION COMPANY,Viral Film,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/a710110dcda446769d5f0c5d0e008414/storyboard_000008.jpg
SCREENS & EVENTS,THE ROBBERY,AXE-LYNX,LOLA MULLENLOWE,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/e818e7e71e044438a3dad4a99bd11f63/storyboard_000008.jpg
SCREENS & EVENTS,SKUNK - TVSPOT,SKUNK,CZAR,Media-Entertainment,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/13e2d67dd5134014a504f5c4e4a5577c/storyboard_000008.jpg
SCREENS & EVENTS,YOU ARE WHAT YOU WATCH,LOVE & ANARCHY - HELSINKI INTERNATIONAL FILM FESTIVAL,BREAKFAST,Media-Entertainment,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/0733ca4e17244b6abfe9923d2a4423a4/storyboard_000008.jpg
SCREENS & EVENTS,THE FIRST SPEECH RUSSIA,REPORTERS WITHOUT BORDERS,INNOCEAN BERLIN,Not-for-profit - Charity - Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/caa31334fda34915aa87301b3fb201ff/storyboard_000008.jpg
SCREENS & EVENTS,THE FIRST SPEECH VENEZUELA,REPORTERS WITHOUT BORDERS,INNOCEAN BERLIN,Not-for-profit - Charity - Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/f07fef19e1354fa9bb1f1a4e3a95b793/storyboard_000008.jpg
SCREENS & EVENTS,THE FIRST SPEECH TURKEY,REPORTERS WITHOUT BORDERS,INNOCEAN BERLIN,Not-for-profit - Charity - Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/2ac2bdf7a1a7404c8bbcf1725edb5263/storyboard_000008.jpg
SCREENS & EVENTS,IKEA GOES DARK,IKEA,TRY,Breakthrough on a Budget,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/124fb43856f3445a8795acaf47ceb134/storyboard_000008.jpg
SCREENS & EVENTS,THE FUNERAL,AXE-LYNX,LOLA MULLENLOWE,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/d414861e68fb47599495ee47d3344e23/storyboard_000008.jpg
SCREENS & EVENTS,BORN TO BE FLAME LOVERS,BURGER KING,BUZZMAN,Travel Leisure Retail Restaurants & Fast Food Chains,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/5a77e7034f0d434296d0cf767237c61b/storyboard_000008.jpg
SCREENS & EVENTS,MISSED CALLS,TELENOR,NORD DDB,Consumer Services-Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/78d19b0114694dfdb909c0abaa5bfecc/storyboard_000008.jpg
SCREENS & EVENTS,IMAGINE A WORLD WHERE DETERGENT DOESNT COME IN SINGLE USE PLASTIC CONTAINERS,PAFYLL,ANORAK,Challenger Brand,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/0581ae81ffdf486681d140b4fb9979db/storyboard_000008.jpg
SCREENS & EVENTS,MOLDING MADNESS,BRING,POL,Challenger Brand,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/33607f85329e40dc875331d8879a02f6/storyboard_000008.jpg
SCREENS & EVENTS,LONG LIVE THE KING,BURGER KING,VML SPAIN,Use of Humour,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/bcc47626fad94b5ea478bafb8f13b855/storyboard_000008.jpg
SCREENS & EVENTS,CHESS - COUPLE,SITGES - INTERNATIONAL FANTASTIC FILM FESTIVAL OF CATALONIA,CHINA,Use of Humour,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/f19fe4a5c17e46dba6e01ecbf37e6931/storyboard_000008.jpg
SCREENS & EVENTS,FIND YOUR SUMMER,MAGNUM,LOLA MULLENLOWE,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/f2a1f6e165ba4e45a86db69438948e68/storyboard_000008.jpg
SCREENS & EVENTS,HENNESSY & LAWNMOWER,HENNESSY,WIEDEN+KENNEDY,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/fbd9a021b6f748d1ac74799ac19c5f4a/storyboard_000008.jpg
SCREENS & EVENTS,HENNESSY & TENNIS,HENNESSY,WIEDEN+KENNEDY,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/e2b497f3348e42eface0908ed787ee1a/storyboard_000008.jpg
SCREENS & EVENTS,IKEA GOES DARK,IKEA,TRY,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/124fb43856f3445a8795acaf47ceb134/storyboard_000008.jpg
SCREENS & EVENTS,LIFE IS NOT AN IKEA CATALOGUE,IKEA,TRY,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a7d89c3e02c4493ab5528281a4c0d528/storyboard_000008.jpg
SCREENS & EVENTS,CHESS,SITGES - INTERNATIONAL FANTASTIC FILM FESTIVAL OF CATALONIA,CHINA,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/129e97769e014ded98ebb28bf3dd2242/storyboard_000008.jpg
SCREENS & EVENTS,COUPLE,SITGES - INTERNATIONAL FANTASTIC FILM FESTIVAL OF CATALONIA,CHINA,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/ac81bd92c4054175bceb4dff1d84f83c/storyboard_000008.jpg
SCREENS & EVENTS,ONLY WHEN IT RAINS,ICE,MORGENSTERN,Consumer Services-Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4851143dac14451190a25decd2fe6b7b/storyboard_000008.jpg
