Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Brand,Producer,Award
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion General,Mastodonte TV,Independientes,INDEPENDIENTE,This Is Not America - Residente ft Ibeyi,Mexico,Sony Music,Doomsday Ent - Mastodonte Films,Oro
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion de Arte,Mastodonte TV,Independientes,INDEPENDIENTE,This Is Not America - Residente ft Ibeyi,Mexico,Sony Music,Doomsday Ent - Mastodonte Films,Oro
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Produccion General,Mastodonte TV,Independientes,INDEPENDIENTE,This Is Not America - Residente ft Ibeyi,Mexico,Sony Music,Doomsday Ent - Mastodonte Films,Oro
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Ilustracion,Buentipo Anchor,Independientes,INDEPENDIENTE,Club Colombia Eterno - Una Historia Nonuya,Colombia,AB InBev Colombia - Bavaria,BTFilms,Oro
FIAP,2023,Produccion,Tecnicas de Produccion Tecnologica,Fahrenheit DDB,DDB Worldwide,OMNICOM,E-nterpreters Season 2,Peru,AB InBev,Fahrenheit Content,Plata
FIAP,2023,Produccion,Bajo costo de produccion,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Animacion Computarizada - Efectos Especiales,VMLYR Puerto Rico,VMLYR,WPP,Luna The Stork,Puerto Rico,Departamento de la Familia - Gobierno de PR,Zombie Studio,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion de Arte,DON,Independientes,INDEPENDIENTE,Primavera suena con Flow,Argentina,Telecom SA,Landia Films,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion de Arte,This is Libre,Independientes,INDEPENDIENTE,La Herencia,Espana,Campofrio,La Joya Producciones,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion General,AliceFilmes,Independientes,INDEPENDIENTE,Vida Solo Existe Una,Brasil,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,ALICEFILMES LTDA,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion General,This is Libre,Independientes,INDEPENDIENTE,La Escalera,Espana,Hijos de Rivera SAU,Landia Films,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Edicion,AliceFilmes,Independientes,INDEPENDIENTE,The Golden Son,Brasil,Heineken Asia Pacific,ALICEFILMES LTDA,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Musica Adaptada - Musica Original - Diseno de Sonido - Canciones - Jingles - Audio Logo - Uso de Licencias,BETC HAVAS,Havas Creative,HAVAS,Salve la Favela,Brasil,KondZilla Records,Santeria - KondZilla Records,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Fotografia,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Plata
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Redaccion,Publicis,Publicis Worldwide,PUBLICIS GROUPE,Movie Plots,Ecuador,TELEFONICA,Content Lab Publicis,Plata
FIAP,2023,Produccion,Bajo costo de produccion,BeautifulBeast,Independientes,INDEPENDIENTE,Sintomas de mierda,EE UU,Colon Cancer Coalition,Deaf Mule Dallas,Bronce
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Animacion Computarizada - Efectos Especiales,NU,Independientes,INDEPENDIENTE,Despierta tu dinero - Pesadilla,Mexico,NU,Madrefoca,Bronce
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Edicion,AliceFilmes,Independientes,INDEPENDIENTE,Vida Solo Existe Una,Brasil,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,ALICEFILMES LTDA,Bronce
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,AliceFilmes,Independientes,INDEPENDIENTE,O Boticario - Isla,Brasil,O Boticario,ALICEFILMES LTDA,Bronce
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,AliceFilmes,Independientes,INDEPENDIENTE,Vida solo existe una,Brasil,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,ALICEFILMES LTDA,Bronce
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,Archer Troy,Independientes,INDEPENDIENTE,Who is the Minority cabrones,Mexico,Amazon Prime Video,El Cielo,Bronce
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,Lopez Negrete Communcations,Independientes,INDEPENDIENTE,The Miles that Unite Us,US hispanic,Hyundai Motor America,,Bronce
