Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Brand,Producer,Award,Permalink
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion General,Mastodonte TV,Independientes,INDEPENDIENTE,This Is Not America - Residente ft Ibeyi,Mexico,Sony Music,Doomsday Ent - Mastodonte Films,Oro,/awards/fiap/2023/campaigns/this-is-not-america-residente-ft-ibeyi-sony-music-mastodonte-tv-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion de Arte,Mastodonte TV,Independientes,INDEPENDIENTE,This Is Not America - Residente ft Ibeyi,Mexico,Sony Music,Doomsday Ent - Mastodonte Films,Oro,/awards/fiap/2023/campaigns/this-is-not-america-residente-ft-ibeyi-sony-music-mastodonte-tv-2023-2/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Produccion General,Mastodonte TV,Independientes,INDEPENDIENTE,This Is Not America - Residente ft Ibeyi,Mexico,Sony Music,Doomsday Ent - Mastodonte Films,Oro,/awards/fiap/2023/campaigns/this-is-not-america-residente-ft-ibeyi-sony-music-mastodonte-tv-2023-3/
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Ilustracion,Buentipo Anchor,Independientes,INDEPENDIENTE,Club Colombia Eterno - Una Historia Nonuya,Colombia,AB InBev Colombia - Bavaria,BTFilms,Oro,/awards/fiap/2023/campaigns/club-colombia-eterno-una-historia-nonuya-ab-inbev-colombia-bavaria-buentipo-anchor-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Tecnologica,Fahrenheit DDB,DDB Worldwide,OMNICOM,E-nterpreters Season 2,Peru,AB InBev,Fahrenheit Content,Plata,/awards/fiap/2023/campaigns/e-nterpreters-season-2-ab-inbev-fahrenheit-ddb-2023/
FIAP,2023,Produccion,Bajo costo de produccion,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Animacion Computarizada - Efectos Especiales,VMLYR Puerto Rico,VMLYR,WPP,Luna The Stork,Puerto Rico,Departamento de la Familia - Gobierno de PR,Zombie Studio,Plata,/awards/fiap/2023/campaigns/luna-the-stork-departamento-de-la-familia-gobierno-de-pr-vmlyr-puerto-rico-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion de Arte,DON,Independientes,INDEPENDIENTE,Primavera suena con Flow,Argentina,Telecom SA,Landia Films,Plata,/awards/fiap/2023/campaigns/primavera-suena-con-flow-telecom-sa-don-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion de Arte,This is Libre,Independientes,INDEPENDIENTE,La Herencia,Espana,Campofrio,La Joya Producciones,Plata,/awards/fiap/2023/campaigns/la-herencia-campofrio-this-is-libre-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion General,AliceFilmes,Independientes,INDEPENDIENTE,Vida Solo Existe Una,Brasil,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,ALICEFILMES LTDA,Plata,/awards/fiap/2023/campaigns/vida-solo-existe-una-fca-fiat-chrysler-automoveis-brasil-ltda-alicefilmes-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Direccion General,This is Libre,Independientes,INDEPENDIENTE,La Escalera,Espana,Hijos de Rivera SAU,Landia Films,Plata,/awards/fiap/2023/campaigns/la-escalera-hijos-de-rivera-sau-this-is-libre-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Edicion,AliceFilmes,Independientes,INDEPENDIENTE,The Golden Son,Brasil,Heineken Asia Pacific,ALICEFILMES LTDA,Plata,/awards/fiap/2023/campaigns/the-golden-son-heineken-asia-pacific-alicefilmes-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Musica Adaptada - Musica Original - Diseno de Sonido - Canciones - Jingles - Audio Logo - Uso de Licencias,BETC HAVAS,Havas Creative,HAVAS,Salve la Favela,Brasil,KondZilla Records,Santeria - KondZilla Records,Plata,/awards/fiap/2023/campaigns/salve-la-favela-kondzilla-records-betc-havas-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Fotografia,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Plata,/awards/fiap/2023/campaigns/explosions-molson-coors-beverage-company-alma-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Grafica - Redaccion,Publicis,Publicis Worldwide,PUBLICIS GROUPE,Movie Plots,Ecuador,TELEFONICA,Content Lab Publicis,Plata,/awards/fiap/2023/campaigns/movie-plots-telefonica-publicis-2023/
FIAP,2023,Produccion,Bajo costo de produccion,BeautifulBeast,Independientes,INDEPENDIENTE,Sintomas de mierda,EE UU,Colon Cancer Coalition,Deaf Mule Dallas,Bronce,/awards/fiap/2023/campaigns/sintomas-de-mierda-colon-cancer-coalition-beautifulbeast-2023/
FIAP,2023,Produccion,Tecnicas de Produccion Audiovisual - Animacion Computarizada - Efectos Especiales,NU,Independientes,INDEPENDIENTE,Despierta tu dinero - Pesadilla,Mexico,NU,Madrefoca,Bronce,/awards/fiap/2023/campaigns/despierta-tu-dinero-pesadilla-nu-nu-2023/
