Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Company,Brand,Product,Producer,Award
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Circus Grey,AKQA Group-GREY,WPP,Sightwalks - Veredas que guian,Peru,UNACEM,Cemento Sol,Cemento Sol,Rebeca - Canica - Punto Aparte,GRAND PRIX
FIAP,2024,Anuncios,Creatividad Efectiva - Bien Publico,Circus Grey,AKQA Group-GREY,WPP,Sightwalks - Veredas que guian,Peru,UNACEM,Cemento Sol,Cemento Sol,Rebeca - Canica - Punto Aparte - Nativo,GRAND PRIX
FIAP,2024,Produccion,Tecnicas de Produccion Audiovisual - Direccion General,Fahrenheit DDB,DDB Worldwide,Omnicom,Cancer antes del cancer,Peru,Fundacion Peruana de Cancer,Ponle Corazon,Ponle Corazon,Rebeca Producciones,GRAND PRIX
FIAP,2024,Anuncios,Transformacion Social - ONG,VML Argentina,VML,WPP,Promesas absurdas,Argentina,Asdra,Asdra,Asociacion Sindrome de Down de la Republica Argentina,Landia,MENCION ESPECIAL
FIAP,2024,Formatos,Via Publica,Circus Grey,AKQA Group-GREY,WPP,Sightwalks - Veredas que guian,Peru,UNACEM,Cemento Sol,Cemento Sol,Rebeca - Canica - Punto Aparte - Nativo,GRAND PRIX
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Circus Grey,AKQA Group-GREY,WPP,Sightwalks - Veredas que guian,Peru,UNACEM,Cemento Sol,Cemento Sol,Rebeca - Canica - Punto Aparte,ORO
FIAP,2024,Anuncios,Creatividad Efectiva - Bien Publico,Circus Grey,AKQA Group-GREY,WPP,Sightwalks - Veredas que guian,Peru,UNACEM,Cemento Sol,Cemento Sol,Rebeca - Canica - Punto Aparte - Nativo,ORO
FIAP,2024,Produccion,Tecnicas de Produccion Audiovisual - Direccion General,Fahrenheit DDB,DDB Worldwide,Omnicom,Cancer antes del cancer,Peru,Fundacion Peruana de Cancer,Ponle Corazon,Ponle Corazon,Rebeca Producciones,ORO
FIAP,2024,Anuncios,Transformacion Social - ONG,VML Argentina,VML,WPP,Promesas absurdas,Argentina,Asdra,Asdra,Asociacion Sindrome de Down de la Republica Argentina,Landia,ORO
FIAP,2024,Formatos,Via Publica,Circus Grey,AKQA Group-GREY,WPP,Sightwalks - Veredas que guian,Peru,UNACEM,Cemento Sol,Cemento Sol,Rebeca - Canica - Punto Aparte - Nativo,ORO
FIAP,2024,Innovacion,Innovacion en PR,AlmapBBDO,BBDO Worldwide,Omnicom,VW 70 Years Campaign,Brasil,Volkswagen,Volkswagen,Institucional,Boiler Filmes,ORO
FIAP,2024,Innovacion,Innovacion en Marketing Directo,Circus Grey,AKQA Group-GREY,WPP,Sightwalks - Veredas que guian,Peru,UNACEM,Cemento Sol,Cemento Sol,Rebeca - Canica - Punto Aparte - Nativo,ORO
FIAP,2024,Anuncios,Mejor Diseno,Circus Grey,AKQA Group-GREY,WPP,Sightwalks - Veredas que guian,Peru,UNACEM,Cemento Sol,Cemento Sol,Rebeca - Canica - Punto Aparte - Nativo,ORO
FIAP,2024,Anuncios,Television - Cine - Digital - Mejor Musica Incidental - Mejor Cancion Original - Mejor Direccion Musical,Fahrenheit DDB,DDB Worldwide,Omnicom,Cancer antes del cancer,Peru,Fundacion Peruana de Cancer,Fundacion Peruana de Cancer,Ponle Corazon,Rebeca Producciones,ORO
FIAP,2024,Anuncios,Television - Cine - Digital - Higiene domestica personal - Belleza - Cosmetica - Perfumeria - Articulos medicinales y Farmaceuticos,AlmapBBDO,BBDO Worldwide,Omnicom,Tormenta,Brasil,O Boticario,O Boticario,Mothers Day,MyMama Entertainment,ORO
FIAP,2024,Anuncios,Mejor Uso de la Cultura Local,AlmapBBDO,BBDO Worldwide,Omnicom,Errata at 88,Brasil,Diageo,Johnnie Walker,Johnnie Walker,AlmapBBDO,ORO
FIAP,2024,Anuncios,Television - Cine - Digital - Automoviles,AlmapBBDO,BBDO Worldwide,Omnicom,VW 70 Years Campaign,Brasil,Volkswagen,Volkswagen,Institucional,Boiler Filmes,ORO
FIAP,2024,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,Fahrenheit DDB,DDB Worldwide,Omnicom,Cancer antes del cancer,Peru,Fundacion Peruana de Cancer,Ponle Corazon,Ponle Corazon,Rebeca Producciones,ORO
FIAP,2024,Innovacion,Estudiantes,The Pub School,,,LyriCoach,Ecuador,Spotify,Spotify,Spotify,,ORO
FIAP,2024,Innovacion,Innovacion en Gaming y Entretenimiento,VML Argentina,VML,WPP,Anti-Lag Squad,Argentina,Movistar,Movistar,Internet fibra,Landia,ORO
FIAP,2024,Produccion,Tecnicas de Produccion Audiovisual - Musica Adaptada - Musica Original - Diseno de Sonido - Canciones - Jingles - Audio Logo - Uso de Licencias,Fahrenheit DDB,DDB Worldwide,Omnicom,Cancer antes del cancer,Peru,Fundacion Peruana de Cancer,Fundacion Peruana de Cancer,Ponle Corazon,Rebeca Producciones,ORO
FIAP,2024,Innovacion,Innovacion en plataformas digitales,Made Mexico,Independientes,Independientes,Trailers Tumbados,Mexico,Grupo Cinemex,Cinemex,Cinemex,Made,ORO
FIAP,2024,Produccion,Tecnicas de Produccion Audiovisual - Direccion de Arte,AlmapBBDO,BBDO Worldwide,Omnicom,Tormenta,Brasil,O Boticario,O Boticario,Mothers Day,MyMama Entertainment,ORO
