Festival,Year,Track,Title,Brand,Agency,Network,Holding,Category,Award level,Country,Company,Product,Production
Fiap,2025,Anuncios,Saludo a las mamas,TecniScan,d4 McCann,McCann Worldgroup,IPG,Via Publica - Servicios,Shortlist,Guatemala,TecniScan,Paquetes especiales de mamografias y ultrasonidos mamarios,Impresion ABG Publicidad
Fiap,2025,Anuncios,Saludo a las mamas,TecniScan,d4 McCann,McCann Worldgroup,IPG,Salud,Shortlist,Guatemala,TecniScan,Paquetes especiales de mamografias y ultrasonidos mamarios,Impresion ABG Publicidad
Fiap,2025,Innovacion,Escape Room Soledad,Fundacion la Caixa,Manifiesto,Independiente,Independiente,Salud,Shortlist,Espana,Fundacion la Caixa,Fundacion la Caixa,Blua
Fiap,2025,Innovacion,Escape Room Soledad,Fundacion la Caixa,Manifiesto,Independiente,Independiente,Innovacion en Eventos/Experiencia,Shortlist,Espana,Fundacion la Caixa,Fundacion la Caixa,Blua
Fiap,2025,Innovacion,Escape Room Soledad,Fundacion la Caixa,Manifiesto,Independiente,Independiente,Innovacion en Activaciones,Shortlist,Espana,Fundacion la Caixa,Fundacion la Caixa,Blua
Fiap,2025,Innovacion,Emoji Cocktails,E Leon Jimenes,The Table by de ferrari borrell,Independiente,Independiente,Innovacion en Redes Sociales,Shortlist,Republica Dominicana,La Aurora,Ron 1903,The Table By de ferrari borrell
Fiap,2025,Anuncios,Espacios Reducidos,Nissan,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Via Publica - Productos,Shortlist,Nicaragua,Nissan Nicaragua,Intelligent Around View� Monitor,N/A
Fiap,2025,Anuncios,El Atraco,Amnistia Internacional,La Despensa,Independiente,Independiente,Television/Cine/Digital - Campanas Bien Publico,Shortlist,Espana,Amnistia Internacional,Amnistia Internacional,Rebolucion y McNulty
Fiap,2025,Anuncios,Good Max,Fundacion Sant Joan de Deu,La Despensa,Independiente,Independiente,Creatividad Efectiva - Bien Publico,Shortlist,Espana,Fundacion Sant Joan de Deu,Recaudacion para la investigacion del cancer infantil,Antiestatico
Fiap,2025,Produccion,Good Max,Fundacion Sant Joan de Deu,La Despensa,Independiente,Independiente,Tecnicas de Produccion Audiovisual - Fotografia,Shortlist,Espana,Fundacion Sant Joan de Deu,Recaudacion para la investigacion del cancer infantil,Antiestatico
Fiap,2025,Anuncios,Espacios Reducidos,Nissan Nicaragua,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Uso de Inteligencia Artificial,Shortlist,Nicaragua,Nissan Nicaragua/GrupoQ,Intelligent Around View� Monitor,N/A
Fiap,2025,Produccion,Espacios Reducidos,Nissan,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Tecnicas de Produccion Grafica - Direccion de Arte,Shortlist,Nicaragua,Nissan Nicaragua,Intelligent Around View� Monitor,N/A
Fiap,2025,Innovacion,The 46% Pine Tree,SOH Conservacion,The Table by de ferrari borrell,Independiente,Independiente,Innovacion en campanas sobre sostenibilidad,Shortlist,Republica Dominicana,SOH Conservacion,Pino Criollo,The table by de ferrari borrell
