Festival,Year,Track,Title,Brand,Agency,Network,Holding,Category,Award Level,Country,Company,Product,Production,Permalink
Fiap,2025,Anuncios,Saludo a las mamas,TecniScan,d4 McCann,McCann Worldgroup,IPG,Via Publica - Servicios,Shortlist,Guatemala,TecniScan,Paquetes especiales de mamografias y ultrasonidos mamarios,Impresion ABG Publicidad,/awards/fiap/2025/campaigns/saludo-a-las-mamas-tecniscan-d4-mccann-2025/
Fiap,2025,Anuncios,Saludo a las mamas,TecniScan,d4 McCann,McCann Worldgroup,IPG,Salud,Shortlist,Guatemala,TecniScan,Paquetes especiales de mamografias y ultrasonidos mamarios,Impresion ABG Publicidad,/awards/fiap/2025/campaigns/saludo-a-las-mamas-tecniscan-d4-mccann-2025-2/
Fiap,2025,Innovacion,Escape Room Soledad,Fundacion la Caixa,Manifiesto,Independiente,Independiente,Salud,Shortlist,Espana,Fundacion la Caixa,Fundacion la Caixa,Blua,/awards/fiap/2025/campaigns/escape-room-soledad-fundacion-la-caixa-manifiesto-2025/
Fiap,2025,Innovacion,Escape Room Soledad,Fundacion la Caixa,Manifiesto,Independiente,Independiente,Innovacion en Eventos/Experiencia,Shortlist,Espana,Fundacion la Caixa,Fundacion la Caixa,Blua,/awards/fiap/2025/campaigns/escape-room-soledad-fundacion-la-caixa-manifiesto-2025-2/
Fiap,2025,Innovacion,Escape Room Soledad,Fundacion la Caixa,Manifiesto,Independiente,Independiente,Innovacion en Activaciones,Shortlist,Espana,Fundacion la Caixa,Fundacion la Caixa,Blua,/awards/fiap/2025/campaigns/escape-room-soledad-fundacion-la-caixa-manifiesto-2025-3/
Fiap,2025,Innovacion,Emoji Cocktails,E Leon Jimenes,The Table by de ferrari borrell,Independiente,Independiente,Innovacion en Redes Sociales,Shortlist,Republica Dominicana,La Aurora,Ron 1903,The Table By de ferrari borrell,/awards/fiap/2025/campaigns/emoji-cocktails-e-leon-jimenes-the-table-by-de-ferrari-borrell-2025/
Fiap,2025,Anuncios,Espacios Reducidos,Nissan,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Via Publica - Productos,Shortlist,Nicaragua,Nissan Nicaragua,Intelligent Around Viewï¿½ Monitor,N/A,/awards/fiap/2025/campaigns/espacios-reducidos-nissan-publicidad-comercial-mullenlowe-2025/
Fiap,2025,Anuncios,El Atraco,Amnistia Internacional,La Despensa,Independiente,Independiente,Television/Cine/Digital - Campanas Bien Publico,Shortlist,Espana,Amnistia Internacional,Amnistia Internacional,Rebolucion y McNulty,/awards/fiap/2025/campaigns/el-atraco-amnistia-internacional-la-despensa-2025/
Fiap,2025,Anuncios,Good Max,Fundacion Sant Joan de Deu,La Despensa,Independiente,Independiente,Creatividad Efectiva - Bien Publico,Shortlist,Espana,Fundacion Sant Joan de Deu,Recaudacion para la investigacion del cancer infantil,Antiestatico,/awards/fiap/2025/campaigns/good-max-fundacion-sant-joan-de-deu-la-despensa-2025/
Fiap,2025,Produccion,Good Max,Fundacion Sant Joan de Deu,La Despensa,Independiente,Independiente,Tecnicas de Produccion Audiovisual - Fotografia,Shortlist,Espana,Fundacion Sant Joan de Deu,Recaudacion para la investigacion del cancer infantil,Antiestatico,/awards/fiap/2025/campaigns/good-max-fundacion-sant-joan-de-deu-la-despensa-2025-2/
Fiap,2025,Anuncios,Espacios Reducidos,Nissan Nicaragua,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Uso de Inteligencia Artificial,Shortlist,Nicaragua,Nissan Nicaragua/GrupoQ,Intelligent Around Viewï¿½ Monitor,N/A,/awards/fiap/2025/campaigns/espacios-reducidos-nissan-nicaragua-publicidad-comercial-mullenlowe-2025/
Fiap,2025,Produccion,Espacios Reducidos,Nissan,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Tecnicas de Produccion Grafica - Direccion de Arte,Shortlist,Nicaragua,Nissan Nicaragua,Intelligent Around Viewï¿½ Monitor,N/A,/awards/fiap/2025/campaigns/espacios-reducidos-nissan-publicidad-comercial-mullenlowe-2025-2/
Fiap,2025,Innovacion,The 46% Pine Tree,SOH Conservacion,The Table by de ferrari borrell,Independiente,Independiente,Innovacion en campanas sobre sostenibilidad,Shortlist,Republica Dominicana,SOH Conservacion,Pino Criollo,The table by de ferrari borrell,/awards/fiap/2025/campaigns/the-46-pine-tree-soh-conservacion-the-table-by-de-ferrari-borrell-2025/
Fiap,2025,Anuncios,El Primer Tratamiento Oral,Daflon,TBS,Independiente,Independiente,Grafica - Higiene domestica personal/Belleza/Cosmetica/Perfumeria/Articulos medicinales y Farmaceuticos,Shortlist,Espana,Servier,Daflon,TBS,/awards/fiap/2025/campaigns/el-primer-tratamiento-oral-daflon-tbs-2025/
Fiap,2025,Anuncios,El Primer Tratamiento Oral,Daflon,TBS,Independiente,Independiente,Via Publica - Productos,Shortlist,Espana,Servier,Daflon,TBS,/awards/fiap/2025/campaigns/el-primer-tratamiento-oral-daflon-tbs-2025-2/
Fiap,2025,Innovacion,A volta ao mundo em 80000 km,Ultracontact,DOM Solucoes Improvaveis,Grupo OM,Grupo OM,Innovacion en Medios Impresos,Shortlist,Brasil,Continental Pneus,Ultracontact tire,DOM Soluï¿½ï¿½es Improvaveis/Ariadna Equador,/awards/fiap/2025/campaigns/a-volta-ao-mundo-em-80000-km-ultracontact-dom-solucoes-improvaveis-2025/
Fiap,2025,Formatos,A volta ao mundo em 80000 km,Ultracontact,DOM Solucoes Improvaveis,Grupo OM,Grupo OM,Branded Content integrado a otras plataformas,Shortlist,Brasil,Continental Pneus,Ultracontact tire,DOM Soluï¿½ï¿½es Improvaveis/Ariadna Equador,/awards/fiap/2025/campaigns/a-volta-ao-mundo-em-80000-km-ultracontact-dom-solucoes-improvaveis-2025-2/
Fiap,2025,Anuncios,Las reglas no escritas del futbol en la Conmebol Libertadores,MAPFRE,Agencia Tango,Colectivo &c,Colectivo &c,Creatividad Efectiva - Aporte Cultural y/o Multicultural,Shortlist,Espana,MAPFRE,PATROCINIO MAPFRE-CONMEBOL LIBERTADORES,The Masses,/awards/fiap/2025/campaigns/las-reglas-no-escritas-del-futbol-en-la-conmebol-libertadores-mapfre-agencia-tango-2025/
Fiap,2025,Innovacion,Pan de Vida,UNICEF Mexico,Miami Ad School,N/A,N/A,Estudiantes,Shortlist,Mexico,UNICEF,ONG,N/A,/awards/fiap/2025/campaigns/pan-de-vida-unicef-mexico-miami-ad-school-2025/
Fiap,2025,Anuncios,Pepsi Sunsets,Pepsi,Valor,Independiente,Independiente,Via Publica - Productos,Shortlist,Peru,PepsiCo,Pepsi,Studio V - Paola Pastrana,/awards/fiap/2025/campaigns/pepsi-sunsets-pepsi-valor-2025/
Fiap,2025,Formatos,Un contenido muy poco normal,Banco BHD,Publicis Dominicana,Publicis Worldwide,Publicis Groupe,Mejor Uso de Influencer en cualquier plataforma,Shortlist,Republica Dominicana,Banco BHD,Segmento Mujer BHD,N/A,/awards/fiap/2025/campaigns/un-contenido-muy-poco-normal-banco-bhd-publicis-dominicana-2025/
Fiap,2025,Innovacion,Fan Home - El estadio que se convirtio en un verdadero hogar,Fotocasa,Coyote - Reserva Creativa,Independiente,Independiente,Innovacion en Eventos/Experiencia,Shortlist,Espana,Adevinta,Patrocinio Atletico de Madrid,Paco Gelardo,/awards/fiap/2025/campaigns/fan-home-el-estadio-que-se-convirtio-en-un-verdadero-hogar-fotocasa-coyote-reserva-creativa-2025/
Fiap,2025,Innovacion,Autokscuela,Cochesnet,Coyote - Reserva Creativa,Independiente,Independiente,Innovacion en Musica,Shortlist,Espana,Adevinta,Cochesnet,Coyote - Reserva Creativa/Salloia - Productora musical IA,/awards/fiap/2025/campaigns/autokscuela-cochesnet-coyote-reserva-creativa-2025/
Fiap,2025,Formatos,La Cancion de Amor que no Sabias que Escribiste,Amaras,Valor,Independiente,Independiente,Mejor Uso de Influencer en cualquier plataforma,Shortlist,Peru,Alicorp,Shampoo Amaras,Ka&O,/awards/fiap/2025/campaigns/la-cancion-de-amor-que-no-sabias-que-escribiste-amaras-valor-2025/
Fiap,2025,Formatos,Un contenido muy poco normal,Banco BHD,Publicis Dominicana,Publicis Worldwide,Publicis Groupe,Contenido con mejor estrategia digital,Shortlist,Republica Dominicana,Banco BHD,Segmento Mujer BHD,N/A,/awards/fiap/2025/campaigns/un-contenido-muy-poco-normal-banco-bhd-publicis-dominicana-2025-2/
Fiap,2025,Formatos,Un contenido muy poco normal,Banco BHD,Publicis Dominicana,Publicis Worldwide,Publicis Groupe,Social Content,Shortlist,Republica Dominicana,Banco BHD,Segmento Mujer BHD,N/A,/awards/fiap/2025/campaigns/un-contenido-muy-poco-normal-banco-bhd-publicis-dominicana-2025-3/
Fiap,2025,Formatos,Un contenido muy poco normal,Banco BHD,Publicis Dominicana,Publicis Worldwide,Publicis Groupe,Branded Content integrado a otras plataformas,Shortlist,Republica Dominicana,Banco BHD,Segmento Mujer BHD,N/A,/awards/fiap/2025/campaigns/un-contenido-muy-poco-normal-banco-bhd-publicis-dominicana-2025-4/
Fiap,2025,Anuncios,The Illegal Spots,Vans,The Pub School,N/A,N/A,Estudiantes,Shortlist,Colombia,Vans,The Illegal Spots,N/A,/awards/fiap/2025/campaigns/the-illegal-spots-vans-the-pub-school-2025/
Fiap,2025,Formatos,Museo Cajita Feliz,McDonalds,YoCo Agency,Independiente,Independiente,Live Experience,Shortlist,Guatemala,McDonalds Guatemala,Institucional,YoCo,/awards/fiap/2025/campaigns/museo-cajita-feliz-mcdonalds-yoco-agency-2025/
Fiap,2025,Formatos,Museo Cosplayer,McDonalds,YoCo Agency,Independiente,Independiente,Live Experience,Shortlist,Guatemala,McDonalds Guatemala,Salsa Chili Picante,YoCo,/awards/fiap/2025/campaigns/museo-cosplayer-mcdonalds-yoco-agency-2025/
Fiap,2025,Innovacion,Museo Cajita Feliz,McDonalds,YoCo Agency,Independiente,Independiente,Innovacion en Eventos/Experiencia,Shortlist,Guatemala,McDonalds Guatemala,Institucional,YoCo,/awards/fiap/2025/campaigns/museo-cajita-feliz-mcdonalds-yoco-agency-2025-2/
Fiap,2025,Produccion,Museo Cajita Feliz,McDonalds,YoCo Agency,Independiente,Independiente,Tecnicas de Produccion en PR,Shortlist,Guatemala,McDonalds Guatemala,Institucional,YoCo,/awards/fiap/2025/campaigns/museo-cajita-feliz-mcdonalds-yoco-agency-2025-3/
Fiap,2025,Formatos,Community King,Burger King,BBA,Independiente,Independiente,Social Content,Shortlist,Ecuador,Burger King,Burger King,Fabryca,/awards/fiap/2025/campaigns/community-king-burger-king-bba-2025/
Fiap,2025,Innovacion,Museo Cosplayer,McDonalds,YoCo Agency,Independiente,Independiente,Innovacion en Eventos/Experiencia,Shortlist,Guatemala,McDonalds Guatemala,Salsa Chili Picante,YoCo,/awards/fiap/2025/campaigns/museo-cosplayer-mcdonalds-yoco-agency-2025-2/
Fiap,2025,Produccion,Museo Cosplayer,McDonalds,YoCo Agency,Independiente,Independiente,Tecnicas de Produccion en PR,Shortlist,Guatemala,McDonalds Guatemala,Salsa Chili Picante,YoCo,/awards/fiap/2025/campaigns/museo-cosplayer-mcdonalds-yoco-agency-2025-3/
Fiap,2025,Formatos,Pete Zahat,Pizza Hut,BBA,Independiente,Independiente,Mejor Uso de Influencer en cualquier plataforma,Shortlist,Ecuador,Pizza Hut,Pizza Hut,Fabryca,/awards/fiap/2025/campaigns/pete-zahat-pizza-hut-bba-2025/
Fiap,2025,Formatos,Pete Zahat,Pizza Hut,BBA,Independiente,Independiente,Contenido con mejor estrategia digital,Shortlist,Ecuador,Pizza Hut,Pizza Hut,Fabryca,/awards/fiap/2025/campaigns/pete-zahat-pizza-hut-bba-2025-2/
Fiap,2025,Innovacion,Community King,Burger King,BBA,Independiente,Independiente,Innovacion en PR,Shortlist,Ecuador,Burger King,Burger King,Fabryca,/awards/fiap/2025/campaigns/community-king-burger-king-bba-2025-2/
