Festival,Year,Track,Category,Title,Agency,Network,Holding,Country,Company,Brand,Product,Producer,Award,Board image,Permalink
FIAP,2025,Innovacion,Innovacion en Campañas Sobre Sostenibilidad,De Vuelta A Casa GS,Joystick Fifco,Agencia Independiente,Agencia Independiente,Costa Rica,Imperial,Imperial Fifco,Cerveza,Del Mate Producciones - Kaiju Creators,Grand Prix,https://www.youtube.com/watch?v=kESndHGUP9U,/awards/fiap/2025/campaigns/de-vuelta-a-casa-gs-imperial-fifco-joystick-fifco-2025/
FIAP,2025,Formatos,Via Publica,Nescafe Decaf Billboards GS,Star5 Creative Inc,Ogilvy,WPP,Panama,Nestle,Nescafe,Cafe Descafeinado,VFX,Grand Prix,https://www.ogilvy.com/work/decaf-billboards,/awards/fiap/2025/campaigns/nescafe-decaf-billboards-gs-nescafe-star5-creative-inc-2025/
FIAP,2025,Anuncios,Grafica - Imagen Corporativa - Branding,Thanks For Coke-Creation GS,VML,VML,WPP,Mexico,Coca-Cola,Coca-Cola,Coca-Cola,Mango & Chilly Content,Grand Prix,https://www.vml.com/work/every-coca-cola-is-welcome,/awards/fiap/2025/campaigns/thanks-for-coke-creation-gs-coca-cola-vml-2025/
FIAP,2025,Produccion,Tecnicas de Produccion Grafica - Direccion de Arte,Thanks For Coke-Creation GS,VML,VML,WPP,Mexico,Coca-Cola,Coca-Cola,Coca-Cola,Mango & Chilly Content,Grand Prix,https://www.vml.com/work/every-coca-cola-is-welcome,/awards/fiap/2025/campaigns/thanks-for-coke-creation-gs-coca-cola-vml-2025-2/
FIAP,2025,Innovacion,Innovacion en PR,De Vuelta A Casa,Joystick Fifco,Agencia Independiente,Agencia Independiente,Costa Rica,Imperial,Imperial Fifco,Cerveza,Del Mate Producciones - Kaiju Creators,Gold,,/awards/fiap/2025/campaigns/de-vuelta-a-casa-imperial-fifco-joystick-fifco-2025/
FIAP,2025,Produccion,Tecnicas de Produccion Audiovisual - Animacion Computarizada - Efectos Especiales,Monstruo Vs Robot,BETC Havas,Havas Creative,Havas,Brasil,Stellantis,Citroën Brasil,Citroën Basalt,Zohar,Gold,,/awards/fiap/2025/campaigns/monstruo-vs-robot-citroen-brasil-betc-havas-2025/
FIAP,2025,Formatos,Salud,La Mancha Invisible,BETC Havas,Havas Creative,Havas,Brasil,Reckitt,Vanish,Concienciacion Sobre El Bullying,Lobo,Gold,,/awards/fiap/2025/campaigns/la-mancha-invisible-vanish-betc-havas-2025/
FIAP,2025,Formatos,Advergaming,Game Guardian,VML,VML,WPP,Argentina,Telefonica,Movistar,Telecomunicaciones,Ladoble,Gold,,/awards/fiap/2025/campaigns/game-guardian-movistar-vml-2025/
FIAP,2025,Innovacion,Innovacion en Activaciones,The Rewards Bag,VML,VML,WPP,Uruguay,Gdn,Tata,Supermercado,VML,Gold,,/awards/fiap/2025/campaigns/the-rewards-bag-tata-vml-2025/
FIAP,2025,Produccion,Tecnicas de Produccion de BTL,Habitaciones Que No Callan,Publicidad Comercial Mullenlowe,Mullenlowe Group,IPG,El Salvador,Movimiento De Valientes Latino America Y El Caribe,Movimiento De Valientes Latino America Y El Caribe,Movimiento De Valientes Latino America Y El Caribe,Mullenlowe Ssp3- Gaspar,Gold,,/awards/fiap/2025/campaigns/habitaciones-que-no-callan-movimiento-de-valientes-latino-america-y-el-caribe-publicidad-comercial-mullenlowe-2025/
FIAP,2025,Produccion,Tecnicas de Produccion Digital - Diseño General,37 Lenguas,Tombrasniña,Tombrasniña,Tombrasniña,Argentina,Grupo Dym - Saiv,37 Lenguas,Ron,N-A,Gold,,/awards/fiap/2025/campaigns/37-lenguas-37-lenguas-tombrasnina-2025/
FIAP,2025,Formatos,Business to Business Channel o Partner Marketing - B2B,Thanks For Coke-Creation,VML,VML,WPP,Mexico,Coca-Cola,Coca-Cola,Coca-Cola,Mango & Chilly Content,Gold,,/awards/fiap/2025/campaigns/thanks-for-coke-creation-coca-cola-vml-2025/
FIAP,2025,Innovacion,Innovacion en Eventos-Experiencia,The Kimberly Price,Fahrenheit DDB,DDB Worldwide,Omnicom,Peru,Supermercados Peruanos,Plaza Vea,Plaza Vea,Canica Films,Gold,,/awards/fiap/2025/campaigns/the-kimberly-price-plaza-vea-fahrenheit-ddb-2025/
FIAP,2025,Anuncios,Uso Creativo del Espacio en Publicidad de Eventos,The Kimberly Price,Fahrenheit DDB,DDB Worldwide,Omnicom,Peru,Supermercados Peruanos,Plaza Vea,Plaza Vea,Canica Films,Gold,,/awards/fiap/2025/campaigns/the-kimberly-price-plaza-vea-fahrenheit-ddb-2025-2/
FIAP,2025,Anuncios,Grafica - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,Thanks For Coke-Creation,VML,VML,WPP,Mexico,Coca-Cola,Coca-Cola,Coca-Cola,Mango & Chilly Content,Gold,,/awards/fiap/2025/campaigns/thanks-for-coke-creation-coca-cola-vml-2025-2/
FIAP,2025,Anuncios,Mejor Uso de la Cultura Local,Thanks For Coke-Creation,VML,VML,WPP,Mexico,Coca-Cola,Coca-Cola,Coca-Cola,Mango & Chilly Content,Gold,,/awards/fiap/2025/campaigns/thanks-for-coke-creation-coca-cola-vml-2025-3/
FIAP,2025,Anuncios,Grafica - Imagen Corporativa - Branding,Thanks For Coke-Creation,VML,VML,WPP,Mexico,Coca-Cola,Coca-Cola,Coca-Cola,Mango & Chilly Content,Gold,,/awards/fiap/2025/campaigns/thanks-for-coke-creation-coca-cola-vml-2025-4/
FIAP,2025,Produccion,Tecnicas de Produccion Grafica - Direccion de Arte,Thanks For Coke-Creation,VML,VML,WPP,Mexico,Coca-Cola,Coca-Cola,Coca-Cola,Mango & Chilly Content,Gold,,/awards/fiap/2025/campaigns/thanks-for-coke-creation-coca-cola-vml-2025-5/
FIAP,2025,Formatos,Mejor Campaña de Sostenibilidad,De Vuelta A Casa,Joystick Fifco,Agencia Independiente,Agencia Independiente,Costa Rica,Imperial,Imperial Fifco,Cerveza,Del Mate Producciones - Kaiju Creators,Gold,,/awards/fiap/2025/campaigns/de-vuelta-a-casa-imperial-fifco-joystick-fifco-2025-2/
