Festival,Year,Track,Category,Agency,Red,Holding,Title,Country,Company,Brand,Product,Productora,Award,Permalink
Fiap,2026,Formatos,Mejor Campaña de Sostenibilidad,We,N/A,N/A,The Prompt Project,Brasil,BYD,BYD,Earth Day,Produka Filmes | Produceria,Shortlist,/awards/fiap/2026/campaigns/the-prompt-project-byd-we-2026/
Fiap,2026,Formatos,Business to Business Channel o Partner Marketing - B2B,AlmapBBDO,BBDO Worldwide,Omnicom,Pedigree Caramelo,Brasil,Mars,Pedigree,Pedigree,Surreal Hotel Arts,Shortlist,/awards/fiap/2026/campaigns/pedigree-caramelo-pedigree-almapbbdo-2026/
Fiap,2026,Innovación,Innovación en PR,AlmapBBDO,BBDO Worldwide,Omnicom,The Walk To The Walk Of Fame,Brasil,Diageo,Johnnie Walker,Johnnie Walker,Nuclear,Shortlist,/awards/fiap/2026/campaigns/the-walk-to-the-walk-of-fame-johnnie-walker-almapbbdo-2026/
Fiap,2026,Anuncios,Mejor Diseño,AlmapBBDO,BBDO Worldwide,Omnicom,The Walk To The Walk Of Fame,Brasil,Diageo,Johnnie Walker,Johnnie Walker,Nuclear,Shortlist,/awards/fiap/2026/campaigns/the-walk-to-the-walk-of-fame-johnnie-walker-almapbbdo-2026-2/
Fiap,2026,Formatos,Branded Content - Programa de Ficción,AlmapBBDO,BBDO Worldwide,Omnicom,La Teoría del Triángulo,Brasil,Pepsico,Doritos,Doritos,The Youth,Shortlist,/awards/fiap/2026/campaigns/la-teoria-del-triangulo-doritos-almapbbdo-2026/
Fiap,2026,Producción,Técnicas de Producción Audiovisual - Dirección General,SAMY,Samy Alliance,N/A,Stronger than your prejudice karate,España,PETA,PETA,PETA,Contrario,Shortlist,/awards/fiap/2026/campaigns/stronger-than-your-prejudice-karate-peta-samy-2026/
Fiap,2026,Producción,Técnicas de Producción Audiovisual - Dirección General,SAMY,Samy Alliance,N/A,Stronger than your prejudice Fencer,España,PETA,PETA,PETA,Contrario,Shortlist,/awards/fiap/2026/campaigns/stronger-than-your-prejudice-fencer-peta-samy-2026/
Fiap,2026,Producción,Técnicas de Producción Audiovisual - Dirección General,SAMY,Samy Alliance,N/A,Stronger than your prejudice Cowboy,España,PETA,PETA,PETA,Contrario,Shortlist,/awards/fiap/2026/campaigns/stronger-than-your-prejudice-cowboy-peta-samy-2026/
Fiap,2026,Anuncios,Mejor Diseño,AlmapBBDO,BBDO Worldwide,Omnicom,El Primer Johnnie Walker 24 Años De La Historia,Brasil,Diageo,Johnnie Walker,Johnnie Walker,Anonymous Content Brazil,Shortlist,/awards/fiap/2026/campaigns/el-primer-johnnie-walker-24-anos-de-la-historia-johnnie-walker-almapbbdo-2026/
Fiap,2026,Anuncios,Mejor Concepto,AlmapBBDO,BBDO Worldwide,Omnicom,El Primer Johnnie Walker 24 Años De La Historia,Brasil,Diageo,Johnnie Walker,Johnnie Walker,Anonymous Content Brazil,Shortlist,/awards/fiap/2026/campaigns/el-primer-johnnie-walker-24-anos-de-la-historia-johnnie-walker-almapbbdo-2026-2/
Fiap,2026,Anuncios,Transformación Social - Empresas Privadas,AlmapBBDO,BBDO Worldwide,Omnicom,Pedigree Caramelo,Brasil,Mars,Pedigree,Pedigree,Surreal Hotel Arts,Shortlist,/awards/fiap/2026/campaigns/pedigree-caramelo-pedigree-almapbbdo-2026-2/
Fiap,2026,Innovación,Innovación en PR,We,N/A,N/A,The Price of Change,Brasil,BYD,BYD,BYD Dolphin Mini,Produceria,Shortlist,/awards/fiap/2026/campaigns/the-price-of-change-byd-we-2026/
Fiap,2026,Innovación,Innovación en Eventos/Experiencia,AlmapBBDO,BBDO Worldwide,Omnicom,The No Dress,Brasil,Diageo,Tanqueray,Tanqueray,Creative Blood,Shortlist,/awards/fiap/2026/campaigns/the-no-dress-tanqueray-almapbbdo-2026/
Fiap,2026,Innovación,Innovación en Tecnología,Circus Grey,Grey,WPP,SOS POS,Perú,BCP Perú,BCP,SOS POS,Punto Aparte,Shortlist,/awards/fiap/2026/campaigns/sos-pos-bcp-circus-grey-2026/
Fiap,2026,Formatos,Experiencia de Marca - Nueva categoría,Oniria\TBWA,TBWA Worldwide,Omnicom,Santa María Pueblo Hotel,Paraguay,Gobierno Nacional,Senatur,Santa María Pueblo Hotel,Barraco Films,Shortlist,/awards/fiap/2026/campaigns/santa-maria-pueblo-hotel-senatur-oniriatbwa-2026/
Fiap,2026,Formatos,Mejor Campaña de Sostenibilidad,Oniria\TBWA,TBWA Worldwide,Omnicom,Santa María Pueblo Hotel,Paraguay,Gobierno Nacional,Senatur,Santa María Pueblo Hotel,Barraco Films,Shortlist,/awards/fiap/2026/campaigns/santa-maria-pueblo-hotel-senatur-oniriatbwa-2026-2/
Fiap,2026,Innovación,Innovación en campañas sobre sostenibilidad,Oniria\TBWA,TBWA Worldwide,Omnicom,Santa María Pueblo Hotel,Paraguay,Gobierno Nacional,Senatur,Santa María Pueblo Hotel,Barraco Films,Shortlist,/awards/fiap/2026/campaigns/santa-maria-pueblo-hotel-senatur-oniriatbwa-2026-3/
Fiap,2026,Innovación,Innovación en Activaciones,Oniria\TBWA,TBWA Worldwide,Omnicom,Santa María Pueblo Hotel,Paraguay,Gobierno Nacional,Senatur,Santa María Pueblo Hotel,Barraco Films,Shortlist,/awards/fiap/2026/campaigns/santa-maria-pueblo-hotel-senatur-oniriatbwa-2026-4/
Fiap,2026,Anuncios,Mejor Uso de la Cultura Local,Oniria\TBWA,TBWA Worldwide,Omnicom,Santa María Pueblo Hotel,Paraguay,Gobierno Nacional,Senatur,Santa María Pueblo Hotel,Barraco Films,Shortlist,/awards/fiap/2026/campaigns/santa-maria-pueblo-hotel-senatur-oniriatbwa-2026-5/
Fiap,2026,Innovación,Salud,AlmapBBDO,BBDO Worldwide,Omnicom,Pedigree Caramelo,Brasil,Mars,Pedigree,Pedigree,Surreal Hotel Arts,Shortlist,/awards/fiap/2026/campaigns/pedigree-caramelo-pedigree-almapbbdo-2026-3/
Fiap,2026,Producción,Técnicas de Producción Gráfica - Dirección de Arte,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Golden Waves,El Salvador,Cervecería Salvadoreña,Regia,Regia botella retornable,Felipe Verástegui Ríos,Shortlist,/awards/fiap/2026/campaigns/golden-waves-regia-publicidad-comercial-mullenlowe-2026/
