Festival,Year,Track,Title,Brand,Agency,Category,Format,Award level,Board image
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,SERVICEPLAN GERMANY,GERMANY,,Gold,https://www.geretyawards.com/winners/2025/entry/186608/serviceplan-germany
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,Hakuhodo Inc,JAPAN,,Gold,https://www.geretyawards.com/winners/2025/entry/187317/hakuhodo-inc
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,MullenLowe MENA,MEA,,Gold,https://www.geretyawards.com/winners/2025/entry/186887/mullenlowe-mena
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,El Ruso de Rocky,SPAIN,,Gold,https://www.geretyawards.com/winners/2025/entry/185634/el-ruso-de-rocky
Gerety Awards,2025,B2B,Sleep With Rain,AT&T Business,WEST BBDO,,INTEGRATED,Gold,https://www.geretyawards.com/winners/2025/entry/187552/sleep-with-rain-at-t-business
Gerety Awards,2025,B2B,Thanks for Coke-Creating,Coca-Cola,VML,,INTEGRATED,Gold,https://www.geretyawards.com/winners/2025/entry/187103/thanks-for-coke-creating-coca-cola
Gerety Awards,2025,B2B,Trust Bars,Heineken,LePub Singapore,EMERGING COMMERCE,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187307/trust-bars-heineken
Gerety Awards,2025,B2B,Fantenders,Heineken,BBH China Ltd,ALTERNATIVE,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/186592/fantenders-heineken
Gerety Awards,2025,B2B,Unstoppable,SAP,BBDO New York,ONLINE VIDEO,CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/187551/unstoppable-sap
Gerety Awards,2025,B2B,DONT LOOK DOWN,FIXBY,MullenLowe MENA,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186611/don-t-look-down-fixby
Gerety Awards,2025,B2B,P Is For Performance,Pinterest,Pinterest House of Creative,TV/CINEMA,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/187193/p-is-for-performance-pinterest
Gerety Awards,2025,B2B,The Authorized Hack A Prime-Time Tribute to Telefonicas Centenary,Telefonica,Havas Media,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/176355/the-authorized-hack-a-prime-time-tribute-to-telefonica-s-centenary-telefonica
Gerety Awards,2025,COMMUNICATION CUT ,PRICE PACKS,PENNY,SERVICEPLAN GERMANY,PRODUCT & PACKAGING DESIGN,SINGLE,Grand Prix,https://www.geretyawards.com/winners/2025/entry/178559/price-packs-penny
Gerety Awards,2025,COMMUNICATION CUT ,Its Part of the Game,Dirt is Good,MullenLowe UK,PRINT (PRESS),CAMPAIGN,Gold,https://www.geretyawards.com/winners/2025/entry/187511/it-s-part-of-the-game-dirt-is-good
Gerety Awards,2025,COMMUNICATION CUT ,Never Just A Period,Bodyform/Libresse,AMVBBDO,ONLINE VIDEO,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/187592/never-just-a-period-bodyform-libresse
Gerety Awards,2025,COMMUNICATION CUT ,Returning Creativity,Crayola,Dentsu Creative New York,PR,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/185966/returning-creativity-crayola
Gerety Awards,2025,COMMUNICATION CUT ,Dancing Washers,Whirlpool,VML Mexico,DIGITAL,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186480/dancing-washers-whirlpool
Gerety Awards,2025,COMMUNICATION CUT ,Dancing Washers,Whirlpool,VML Mexico,EMERGING COMMERCE,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186481/dancing-washers-whirlpool
Gerety Awards,2025,COMMUNICATION CUT ,Equal Communication,TERRE DES FEMMES,Scholz & Friends,RADIO,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/185945/equal-communication-terre-des-femmes
Gerety Awards,2025,COMMUNICATION CUT ,Good To Read Packs,Bennet,DDB Group Italy,PRODUCT & PACKAGING DESIGN,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/185301/good-to-read-packs-bennet
Gerety Awards,2025,COMMUNICATION CUT ,Good To Read Packs,Bennet,DDB Group Italy,PR,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/185841/good-to-read-packs-bennet
Gerety Awards,2025,COMMUNICATION CUT ,Its Part of the Game,Dirt is Good,MullenLowe UK,PRINT (OUTDOOR),CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/187503/it-s-part-of-the-game-dirt-is-good
Gerety Awards,2025,COMMUNICATION CUT ,Progresso Soup Drops,Progresso,Edelman,PR,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187791/progresso-soup-drops-progresso
Gerety Awards,2025,COMMUNICATION CUT ,Thanks for Coke-Creating,Coca-Cola,VML,PRINT (OUTDOOR),CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/187200/thanks-for-coke-creating-coca-cola
Gerety Awards,2025,COMMUNICATION CUT ,The Final Copy of Ilon Specht,LOrEal Paris,McCann Paris,,INTEGRATED,Silver,https://www.geretyawards.com/winners/2025/entry/187413/the-final-copy-of-ilon-specht-l-or-al-paris
Gerety Awards,2025,COMMUNICATION CUT ,The First Speech,Reporters Without Borders,INNOCEAN Berlin,TV/CINEMA,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/180449/the-first-speech-reporters-without-borders
Gerety Awards,2025,COMMUNICATION CUT ,Unsilence the Crowd,Sela,VML UK,ALTERNATIVE,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/180548/unsilence-the-crowd-sela
Gerety Awards,2025,COMMUNICATION CUT ,Unsilence the Violence,TERRE DES FEMMES,Scholz & Friends / 2030 Kommunikation,PRINT (OUTDOOR),CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/177345/unsilence-the-violence-terre-des-femmes
Gerety Awards,2025,COMMUNICATION CUT ,Usyk Vs Fury Reignited,Riyadh Season,BigTime Creative Shop,ONLINE VIDEO,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/176571/usyk-vs-fury-reignited-riyadh-season
Gerety Awards,2025,COMMUNICATION CUT ,Connecting Europe,German Rail,Ogilvy Germany,PRINT (OUTDOOR),CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/177077/connecting-europe-german-rail
Gerety Awards,2025,COMMUNICATION CUT ,Dont call it love,Yves Saint Laurent BeautE,BETC,ONLINE VIDEO,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/187269/don-t-call-it-love-yves-saint-laurent-beaut
Gerety Awards,2025,COMMUNICATION CUT ,Food Deserves Pepsi,Pepsi | PepsiCo,BBDO New York,,INTEGRATED,Bronze,https://www.geretyawards.com/winners/2025/entry/187555/food-deserves-pepsi-pepsi-pepsico
Gerety Awards,2025,COMMUNICATION CUT ,Its Part of the Game,Dirt is Good,MullenLowe UK,,INTEGRATED,Bronze,https://www.geretyawards.com/winners/2025/entry/187519/it-s-part-of-the-game-dirt-is-good
Gerety Awards,2025,COMMUNICATION CUT ,Made to Make You Think,BBC Studios,R/GA,STRATEGY,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/186965/made-to-make-you-think-bbc-studios
Gerety Awards,2025,COMMUNICATION CUT ,SFI IRL,Malm Stad,BBDO Nordics,PRINT (OUTDOOR),SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/186279/sfi-irl-malm-stad
Gerety Awards,2025,COMMUNICATION CUT ,The Mayo Exchange,Hellmanns,Edelman,ALTERNATIVE,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/187076/the-mayo-exchange-hellmann-s
Gerety Awards,2025,COMMUNICATION CUT ,The Red Flag Tag,IKEA,DDB Group Italy,PR,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/185616/the-red-flag-tag-ikea
Gerety Awards,2025,COMMUNICATION CUT ,The Smootheriser,Heineken,LePub Singapore,PRODUCT & PACKAGING DESIGN,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/187316/the-smootheriser-heineken
Gerety Awards,2025,COMMUNICATION CUT ,The Unburied Casket,Woman For Change,Edelman,ALTERNATIVE,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/187531/the-unburied-casket-woman-for-change
