Festival,Year,Track,Title,Brand,Agency,Category,Format,Award level,Board image,Permalink
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,SERVICEPLAN GERMANY,GERMANY,,Gold,https://www.geretyawards.com/winners/2025/entry/186608/serviceplan-germany,/awards/geretyawards/2025/campaigns/serviceplan-germany-2025/
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,Hakuhodo Inc,JAPAN,,Gold,https://www.geretyawards.com/winners/2025/entry/187317/hakuhodo-inc,/awards/geretyawards/2025/campaigns/hakuhodo-inc-2025/
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,MullenLowe MENA,MEA,,Gold,https://www.geretyawards.com/winners/2025/entry/186887/mullenlowe-mena,/awards/geretyawards/2025/campaigns/mullenlowe-mena-2025/
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,El Ruso de Rocky,SPAIN,,Gold,https://www.geretyawards.com/winners/2025/entry/185634/el-ruso-de-rocky,/awards/geretyawards/2025/campaigns/el-ruso-de-rocky-2025/
Gerety Awards,2025,B2B,Sleep With Rain,AT&T Business,WEST BBDO,,INTEGRATED,Gold,https://www.geretyawards.com/winners/2025/entry/187552/sleep-with-rain-at-t-business,/awards/geretyawards/2025/campaigns/sleep-with-rain-at-and-t-business-west-bbdo-2025/
Gerety Awards,2025,B2B,Thanks for Coke-Creating,Coca-Cola,VML,,INTEGRATED,Gold,https://www.geretyawards.com/winners/2025/entry/187103/thanks-for-coke-creating-coca-cola,/awards/geretyawards/2025/campaigns/thanks-for-coke-creating-coca-cola-vml-2025/
Gerety Awards,2025,B2B,Trust Bars,Heineken,LePub Singapore,EMERGING COMMERCE,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187307/trust-bars-heineken,/awards/geretyawards/2025/campaigns/trust-bars-heineken-lepub-singapore-2025/
Gerety Awards,2025,B2B,Fantenders,Heineken,BBH China Ltd,ALTERNATIVE,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/186592/fantenders-heineken,/awards/geretyawards/2025/campaigns/fantenders-heineken-bbh-china-ltd-2025/
Gerety Awards,2025,B2B,Unstoppable,SAP,BBDO New York,ONLINE VIDEO,CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/187551/unstoppable-sap,/awards/geretyawards/2025/campaigns/unstoppable-sap-bbdo-new-york-2025/
Gerety Awards,2025,B2B,DONT LOOK DOWN,FIXBY,MullenLowe MENA,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186611/don-t-look-down-fixby,/awards/geretyawards/2025/campaigns/dont-look-down-fixby-mullenlowe-mena-2025/
Gerety Awards,2025,B2B,P Is For Performance,Pinterest,Pinterest House of Creative,TV/CINEMA,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/187193/p-is-for-performance-pinterest,/awards/geretyawards/2025/campaigns/p-is-for-performance-pinterest-pinterest-house-of-creative-2025/
Gerety Awards,2025,B2B,The Authorized Hack A Prime-Time Tribute to Telefonicas Centenary,Telefonica,Havas Media,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/176355/the-authorized-hack-a-prime-time-tribute-to-telefonica-s-centenary-telefonica,/awards/geretyawards/2025/campaigns/the-authorized-hack-a-prime-time-tribute-to-telefonicas-centenary-telefonica-havas-media-2025/
Gerety Awards,2025,COMMUNICATION CUT,PRICE PACKS,PENNY,SERVICEPLAN GERMANY,PRODUCT & PACKAGING DESIGN,SINGLE,Grand Prix,https://www.geretyawards.com/winners/2025/entry/178559/price-packs-penny,/awards/geretyawards/2025/campaigns/price-packs-penny-serviceplan-germany-2025/
Gerety Awards,2025,COMMUNICATION CUT,Its Part of the Game,Dirt is Good,MullenLowe UK,PRINT (PRESS),CAMPAIGN,Gold,https://www.geretyawards.com/winners/2025/entry/187511/it-s-part-of-the-game-dirt-is-good,/awards/geretyawards/2025/campaigns/its-part-of-the-game-dirt-is-good-mullenlowe-uk-2025/
Gerety Awards,2025,COMMUNICATION CUT,Never Just A Period,Bodyform/Libresse,AMVBBDO,ONLINE VIDEO,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/187592/never-just-a-period-bodyform-libresse,/awards/geretyawards/2025/campaigns/never-just-a-period-bodyformlibresse-amvbbdo-2025/
Gerety Awards,2025,COMMUNICATION CUT,Returning Creativity,Crayola,Dentsu Creative New York,PR,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/185966/returning-creativity-crayola,/awards/geretyawards/2025/campaigns/returning-creativity-crayola-dentsu-creative-new-york-2025/
Gerety Awards,2025,COMMUNICATION CUT,Dancing Washers,Whirlpool,VML Mexico,DIGITAL,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186480/dancing-washers-whirlpool,/awards/geretyawards/2025/campaigns/dancing-washers-whirlpool-vml-mexico-2025/
Gerety Awards,2025,COMMUNICATION CUT,Dancing Washers,Whirlpool,VML Mexico,EMERGING COMMERCE,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186481/dancing-washers-whirlpool,/awards/geretyawards/2025/campaigns/dancing-washers-whirlpool-vml-mexico-2025-2/
Gerety Awards,2025,COMMUNICATION CUT,Equal Communication,TERRE DES FEMMES,Scholz & Friends,RADIO,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/185945/equal-communication-terre-des-femmes,/awards/geretyawards/2025/campaigns/equal-communication-terre-des-femmes-scholz-and-friends-2025/
Gerety Awards,2025,COMMUNICATION CUT,Good To Read Packs,Bennet,DDB Group Italy,PRODUCT & PACKAGING DESIGN,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/185301/good-to-read-packs-bennet,/awards/geretyawards/2025/campaigns/good-to-read-packs-bennet-ddb-group-italy-2025/
Gerety Awards,2025,COMMUNICATION CUT,Good To Read Packs,Bennet,DDB Group Italy,PR,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/185841/good-to-read-packs-bennet,/awards/geretyawards/2025/campaigns/good-to-read-packs-bennet-ddb-group-italy-2025-2/
Gerety Awards,2025,COMMUNICATION CUT,Its Part of the Game,Dirt is Good,MullenLowe UK,PRINT (OUTDOOR),CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/187503/it-s-part-of-the-game-dirt-is-good,/awards/geretyawards/2025/campaigns/its-part-of-the-game-dirt-is-good-mullenlowe-uk-2025-2/
