Festival,Year,Award,Entrant,Entrant City,Country,Category,Sub-Category,Brand,Title,Corporate Name of Client,Agency,Agency City
London International Awards - LIA,2025,00-GRAND LIA,HeimatTBWA- Germany,Berlin ,GERMANY,Music & Sound,,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
London International Awards - LIA,2025,01-Gold,DAVID,S�o Paulo,BRAZIL,Creativity In Media,Use of TV and Other Screens,Heinz,I'm Still Here Too,Kraft Heinz,DAVID,S�o Paulo
London International Awards - LIA,2025,01-Gold,Rethink,Toronto,CANADA,Creativity In Media,Use of Branded Entertainment & Content,Kraft Heinz,Can't Unsee It,Kraft Heinz,Rethink,Toronto
London International Awards - LIA,2025,01-Gold,Ogilvy,Santo Domingo,DOMINICAN REPUBLIC,Creativity In Media,Corporate Purpose-Social Responsibility,Chevrolet,Night Signals,Santo Domingo Motors,Ogilvy ,Santo Domingo
London International Awards - LIA,2025,01-Gold,Ogilvy,Santo Domingo,DOMINICAN REPUBLIC,Creativity In Media,Use of Outdoor,Chevrolet,Night Signals,Santo Domingo Motors,Ogilvy ,Santo Domingo
London International Awards - LIA,2025,01-Gold,HeimatTBWA- Germany,Berlin ,GERMANY,Music & Sound,Sound Editing,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
London International Awards - LIA,2025,01-Gold,Ogilvy,Bengaluru,INDIA,Creativity In Media,Health & Pharma,Eye +,Eye Test Menu,Titan Company Limited,Ogilvy Bengaluru-Ogilvy,Mumbai
London International Awards - LIA,2025,01-Gold,LePub Mexico City,Mexico City,MEXICO,Creativity In Media,Use of Events and Stunts,Tecate Light,Gulf of Mexico (Bar),Heineken Group,LePub Mexico City,Mexico City
London International Awards - LIA,2025,01-Gold,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Music & Sound,Music Adaptation - Song,General Entertainment Authority,Obsession,General Entertainment Authority,BigTime Creative Shop,Riyadh
London International Awards - LIA,2025,01-Gold,DAVID,Madrid,SPAIN,Creativity In Media,B2B,Coca-Cola,Shades of Red,The Coca Cola Company,DAVID,Madrid
London International Awards - LIA,2025,01-Gold,AMVBBDO,London,UNITED KINGDOM,Music & Sound,Music Adaptation - Instrumental,Essity-Bodyform,Never Just a Period,Essity Bodyform,AMVBBDO,London
London International Awards - LIA,2025,01-Gold,750mph,London ,UNITED KINGDOM,Music & Sound,Sound Mixing,Riyadh Season,Call Of The Kings,Riyadh Season ,BigTime Creative Shop,Riyadh
London International Awards - LIA,2025,01-Gold,750mph,London ,UNITED KINGDOM,Music & Sound,Sound Mixing,Riyadh Season,Fury vs Usyk,Riyadh Season,BigTime Creative Shop ,Riyadh 
London International Awards - LIA,2025,01-Gold,Zenith,Detroit,UNITED STATES,Creativity In Media,Banking & Finance,Rocket,First Ever LIVE Commercial Crossover,Rocket,Mirimar,Venica
London International Awards - LIA,2025,01-Gold,The Music Playground,New York,UNITED STATES,Music & Sound,Original Music with Lyrics,LifeBridge Health,Stop The Iron Pipeline,LifeBridge Health,Strawberry Frog,New York
London International Awards - LIA,2025,01-Gold,Sound Lounge,New York,UNITED STATES,Music & Sound,Sound Mixing,Tonal,Future of Fitness,Quality Experience,Quality Experience,New York
London International Awards - LIA,2025,01-Gold,FCB Health New York an IPG Health Company,New York,UNITED STATES,Music & Sound,Use of Licensed Music,SAFE Project,The Snowball,SAFE Project,FCB Health New York an IPG Health Company,New York
London International Awards - LIA,2025,02-Silver,Droga5 ANZ part of Accenture Song,Sydney,AUSTRALIA,Creativity In Media,Challenger Brand,Special Broadcasting Service,The Ad That Could Only Be Seen On SBS,Special Broadcasting Service,Droga5 ANZ part of Accenture Song�,Sydney
