Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City
Grand Prix,ATimePlace,Melbourne,AUSTRALIA,Creative Use of Data,,Suzuki,The Suzuki Index,Suzuki Automotive,ATimePlace,Melbourne
Grand Prix,McCann Paris,Paris,FRANCE,Branded Entertainment,,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Grand Prix,Publicis Conseil,Paris,FRANCE,Evolution,,AXA,Three Words,AXA,Publicis Conseil,Paris
Grand Prix,McCann Paris,Paris,FRANCE,TV Cinema,,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Grand Prix,SERVICEPLAN GERMANY,Munich,GERMANY,Ambient Activation,,Rainbow Wool,,SchAferei StA14cke,SERVICEPLAN GERMANY,Munich
Grand Prix,HeimatTBWA- Germany,Berlin,GERMANY,Music Sound,,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Grand Prix,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Grand Prix,de la Cruz Ogilvy,Puerto Rico,PUERTO RICO,Package Design,,Alivia Health,Glowing Relief,Alivia Health,de la Cruz Ogilvy Puerto Rico-Ogilvy Health,New York
Grand Prix,BBDO Bangkok,Bangkok,THAILAND,Online Film,,Five Star,Death of A Salesman,CPF Restaurant and Foods Chain CoLtd,BBDO Bangkok,Bangkok
Grand Prix,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Poster,,NBA India - The Great Indian Dunk,Jordan 23,NBA,Leo Dubai,Dubai
Grand Prix,AMVBBDO,London,UNITED KINGDOM,Creative Strategy,,Libresse-Bodyform,Livefearless - The Heart Guts Behind The Blood,Essity Bodyform,AMVBBDO,London
Grand Prix,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Content,,Apple,Submerged,Apple,TBWA-Media Arts Lab,Los Angeles
Grand Prix,FCB Chicago,Chicago,UNITED STATES,Design,,Caption with Intention,,Rakish Entertainment,FCB Chicago,Chicago
Gold,Ogilvy Argentina,Buenos Aires,ARGENTINA,Audio Radio,Creativity in Commerce,Calm Is Simple,The Sound of Divorce,Calm es Simple,Ogilvy Argentina,Buenos Aires
Gold,Monks,Buenos Aires,ARGENTINA,Branded Entertainment,Creative Use of Data,Netflix,Sennas Cut,Netflix Latam,Monks,Buenos Aires
Gold,ATimePlace,Melbourne,AUSTRALIA,Creative Use of Data,Data-Led Creativity,Suzuki,The Suzuki Index,Suzuki Automotive,ATimePlace,Melbourne
Gold,AlmapBBDO,Sao Paulo,BRAZIL,Creative Strategy,Cultural Insight,Pedigree,Pedigree Caramelo,Mars,AlmapBBDO,Sao Paulo
Gold,DAVID,Sao Paulo,BRAZIL,Creativity In Media,Use of TV and Other Screens,Heinz,Im Still Here Too,Kraft Heinz,DAVID,Sao Paulo
Gold,Rethink,Toronto,CANADA,Ambient Activation,Use of Social Media,IKEA,U up,IKEA,Rethink,Toronto
Gold,Rethink,Toronto,CANADA,Creative Strategy,Breaking Sector Convention,Molson Coors,Paid Through Parents,Molson Coors Beverage Company,Rethink,Toronto
Gold,Rethink,Toronto,CANADA,Creative Strategy,CPG-FMCG,Molson Coors,Paid Through Parents,Molson Coors Beverage Company,Rethink,Toronto
Gold,Rethink,Toronto,CANADA,Creativity In Media,Use of Branded Entertainment Content,Kraft Heinz,Cant Unsee It,Kraft Heinz,Rethink,Toronto
