Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City,Permalink
Grand Prix,ATimePlace,Melbourne,AUSTRALIA,Creative Use of Data,,Suzuki,The Suzuki Index,Suzuki Automotive,ATimePlace,Melbourne,/awards/lia_awards/2025/campaigns/the-suzuki-index-suzuki-atimeplace-2025/
Grand Prix,McCann Paris,Paris,FRANCE,Branded Entertainment,,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025/
Grand Prix,Publicis Conseil,Paris,FRANCE,Evolution,,AXA,Three Words,AXA,Publicis Conseil,Paris,/awards/lia_awards/2025/campaigns/three-words-axa-publicis-conseil-2025/
Grand Prix,McCann Paris,Paris,FRANCE,TV Cinema,,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025-2/
Grand Prix,SERVICEPLAN GERMANY,Munich,GERMANY,Ambient Activation,,Rainbow Wool,,SchAferei StA14cke,SERVICEPLAN GERMANY,Munich,/awards/lia_awards/2025/campaigns/rainbow-wool-serviceplan-germany-2025/
Grand Prix,HeimatTBWA- Germany,Berlin,GERMANY,Music Sound,,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin,/awards/lia_awards/2025/campaigns/no-project-without-drama-hornbach-heimattbwa-germany-2025/
Grand Prix,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin,/awards/lia_awards/2025/campaigns/no-project-without-drama-hornbach-heimattbwa-germany-2025-2/
Grand Prix,de la Cruz Ogilvy,Puerto Rico,PUERTO RICO,Package Design,,Alivia Health,Glowing Relief,Alivia Health,de la Cruz Ogilvy Puerto Rico-Ogilvy Health,New York,/awards/lia_awards/2025/campaigns/glowing-relief-alivia-health-de-la-cruz-ogilvy-puerto-rico-ogilvy-health-2025/
Grand Prix,BBDO Bangkok,Bangkok,THAILAND,Online Film,,Five Star,Death of A Salesman,CPF Restaurant and Foods Chain CoLtd,BBDO Bangkok,Bangkok,/awards/lia_awards/2025/campaigns/death-of-a-salesman-five-star-bbdo-bangkok-2025/
Grand Prix,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Poster,,NBA India - The Great Indian Dunk,Jordan 23,NBA,Leo Dubai,Dubai,/awards/lia_awards/2025/campaigns/jordan-23-nba-india-the-great-indian-dunk-leo-dubai-2025/
Grand Prix,AMVBBDO,London,UNITED KINGDOM,Creative Strategy,,Libresse-Bodyform,Livefearless - The Heart Guts Behind The Blood,Essity Bodyform,AMVBBDO,London,/awards/lia_awards/2025/campaigns/livefearless-the-heart-guts-behind-the-blood-libresse-bodyform-amvbbdo-2025/
Grand Prix,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Content,,Apple,Submerged,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/submerged-apple-tbwa-media-arts-lab-2025/
