Festival,Year,Award,Track,Title,Agency,Brand,Team,Board image,Permalink
Luum Awards,2024,Grand Prix,Planet - Protecting Life on Land,The Wild Algorithm Reset,Edelman,Ampara,Judy John Global CCO Stefan Ronge EMEA CCO Mattias Ronge EMEA CCO Felipe Braz Costa ECD Marcelo Conde Associate Creative Director Copy Eiji Kozaka Associate Creative Director Art Direction Albert Botelho Head of Art David Pastor Graphic Designer Valentino Fusco Account Manager Nancy Weiss Senior Account Exec Antoine Harary Global President of DxI Thibault Moreau EVP Data Insight Lead Matthew Sato EVP Alastair Steele VP SEO Lead UK,https--wwwyoutubecom-watchvYm4wVZsy6yo,/awards/luum_awards/2024/campaigns/the-wild-algorithm-reset-ampara-edelman-2024/
Luum Awards,2024,Grand Prix,Essence of the Message - Diversity and inclusion - PR-CRM,Code My Crown,Edelman,Dove-Unilever,Judy John Global CCO Andrew Simon Global ECD for Unilever Jamie George Cordwell Global ECD John Wilds Associate Creative Director - Copy Thiago Campos Associate Creative Director Art Direction Albert Botelho Senior Art Director Virginia Landau Senior Director Global Client Lead for Unilever Ashlie White SVP Multicultural Stratakis Global Client Director Anna Cantley Associate Client Director Melle Hock CSO for US and Global Strategy Lead for Unilever Alex Sullivan Strategy Director Lucie Hackman Head of Production Georgina Shann SVP DxI Ashley Jamieson Project Manager,https--wwwyoutubecom-watchve-d81WoSDK8,/awards/luum_awards/2024/campaigns/code-my-crown-dove-unilever-edelman-2024/
Luum Awards,2024,Grand Prix,Causes - Partnerships to Achieve Goals - Outdoor,Car Parts for Life,De La Cruz - Ogilvy,Plaza Las AmAricas Mall and Stefano Foundation for Organ Donation,SebastiAn Bullorini JosA Morales - Tanya de Jesus - Vicky ValdAs Heidi Vidal - Enrique GarcAa Thompson - Raquel Cordero Nanel RodrAguez Innovation Director Carmen DAaz Production Manager Carlos Escriva Editor Javier De Bourg Head of Art Sergio Tirado Content Producer Axel Santiago Content Producer Joseph Rivera Content Producer,https--wwwyoutubecom-watchvZTFr0W1pyQ4,/awards/luum_awards/2024/campaigns/car-parts-for-life-plaza-las-amaricas-mall-and-stefano-foundation-for-organ-donation-de-la-cruz-ogilvy-2024/
Luum Awards,2024,Grand Prix,Institutional Communication,Car Parts for Life,De La Cruz - Ogilvy,Plaza Las AmAricas Mall and Stefano Foundation for Organ Donation,SebastiAn Bullorini JosA Morales - Tanya de Jesus - Vicky ValdAs Heidi Vidal - Enrique GarcAa Thompson - Raquel Cordero Nanel RodrAguez Innovation Director Carmen DAaz Production Manager Carlos Escriva Editor Javier De Bourg Head of Art Sergio Tirado Content Producer Axel Santiago Content Producer Joseph Rivera Content Producer,https--wwwyoutubecom-watchvZTFr0W1pyQ4,/awards/luum_awards/2024/campaigns/car-parts-for-life-plaza-las-amaricas-mall-and-stefano-foundation-for-organ-donation-de-la-cruz-ogilvy-2024-2/
Luum Awards,2024,Gold,Institutional Communication,Park Rangers,1947,Alas Chiquitanas,Ferju Cuevas - Rodsel Ticona JosA Fickert Mars Jimenez AndrAs Unter LoboStudio LR Lucho RamArez Daniela Justiniano,,/awards/luum_awards/2024/campaigns/park-rangers-alas-chiquitanas-1947-2024/
Luum Awards,2024,Gold,Planet - Responsible Consumption and Production,The Move to -15,Edelman,Ampara,,,/awards/luum_awards/2024/campaigns/the-move-to-15-ampara-edelman-2024/
Luum Awards,2024,Gold,Health Wellness - Health Wellness Education Awareness,Lifebuoy Diagnosticker,Edelman,Lifebuoy-Unilever,Judy John Global CCO Tim Green APAC CCO Shaun Tan Senior Copywriter Daniel Aung Art Director Stephanie Kwok Senior Account Manager Dorothea Ng Senior Client Exec Chris Pek Client Director Shalsa Putri Senior Client Exec Nadya Warih Client Exec Nisha Sivan Head of Strategy Integrated Cliennts Nurin Nazifa Senior Strategist Jeth Heng Production Lead Ame Razak Senior Producer Arinah Sham Junior Producer Ferra Handayani Social Media content Specialist,,/awards/luum_awards/2024/campaigns/lifebuoy-diagnosticker-lifebuoy-unilever-edelman-2024/
Luum Awards,2024,Gold,Health Wellness - Health Wellness Education Awareness - Internet-Social Media,Allegra Airways,Edelman,Sanofi,,,/awards/luum_awards/2024/campaigns/allegra-airways-sanofi-edelman-2024/
Luum Awards,2024,Gold,Society - Campaigns - Society,Car Parts for Life,De La Cruz - Ogilvy,Plaza Las AmAricas Mall and Stefano Foundation for Organ Donation,SebastiAn Bullorini JosA Morales - Tanya de Jesus - Vicky ValdAs Heidi Vidal - Enrique GarcAa Thompson - Raquel Cordero Nanel RodrAguez Innovation Director Carmen DAaz Production Manager Carlos Escriva Editor Javier De Bourg Head of Art Sergio Tirado Content Producer Axel Santiago Content Producer Joseph Rivera Content Producer,,/awards/luum_awards/2024/campaigns/car-parts-for-life-plaza-las-amaricas-mall-and-stefano-foundation-for-organ-donation-de-la-cruz-ogilvy-2024-3/
Luum Awards,2024,Gold,Causes - Causes - Campaigns,Car Parts for Life,De La Cruz - Ogilvy,Plaza Las AmAricas Mall and Stefano Foundation for Organ Donation,SebastiAn Bullorini JosA Morales - Tanya de Jesus - Vicky ValdAs Heidi Vidal - Enrique GarcAa Thompson - Raquel Cordero Nanel RodrAguez Innovation Director Carmen DAaz Production Manager Carlos Escriva Editor Javier De Bourg Head of Art Sergio Tirado Content Producer Axel Santiago Content Producer Joseph Rivera Content Producer,,/awards/luum_awards/2024/campaigns/car-parts-for-life-plaza-las-amaricas-mall-and-stefano-foundation-for-organ-donation-de-la-cruz-ogilvy-2024-4/
Luum Awards,2024,Gold,Causes - Partnerships to Achieve Goals - Outdoor,Car Parts for Life,De La Cruz - Ogilvy,Plaza Las AmAricas Mall and Stefano Foundation for Organ Donation,SebastiAn Bullorini JosA Morales - Tanya de Jesus - Vicky ValdAs Heidi Vidal - Enrique GarcAa Thompson - Raquel Cordero Nanel RodrAguez Innovation Director Carmen DAaz Production Manager Carlos Escriva Editor Javier De Bourg Head of Art Sergio Tirado Content Producer Axel Santiago Content Producer Joseph Rivera Content Producer,,/awards/luum_awards/2024/campaigns/car-parts-for-life-plaza-las-amaricas-mall-and-stefano-foundation-for-organ-donation-de-la-cruz-ogilvy-2024-5/
Luum Awards,2024,Gold,Institutional Communication,Car Parts for Life,De La Cruz - Ogilvy,Plaza Las AmAricas Mall and Stefano Foundation for Organ Donation,SebastiAn Bullorini JosA Morales - Tanya de Jesus - Vicky ValdAs Heidi Vidal - Enrique GarcAa Thompson - Raquel Cordero Nanel RodrAguez Innovation Director Carmen DAaz Production Manager Carlos Escriva Editor Javier De Bourg Head of Art Sergio Tirado Content Producer Axel Santiago Content Producer Joseph Rivera Content Producer,,/awards/luum_awards/2024/campaigns/car-parts-for-life-plaza-las-amaricas-mall-and-stefano-foundation-for-organ-donation-de-la-cruz-ogilvy-2024-6/
Luum Awards,2024,Gold,Essence of the Message - Diversity and inclusion - Internet-Social Media,Switch to Sign AkuPakaiBISINDO,i-dac Indonesia,Telkomsel,CCO Linda Mutiara Chasanah Creative Director Nia Nugroho Copywriter Lakky Ramadhani Art Director Angga Rahmanda Yessica Ade Account Lead Yulia Irma Rini Strategy Planning Isabella Reharta Producer Riri Usman Reynaldo Team Member Sri Bintang Darmawan-Andika Wendri-Nana Nurdiansyah-Daniel Doddy-Hafizhul Fadhli,,/awards/luum_awards/2024/campaigns/switch-to-sign-akupakaibisindo-telkomsel-i-dac-indonesia-2024/
Luum Awards,2024,Gold,Human Rights - Reducing Inequalities - Gender Equality,Unseen Goals,Joystick FIFCO,Imperial,Fernando Hidalgo Jose Cambronero Andrea Castro Paula AragA3n Vivian Mayorga Gabriel RamArez Jose Pablo Murillo FabiAn LorAa NicolAs Silva Mayron JimAnez,,/awards/luum_awards/2024/campaigns/unseen-goals-imperial-joystick-fifco-2024/
Luum Awards,2024,Gold,Essence of the Message - Equality - Internet-Social Media,Unseen Goals,Joystick FIFCO,Imperial,Fernando Hidalgo Jose Cambronero Andrea Castro Paula AragA3n Vivian Mayorga Gabriel RamArez Jose Pablo Murillo FabiAn LorAa NicolAs Silva Mayron JimAnez,,/awards/luum_awards/2024/campaigns/unseen-goals-imperial-joystick-fifco-2024-2/
Luum Awards,2024,Gold,Essence of the Message - Sporting values - Internet-Social Media,Unseen Goals,Joystick FIFCO,Imperial,Fernando Hidalgo Jose Cambronero Andrea Castro Paula AragA3n Vivian Mayorga Gabriel RamArez Jose Pablo Murillo FabiAn LorAa NicolAs Silva Mayron JimAnez,,/awards/luum_awards/2024/campaigns/unseen-goals-imperial-joystick-fifco-2024-3/
Luum Awards,2024,Gold,Essence of the Message - Sporting values - PR-CRM,Unseen Goals,Joystick FIFCO,Imperial,Fernando Hidalgo Jose Cambronero Andrea Castro Paula AragA3n Vivian Mayorga Gabriel RamArez Jose Pablo Murillo FabiAn LorAa NicolAs Silva Mayron JimAnez,,/awards/luum_awards/2024/campaigns/unseen-goals-imperial-joystick-fifco-2024-4/
Luum Awards,2024,Gold,Planet - Promoting Sustainable Cities and Communities,KubotaaTMs Turn Waste to AGRIwear,The Leo Burnett Group,KUBOTA,Prasert Vijitpawan CCO - Thiti Boonkerd Deputy ECD Nattapon Trungruang Senior Copywriter - Norawit Saratsamith Senior Copywriter Yosathorn Numbenjapol Account Management Director - Jirachada Buranathanasin Senior Account Manager - Phattanant Boonnak Account Manager Teerawat Kraiarb Senior Art Director - Pongpan Boonmak Art Director - Theetasak Dangrojana Creative Group Head - Ratee Ngarmniyom Creative Director,,/awards/luum_awards/2024/campaigns/kubotaatms-turn-waste-to-agriwear-kubota-the-leo-burnett-group-2024/
Luum Awards,2024,Gold,Planet - Climate Action,KubotaaTMs Turn Waste to AGRIwear,The Leo Burnett Group,KUBOTA,Prasert Vijitpawan CCO - Thiti Boonkerd Deputy ECD Nattapon Trungruang Senior Copywriter - Norawit Saratsamith Senior Copywriter Yosathorn Numbenjapol Account Management Director - Jirachada Buranathanasin Senior Account Manager - Phattanant Boonnak Account Manager Teerawat Kraiarb Senior Art Director - Pongpan Boonmak Art Director - Theetasak Dangrojana Creative Group Head - Ratee Ngarmniyom Creative Director,,/awards/luum_awards/2024/campaigns/kubotaatms-turn-waste-to-agriwear-kubota-the-leo-burnett-group-2024-2/
Luum Awards,2024,Gold,Essence of the Message - Civic Values - Outdoor,LA SOLEDAD NO SE VE SE SIENTE,Manifiesto,FundaciA3n La Caixa,Sebastian Sanchez Giraldo Adrian Bravo Andres Naudin David SanJuan David Diaz Amanda Bellart,,/awards/luum_awards/2024/campaigns/la-soledad-no-se-ve-se-siente-fundacia3n-la-caixa-manifiesto-2024/
Luum Awards,2024,Gold,Health Wellness - Mental Health Education Awareness - Outdoor,LA SOLEDAD NO SE VE SE SIENTE,Manifiesto,FundaciA3n La Caixa,Sebastian Sanchez Giraldo Adrian Bravo Andres Naudin David SanJuan David Diaz Amanda Bellart,,/awards/luum_awards/2024/campaigns/la-soledad-no-se-ve-se-siente-fundacia3n-la-caixa-manifiesto-2024-2/
Luum Awards,2024,Gold,Health Wellness - Health Wellness - Campaigns,La CampaAa Incompleta,Manifiesto,Manifiesto,Sebastian Sanchez Giraldo Fede Arce Oscar Moreno Chiqui Palomares Jesus Ovejero,,/awards/luum_awards/2024/campaigns/la-campaaa-incompleta-manifiesto-manifiesto-2024/
Luum Awards,2024,Gold,Essence of the Message - Solidarity - Internet-Social Media,SURVIVAL MANUALS,Publicidad Comercial Mullenlowe,manualesparasobrevivirorg,Orlando Alvarez,,/awards/luum_awards/2024/campaigns/survival-manuals-manualesparasobrevivirorg-publicidad-comercial-mullenlowe-2024/
Luum Awards,2024,Gold,Health Wellness - Mental Health Education Awareness - PR-CRM,SURVIVAL MANUALS,Publicidad Comercial Mullenlowe,manualesparasobrevivirorg,Orlando Alvarez,,/awards/luum_awards/2024/campaigns/survival-manuals-manualesparasobrevivirorg-publicidad-comercial-mullenlowe-2024-2/
Luum Awards,2024,Gold,Human Rights - Reducing Inequalities - Other Inequalities,Pride Verified,Publicitariasorg Ecuador,Publicitariasorg,Sussy Navia Rossi RodrAguez Luisiana Navia Francesca Zambrano Denisse AlarcA3n Camila DAvila Ilse Miranda Maite Spinelli BelAn Navia Astrid Valarezo Rafaela Esteves,,/awards/luum_awards/2024/campaigns/pride-verified-publicitariasorg-publicitariasorg-ecuador-2024/
Luum Awards,2024,Gold,Essence of the Message - Diversity and inclusion,Pride Verified,Publicitariasorg Ecuador,Publicitariasorg,Sussy Navia Rossi RodrAguez Luisiana Navia Francesca Zambrano Denisse AlarcA3n Camila DAvila Ilse Miranda Maite Spinelli BelAn Navia Astrid Valarezo Rafaela Esteves Melanie Tobal Julia Rayeb,,/awards/luum_awards/2024/campaigns/pride-verified-publicitariasorg-publicitariasorg-ecuador-2024-2/
Luum Awards,2024,Gold,Society - Art and Culture Development,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrAguez Pons Camilo MonzA3n Navas Jillian Mastroianni,,/awards/luum_awards/2024/campaigns/speechlist-speechlist-tank-worldwide-2024/
Luum Awards,2024,Gold,Human Rights - Anti-Discrimination,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrAguez Pons Camilo MonzA3n Navas Jillian Mastroianni,,/awards/luum_awards/2024/campaigns/speechlist-speechlist-tank-worldwide-2024-2/
Luum Awards,2024,Gold,Human Rights - Reducing Inequalities - Other Inequalities,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrAguez Pons Camilo MonzA3n Navas Jillian Mastroianni,,/awards/luum_awards/2024/campaigns/speechlist-speechlist-tank-worldwide-2024-3/
Luum Awards,2024,Gold,Institutional Communication,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrAguez Pons Camilo MonzA3n Navas Jillian Mastroianni,,/awards/luum_awards/2024/campaigns/speechlist-speechlist-tank-worldwide-2024-4/
Luum Awards,2024,Gold,Society - Stop Violence,CIEN,Tribeca Media,plazaVea,General Creative Director Lea Raggio Art Director Marlon Valencia - Copy Ernesto RioFrAo Account Manager Carolina Salazar,,/awards/luum_awards/2024/campaigns/cien-plazavea-tribeca-media-2024/
Luum Awards,2024,Gold,Society - Hunger,The Culinary Ranking For Good,Valor,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,,/awards/luum_awards/2024/campaigns/the-culinary-ranking-for-good-alicorp-valor-2024/
Luum Awards,2024,Gold,Society - Poverty,The Culinary Ranking For Good,VALOR,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,,/awards/luum_awards/2024/campaigns/the-culinary-ranking-for-good-alicorp-valor-2024-2/
Luum Awards,2024,Gold,Causes - Partnerships to Achieve Goals - PR-CRM,The Culinary Ranking For Good,Valor,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,,/awards/luum_awards/2024/campaigns/the-culinary-ranking-for-good-alicorp-valor-2024-3/
Luum Awards,2024,Gold,Essence of the Message - Solidarity - PR-CRM,The Culinary Ranking For Good,Valor,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,,/awards/luum_awards/2024/campaigns/the-culinary-ranking-for-good-alicorp-valor-2024-4/
Luum Awards,2024,Gold,Essence of the Message - Empowerment - PR-CRM,The Culinary Ranking For Good,VALOR,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,,/awards/luum_awards/2024/campaigns/the-culinary-ranking-for-good-alicorp-valor-2024-5/
Luum Awards,2024,Gold,Planet - Planet - Campaigns,World Rainforest Day,X3M ideas,Nigerian Conservation Foundation,CCO Steve Babaeko - ECD Mike Miller - DCD Kelechi Uduma - DCD Oladunni Williams - HOA Samuel Oluwagbemi Copywriters Okikijesu Adeyeye Art Directors Peter Oyelami Godswill Cheche,,/awards/luum_awards/2024/campaigns/world-rainforest-day-nigerian-conservation-foundation-x3m-ideas-2024/
Luum Awards,2024,Silver,Causes - Fundraising Advocacy - Film,Te doy mi corazA3n,9 DAas,CBRE CC NerviA3n Plaza,,,/awards/luum_awards/2024/campaigns/te-doy-mi-coraza3n-cbre-cc-nervia3n-plaza-9-daas-2024/
Luum Awards,2024,Silver,Health Wellness - Organ Donation Education Awareness - Film,Te doy mi corazA3n,9 DAas,CBRE CC NerviA3n Plaza,,,/awards/luum_awards/2024/campaigns/te-doy-mi-coraza3n-cbre-cc-nervia3n-plaza-9-daas-2024-2/
Luum Awards,2024,Silver,Planet - Promoting Clean Water and Sanitation,Changing our habits,AG Partners Dakar,DAlAgation de laTMUnion europAenne au SAnAgal,,,/awards/luum_awards/2024/campaigns/changing-our-habits-dalagation-de-latmunion-europaenne-au-sanagal-ag-partners-dakar-2024/
Luum Awards,2024,Silver,Institutional Communication,Changing our habits,AG Partners Dakar,DAlAgation de laTMUnion europAenne au SAnAgal,,,/awards/luum_awards/2024/campaigns/changing-our-habits-dalagation-de-latmunion-europaenne-au-sanagal-ag-partners-dakar-2024-2/
Luum Awards,2024,Silver,Planet - Responsible Consumption and Production,Zero Waste Advertising a Find out the extraordinary in you,Agencia Sensei,Blue Whale,,,/awards/luum_awards/2024/campaigns/zero-waste-advertising-a-find-out-the-extraordinary-in-you-blue-whale-agencia-sensei-2024/
Luum Awards,2024,Silver,Planet - Planet - Campaigns,Noticias que no deben existir,AQM AGENCY,PerAo cero tecnopor,,,/awards/luum_awards/2024/campaigns/noticias-que-no-deben-existir-perao-cero-tecnopor-aqm-agency-2024/
Luum Awards,2024,Silver,Essence of the Message - Equality - Effectiveness,CA3digo Diabetes,Arteaga Arteaga,Sanofi,AnAbal E QuiAones Juan Carlos LA3pez Noel Cassanova Krystal Zapata Carlos Fillipetti,,/awards/luum_awards/2024/campaigns/ca3digo-diabetes-sanofi-arteaga-arteaga-2024/
Luum Awards,2024,Silver,Health Wellness - Health Wellness Education Awareness - Radio,Sing the News,BeautifulBeast,FundaciA3n CardiolA3gica Argentina,Flor Leibaschoff-Diego Duprat Thiago Magnini DamiAn Ivachinni-Flor Leibaschoff Victoria Acosta Leandro Aspis-Damian Minckas FAbrica de Canciones PapaMusic,,/awards/luum_awards/2024/campaigns/sing-the-news-fundacia3n-cardiola3gica-argentina-beautifulbeast-2024/
Luum Awards,2024,Silver,Health Wellness - Health Wellness Education Awareness - Radio,Foreign Announcer Radio Campaign,BeautifulBeast,Colon Cancer Coalition,Flor Leibaschoff-Diego Duprat Thiago Magnini-Lexi Harper Salma Gottfried-Victoria Acosta Victor MaciAs-Gio Locatelli Deaf Mule Studio,,/awards/luum_awards/2024/campaigns/foreign-announcer-radio-campaign-colon-cancer-coalition-beautifulbeast-2024/
Luum Awards,2024,Silver,Planet - Climate Action - Print,ACT NOW BEFORE IT MELTS,Boomerang,GREENPEACE,Samira RafiSophia Maazouz Mehdi Bouayad Kacihi Fettah,,/awards/luum_awards/2024/campaigns/act-now-before-it-melts-greenpeace-boomerang-2024/
