Festival,Year,Track,Title,Brand,Agency,Country,Award
Luum Awards,2025,Causes,Glowing Relief,Alivia Health,De la Cruz - Ogilvy,Puerto Rico,GRAND PRIX
Luum Awards,2025,Health Wellness,First Boda,My Dawa,Ogilvy Africa Network,Kenya,GRAND PRIX
Luum Awards,2025,Health Wellness,Aspirina Fortenite,Aspirina,BBDO,Guatemala,GOLD
Luum Awards,2025,Health Wellness,Assana Colorectal and Gut Wellness Launch Campaign,Abhishek D Shah,be positive 24 Innovation Design,India,GOLD
Luum Awards,2025,Health Wellness - Campaigns,R3ST,Alianza por el sueno Idorsia,Buenosaires,Spain,GOLD
Luum Awards,2025,Health Wellness Education Awareness - Design,R3ST,Alianza por el sueno Idorsia,Buenosaires,Spain,GOLD
Luum Awards,2025,Causes,Freedom,Fundacion La Libertad,Buzz,Costa Rica,GOLD
Luum Awards,2025,Causes,Glowing Relief,Alivia Health,De la Cruz - Ogilvy,Puerto Rico,GOLD
Luum Awards,2025,Planet,Forest Carbon - In Tune with Nature,Forest Carbon,Design Bridge and Partners,Singapore,GOLD
Luum Awards,2025,Health Wellness,Check Your Kiwis,Zespri,Design Bridge and Partners,Singapore,GOLD
Luum Awards,2025,Essence of the Message,Doors of Opportunity,Soles4Souls,FUSE Create,Canada,GOLD
Luum Awards,2025,Essence of the Message,DEIctionary,Belong Lab,Inbrax,Chile,GOLD
Luum Awards,2025,Planet,Back Home,Imperial,Joystick FIFCO,Costa Rica,GOLD
Luum Awards,2025,Essence of the Message,Back Home,Imperial,Joystick FIFCO,Costa Rica,GOLD
Luum Awards,2025,Causes,Back Home,Imperial,Joystick FIFCO,Costa Rica,GOLD
Luum Awards,2025,Institutional Communication,Escape Room Loneliness,La Caixa Foundation,Manifiesto,Spain,GOLD
Luum Awards,2025,Institutional Communication,No Rerun Button,Fundacion Incluyemecom,MGC Global Group,Chile,GOLD
Luum Awards,2025,Causes,Life Music,Yayasan Konservasi Alam Nusantara YKAN,Moonfolks,Indonesia,GOLD
Luum Awards,2025,Society,Renaming History,Colsubsidio - Bibliotecas,MullenLowe Group,Colombia,GOLD
Luum Awards,2025,Essence of the Message,First Boda,My Dawa,Ogilvy Africa Network,Kenya,GOLD
Luum Awards,2025,Health Wellness,First Boda,My Dawa,Ogilvy Africa Network,Kenya,GOLD
Luum Awards,2025,Causes,First Boda,My Dawa,Ogilvy Africa Network,Kenya,GOLD
Luum Awards,2025,Health Wellness,Days that never return,For a Peru without Cancer,Orange Latam,Peru,GOLD
Luum Awards,2025,Health Wellness,Drink and Drive,CVC Chevrolet,Prosper Comunicasao,Brazil,GOLD
Luum Awards,2025,Essence of the Message,Unsilenced Rooms,Movimiento de Valientes,Publicidad Comercial MullenLowe,El Salvador,GOLD
Luum Awards,2025,Essence of the Message,People At Work,Instituto Mulher em Construsao,Publicis,Brazil,GOLD
Luum Awards,2025,Health Wellness,The Worlds Largest Lost Found,Pfizer,Publicis Health,United States,GOLD
Luum Awards,2025,Planet,The 46 Pine Tree,SOH Conservacion,The Table By De Ferrari Borrell,Dominican Republic,GOLD
Luum Awards,2025,Causes - PR-CRM,The 46 Pine Tree,SOH Conservacion,The Table By De Ferrari Borrell,Dominican Republic,GOLD
Luum Awards,2025,Causes - Design,The 46 Pine Tree,SOH Conservacion,The Table By De Ferrari Borrell,Dominican Republic,GOLD
Luum Awards,2025,Health Wellness,Cartas de Vida,Ingenium,WILD,Mexico,GOLD
Luum Awards,2025,Human Rights,Meet Icarus,The CLEO Institute,Zubi Advertising - VML,United States,GOLD
Luum Awards,2025,Causes,Meet Icarus,The CLEO Institute,Zubi Advertising - VML,United States,GOLD
Luum Awards,2025,Human Rights,Pink Star Rating,Reliance General Insurance,a t o m Network,India,SILVER
