Festival,Year,Track,Title,Brand,Agency,Country,Award,Permalink
Luum Awards,2025,Causes,Glowing Relief,Alivia Health,De la Cruz - Ogilvy,Puerto Rico,GRAND PRIX,/awards/luum_awards/2025/campaigns/glowing-relief-alivia-health-de-la-cruz-ogilvy-2025/
Luum Awards,2025,Health Wellness,First Boda,My Dawa,Ogilvy Africa Network,Kenya,GRAND PRIX,/awards/luum_awards/2025/campaigns/first-boda-my-dawa-ogilvy-africa-network-2025/
Luum Awards,2025,Health Wellness,Aspirina Fortenite,Aspirina,BBDO,Guatemala,GOLD,/awards/luum_awards/2025/campaigns/aspirina-fortenite-aspirina-bbdo-2025/
Luum Awards,2025,Health Wellness,Assana Colorectal and Gut Wellness Launch Campaign,Abhishek D Shah,be positive 24 Innovation Design,India,GOLD,/awards/luum_awards/2025/campaigns/assana-colorectal-and-gut-wellness-launch-campaign-abhishek-d-shah-be-positive-24-innovation-design-2025/
Luum Awards,2025,Health Wellness - Campaigns,R3ST,Alianza por el sueno Idorsia,Buenosaires,Spain,GOLD,/awards/luum_awards/2025/campaigns/r3st-alianza-por-el-sueno-idorsia-buenosaires-2025/
Luum Awards,2025,Health Wellness Education Awareness - Design,R3ST,Alianza por el sueno Idorsia,Buenosaires,Spain,GOLD,/awards/luum_awards/2025/campaigns/r3st-alianza-por-el-sueno-idorsia-buenosaires-2025-2/
Luum Awards,2025,Causes,Freedom,Fundacion La Libertad,Buzz,Costa Rica,GOLD,/awards/luum_awards/2025/campaigns/freedom-fundacion-la-libertad-buzz-2025/
Luum Awards,2025,Causes,Glowing Relief,Alivia Health,De la Cruz - Ogilvy,Puerto Rico,GOLD,/awards/luum_awards/2025/campaigns/glowing-relief-alivia-health-de-la-cruz-ogilvy-2025-2/
Luum Awards,2025,Planet,Forest Carbon - In Tune with Nature,Forest Carbon,Design Bridge and Partners,Singapore,GOLD,/awards/luum_awards/2025/campaigns/forest-carbon-in-tune-with-nature-forest-carbon-design-bridge-and-partners-2025/
Luum Awards,2025,Health Wellness,Check Your Kiwis,Zespri,Design Bridge and Partners,Singapore,GOLD,/awards/luum_awards/2025/campaigns/check-your-kiwis-zespri-design-bridge-and-partners-2025/
Luum Awards,2025,Essence of the Message,Doors of Opportunity,Soles4Souls,FUSE Create,Canada,GOLD,/awards/luum_awards/2025/campaigns/doors-of-opportunity-soles4souls-fuse-create-2025/
Luum Awards,2025,Essence of the Message,DEIctionary,Belong Lab,Inbrax,Chile,GOLD,/awards/luum_awards/2025/campaigns/deictionary-belong-lab-inbrax-2025/
Luum Awards,2025,Planet,Back Home,Imperial,Joystick FIFCO,Costa Rica,GOLD,/awards/luum_awards/2025/campaigns/back-home-imperial-joystick-fifco-2025/
Luum Awards,2025,Essence of the Message,Back Home,Imperial,Joystick FIFCO,Costa Rica,GOLD,/awards/luum_awards/2025/campaigns/back-home-imperial-joystick-fifco-2025-2/
Luum Awards,2025,Causes,Back Home,Imperial,Joystick FIFCO,Costa Rica,GOLD,/awards/luum_awards/2025/campaigns/back-home-imperial-joystick-fifco-2025-3/
Luum Awards,2025,Institutional Communication,Escape Room Loneliness,La Caixa Foundation,Manifiesto,Spain,GOLD,/awards/luum_awards/2025/campaigns/escape-room-loneliness-la-caixa-foundation-manifiesto-2025/
Luum Awards,2025,Institutional Communication,No Rerun Button,Fundacion Incluyemecom,MGC Global Group,Chile,GOLD,/awards/luum_awards/2025/campaigns/no-rerun-button-fundacion-incluyemecom-mgc-global-group-2025/
Luum Awards,2025,Causes,Life Music,Yayasan Konservasi Alam Nusantara YKAN,Moonfolks,Indonesia,GOLD,/awards/luum_awards/2025/campaigns/life-music-yayasan-konservasi-alam-nusantara-ykan-moonfolks-2025/
Luum Awards,2025,Society,Renaming History,Colsubsidio - Bibliotecas,MullenLowe Group,Colombia,GOLD,/awards/luum_awards/2025/campaigns/renaming-history-colsubsidio-bibliotecas-mullenlowe-group-2025/
Luum Awards,2025,Essence of the Message,First Boda,My Dawa,Ogilvy Africa Network,Kenya,GOLD,/awards/luum_awards/2025/campaigns/first-boda-my-dawa-ogilvy-africa-network-2025-2/
Luum Awards,2025,Health Wellness,First Boda,My Dawa,Ogilvy Africa Network,Kenya,GOLD,/awards/luum_awards/2025/campaigns/first-boda-my-dawa-ogilvy-africa-network-2025-3/
Luum Awards,2025,Causes,First Boda,My Dawa,Ogilvy Africa Network,Kenya,GOLD,/awards/luum_awards/2025/campaigns/first-boda-my-dawa-ogilvy-africa-network-2025-4/
Luum Awards,2025,Health Wellness,Days that never return,For a Peru without Cancer,Orange Latam,Peru,GOLD,/awards/luum_awards/2025/campaigns/days-that-never-return-for-a-peru-without-cancer-orange-latam-2025/
Luum Awards,2025,Health Wellness,Drink and Drive,CVC Chevrolet,Prosper Comunicasao,Brazil,GOLD,/awards/luum_awards/2025/campaigns/drink-and-drive-cvc-chevrolet-prosper-comunicasao-2025/
Luum Awards,2025,Essence of the Message,Unsilenced Rooms,Movimiento de Valientes,Publicidad Comercial MullenLowe,El Salvador,GOLD,/awards/luum_awards/2025/campaigns/unsilenced-rooms-movimiento-de-valientes-publicidad-comercial-mullenlowe-2025/
Luum Awards,2025,Essence of the Message,People At Work,Instituto Mulher em Construsao,Publicis,Brazil,GOLD,/awards/luum_awards/2025/campaigns/people-at-work-instituto-mulher-em-construsao-publicis-2025/
Luum Awards,2025,Health Wellness,The Worlds Largest Lost Found,Pfizer,Publicis Health,United States,GOLD,/awards/luum_awards/2025/campaigns/the-worlds-largest-lost-found-pfizer-publicis-health-2025/
Luum Awards,2025,Planet,The 46 Pine Tree,SOH Conservacion,The Table By De Ferrari Borrell,Dominican Republic,GOLD,/awards/luum_awards/2025/campaigns/the-46-pine-tree-soh-conservacion-the-table-by-de-ferrari-borrell-2025/
Luum Awards,2025,Causes - PR-CRM,The 46 Pine Tree,SOH Conservacion,The Table By De Ferrari Borrell,Dominican Republic,GOLD,/awards/luum_awards/2025/campaigns/the-46-pine-tree-soh-conservacion-the-table-by-de-ferrari-borrell-2025-2/
Luum Awards,2025,Causes - Design,The 46 Pine Tree,SOH Conservacion,The Table By De Ferrari Borrell,Dominican Republic,GOLD,/awards/luum_awards/2025/campaigns/the-46-pine-tree-soh-conservacion-the-table-by-de-ferrari-borrell-2025-3/
Luum Awards,2025,Health Wellness,Cartas de Vida,Ingenium,WILD,Mexico,GOLD,/awards/luum_awards/2025/campaigns/cartas-de-vida-ingenium-wild-2025/
Luum Awards,2025,Human Rights,Meet Icarus,The CLEO Institute,Zubi Advertising - VML,United States,GOLD,/awards/luum_awards/2025/campaigns/meet-icarus-the-cleo-institute-zubi-advertising-vml-2025/
Luum Awards,2025,Causes,Meet Icarus,The CLEO Institute,Zubi Advertising - VML,United States,GOLD,/awards/luum_awards/2025/campaigns/meet-icarus-the-cleo-institute-zubi-advertising-vml-2025-2/
Luum Awards,2025,Human Rights,Pink Star Rating,Reliance General Insurance,a t o m Network,India,SILVER,/awards/luum_awards/2025/campaigns/pink-star-rating-reliance-general-insurance-a-t-o-m-network-2025/
Luum Awards,2025,Society,Daje aind gagner,Union Europeenne au Senegal,AG Partners Dakar,Publicis Africa Group,SILVER,/awards/luum_awards/2025/campaigns/daje-aind-gagner-union-europeenne-au-senegal-ag-partners-dakar-2025/
Luum Awards,2025,Institutional Communication - Radio,The radio national time,MCN Movimiento Civico Nacional,BBDO,Guatemala,SILVER,/awards/luum_awards/2025/campaigns/the-radio-national-time-mcn-movimiento-civico-nacional-bbdo-2025/
Luum Awards,2025,Institutional Communication,The radio national time,MCN Movimiento Civico Nacional,BBDO,Guatemala,SILVER,/awards/luum_awards/2025/campaigns/the-radio-national-time-mcn-movimiento-civico-nacional-bbdo-2025-2/
Luum Awards,2025,Health Wellness,Moms Heart - Mothers Day,Fundacion Cardiologica Argentina,BeautifulBeast,United States,SILVER,/awards/luum_awards/2025/campaigns/moms-heart-mothers-day-fundacion-cardiologica-argentina-beautifulbeast-2025/
