Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SHOP UNFRIEND,CENTRAL DEPARTMENT STORE,WOLF,Travel Leisure Retail Restaurants & Fast Food Chains,Grand Prix,https://cdn.filespin.io/api/v1/storyboard/7525d8f32dc64c9fa93de252b0146f8b/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SHOP UNFRIEND,CENTRAL DEPARTMENT STORE,WOLF,Travel Leisure Retail Restaurants & Fast Food Chains,Gold,https://cdn.filespin.io/api/v1/storyboard/7525d8f32dc64c9fa93de252b0146f8b/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SAVLON - THE ARTIST,ITC - SAVLON,OGILVY,Healthcare,Silver,https://cdn.filespin.io/api/v1/storyboard/9f8a6978b639411696f82604bbecdb29/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,MY GOAL,TMB BANK PUBLIC COMPANY,OGILVY,Consumer Services & Business to Business,Silver,https://cdn.filespin.io/api/v1/storyboard/2e4214dded6a4f80bbb22a3d9e17bae9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SAVLON - THE ARTIST,ITC - SAVLON,OGILVY,Healthcare,Silver,https://cdn.filespin.io/api/v1/storyboard/05a2b0521b96423cb244326824426176/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,MY GOAL,TMB BANK PUBLIC COMPANY,OGILVY,Consumer Services & Business to Business,Silver,https://cdn.filespin.io/api/v1/storyboard/061dc1085c224b65a4a99cc0671e72b8/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,DONT DIE TILL THAT DAY,CENTRAL DEPARTMENT STORE,WOLF,Single-market Campaign,Silver,https://cdn.filespin.io/api/v1/storyboard/915f8891505d46f9ab8d239289e78c2a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,MEDDLE IN THE NEW ZEALAND ELECTION,EVERY KIWI VOTE COUNTS,SPECIAL,Social Behaviour,Silver,https://cdn.filespin.io/api/v1/storyboard/41f3245a0e354c0f90748be11639f27a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,MEDDLE IN THE NEW ZEALAND ELECTION,EVERY KIWI VOTE COUNTS,SPECIAL,Breakthrough on a Budget,Silver,https://cdn.filespin.io/api/v1/storyboard/41f3245a0e354c0f90748be11639f27a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,TAKE A BABY STEP INTO PARENTING (PARK),MARS,COLENSO BBDO,Fast Moving Consumer Goods,Bronze,https://cdn.filespin.io/api/v1/storyboard/56db37f24ade41b299ff7c4668f94044/storyboard_000008.jpg
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,TAKE A BABY STEP INTO PARENTING (HOSE),MARS,COLENSO BBDO,Fast Moving Consumer Goods,Bronze,https://cdn.filespin.io/api/v1/storyboard/c7ddcdecc26140359ba5dc7dfe6ddc63/storyboard_000008.jpg
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,TAKE A BABY STEP INTO PARENTING (NIGHTCLUB),MARS,COLENSO BBDO,Fast Moving Consumer Goods,Bronze,https://cdn.filespin.io/api/v1/storyboard/46b1f1cb954548e2b01e0097f6b78255/storyboard_000008.jpg
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,PLAY,SPARK,COLENSO BBDO,Consumer Services & Business to Business,Bronze,https://cdn.filespin.io/api/v1/storyboard/8c904fd317994e8d8c39f32dc6376481/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,10 SEC DRAMA THE STOP LINE OF LOVE - SEASON 2 -,JMS/TOYOTA MOBILITY PARTS,HAKUHODO INC,Durable Consumer Goods including Automotive,Bronze,https://cdn.filespin.io/api/v1/storyboard/cb220ae1a9ff42a8bdbfb985ef01125e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,CONCENTRATION,KASIKORN LINE,GREYNJ UNITED,Consumer Services & Business to Business,Bronze,https://cdn.filespin.io/api/v1/storyboard/d253a67c016341b19cdd73c273a1b7bd/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,YOU ARE HOW YOU SLURP,UNI PRESIDENT (THAILAND) CO,ADK TAIWAN,Branded Content & Entertainment Film,Bronze,https://cdn.filespin.io/api/v1/storyboard/87856784b14a4e189d890ca4ea743e98/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,CONDOM BATTLER GORO,OKAMOTO INDUSTRIES INC,DENTSU INC,Use of Film,Bronze,https://cdn.filespin.io/api/v1/storyboard/0d5028e8dfef4f4f87509e09b7f169e7/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,GOOD MORNING WORLD,TOURISM NEW ZEALAND,SPECIAL,Use of Film,Bronze,https://cdn.filespin.io/api/v1/storyboard/15bea6dc18924549a024d26bf5654777/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,FURPHY - THE UNBELIEVABLE KICK,LION,THINKERBELL,Fast Moving Consumer Goods,Shortlist,https://cdn.filespin.io/api/v1/storyboard/a9f0e6ce1ec44ebe8bcac13f77189636/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,FREE FALL,AMART,BMF,Durable Consumer Goods including Automotive,Shortlist,https://cdn.filespin.io/api/v1/storyboard/c125b9e4c2054f2f9ad032d86297f40f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BEST CARS IN THE UNIVERSE,SUZUKI,SUZUKI,Durable Consumer Goods including Automotive,Shortlist,https://cdn.filespin.io/api/v1/storyboard/67ad941194aa40a19296966f714f0ae8/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,UP UP AND TOUPEE,VIRGIN,DDB,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://cdn.filespin.io/api/v1/storyboard/f5c166437b44492090517819fb5c3fc9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,CRAVINGS,MCDONALDS,DDB,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://cdn.filespin.io/api/v1/storyboard/17d8ef97f3c249c8a3f6ea485ba8ba4d/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SLEEPER,IAG,COLENSO BBDO,Consumer Services & Business to Business,Shortlist,https://cdn.filespin.io/api/v1/storyboard/1da0620f54a345f883a7e997c04a3efb/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,AAI - DINOSAUR VS UNICORN,AAI,DDB NEW ZEALAND,Consumer Services & Business to Business,Shortlist,https://cdn.filespin.io/api/v1/storyboard/ecf2d16e06ad44f9a24631292eef9d0e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,OVOMATIS,OVO,AMBILHATI,Consumer Services & Business to Business,Shortlist,https://cdn.filespin.io/api/v1/storyboard/fba32a40e95e4cfb892f23a56c63bbd9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,ALL ALONE,RONALD MCDONALD HOUSE CHARITIES,LEO BURNETT,Not-for-profit & Charity & Government,Shortlist,https://cdn.filespin.io/api/v1/storyboard/de6442cda54d4a32871bafb652377ecf/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BAND,RC COLA,GIGIL,Fast Moving Consumer Goods,Shortlist,https://cdn.filespin.io/api/v1/storyboard/546e281d86b043e0b3b67a83858871c2/storyboard_000008.jpg
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,HOW TO MOULD A BREAST CANCER-FREE FUTURE,PRUDENTIAL SINGAPORE,VAYNERMEDIA,Healthcare,Shortlist,https://cdn.filespin.io/api/v1/storyboard/86ee5aec08734e73a60201d255a4c3d4/storyboard_000008.jpg
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SHAKESPEARE,TOYOTA,DENTSU INC,Durable Consumer Goods including Automotive,Shortlist,https://cdn.filespin.io/api/v1/storyboard/b924fc4ab0ea47f08861483601a5d5d7/storyboard_000008.jpg
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,WHATEVER HAPPENEDSEARCH BOLIDEN,SIAMPAN GROUP,CJ WORX,Durable Consumer Goods including Automotive,Shortlist,https://cdn.filespin.io/api/v1/storyboard/37bfc7c314c74d25ad078d7da24e990f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,DAUGHTER,APPLE,TBWA\MEDIA ARTS LAB,Durable Consumer Goods including Automotive,Shortlist,https://cdn.filespin.io/api/v1/storyboard/5e49a3463a4b41e8b8a01405cddef255/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,STOP PROJECT NEW SHINKANSEN STATION FOR KAGA,KAGA CITY SHINKANSEN INITIATIVE OFFICE,DENTSU INC,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://cdn.filespin.io/api/v1/storyboard/1cd1972807ae4f0190047036efb59c07/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,GOOD MORNING WORLD,TOURISM NEW ZEALAND,SPECIAL,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://cdn.filespin.io/api/v1/storyboard/15bea6dc18924549a024d26bf5654777/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,POOJA DIDI,FACEBOOK,TAPROOT DENTSU,Media & Entertainment,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/1c68bb8856f4484fb0547fc1e08e9794?resize=178,178
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,TELEPATHY,KASIKORN LINE,GREYNJ UNITED,Consumer Services & Business to Business,Shortlist,https://cdn.filespin.io/api/v1/storyboard/6113ed7cdf2d4cf3b948d94bc75c8d6a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,K PEOPLE,KASIKORN BANK,GREYNJ UNITED,Consumer Services & Business to Business,Shortlist,https://cdn.filespin.io/api/v1/storyboard/9e28b0065ef045cb85ad28b20c9ca865/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,PLEASE ARREST ME,RIT FOUNDATION,OGILVY,Not-for-profit & Charity & Government,Shortlist,https://cdn.filespin.io/api/v1/storyboard/6b3d1fe081ef481cb8eda6dda945ba95/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE PERFECT VOICEOVERS,CAUSES FOR ANIMALS SINGAPORE,EDELMAN SINGAPORE,Not-for-profit & Charity & Government,Shortlist,https://cdn.filespin.io/api/v1/storyboard/7c33550d87b64452b4079a6dde8260b7/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,GUNFIGHT,THAI HEALTH PROMOTION FOUNDATION,ALPHA 245,Not-for-profit & Charity & Government,Shortlist,https://cdn.filespin.io/api/v1/storyboard/10225e6acadf41b9af031ec21f6c8017/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,ROKEWOOD FC,TRANSPORT ACCIDENT COMMISSION,AIRBAG,Not-for-profit & Charity & Government,Shortlist,https://cdn.filespin.io/api/v1/storyboard/d90069ac5de54acdb6dc8be7174bdd76/storyboard_000008.jpg
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SOS SAVE OUR SENTINELS,JIMMY NELSON FOUNDATION,WUNDERMAN THOMPSON,Not-for-profit & Charity & Government,Shortlist,https://cdn.filespin.io/api/v1/storyboard/e511abfbe9e34c37bd6bd7e5bc6f732b/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,HAPPY FATHERS DAY MOM,LINKAJA,ISOBAR,Viral Film,Shortlist,https://cdn.filespin.io/api/v1/storyboard/e1c96ecaf2e948549362191c735326b6/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,MAEPRANOM,PHIBOONCHAI MAEPRANOM THAI CHILI PASTE CO LTD,SOUR BANGKOK,Viral Film,Shortlist,https://cdn.filespin.io/api/v1/storyboard/e3aad7e16e234d13b091389a56090bc8/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BAND,RC COLA,GIGIL,Viral Film,Shortlist,https://cdn.filespin.io/api/v1/storyboard/546e281d86b043e0b3b67a83858871c2/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,COMEDIANS,PADAYON,GIGIL,Viral Film,Shortlist,https://cdn.filespin.io/api/v1/storyboard/a663a3eac9034bcbb68293c369ee1967/storyboard_000008.jpg?resize=600,600
Spikes Asia,2021,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,A STAR WARS EXPERIENCE FOR ALL,GLOBE TELECOM INC,WUNDERMAN THOMPSON,Viral Film,Shortlist,https://cdn.filespin.io/api/v1/storyboard/20707943448e4cffbe64dc936ede36e4/storyboard_000008.jpg?resize=600,600
