Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Spikes Asia,2022,LOCAL BRAND,GIVE A FLYBUYS,FLYBUYS,CHE PROXIMITY,Local Brand,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/6a608c75309a4a22b0d295fe5db62f50/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,LOTTO ON ICE,LOTTO,DDB NEW ZEALAND,Travel Leisure Retail Restaurants & Fast Food Chains,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/238b12f5ec464c1a9f52867ad757d109/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,A CAREER-LIMITING FILM - TIE,GLOBAL WOMEN,SAATCHI & SAATCHI,Not-for-profit & Charity & Government,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/44e730019c5144ce8a9671eb7db46f10/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,A CAREER-LIMITING FILM - COOKIE,GLOBAL WOMEN,SAATCHI & SAATCHI,Not-for-profit & Charity & Government,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/66e3e3551b754c458cc04fed87bc7dcc/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,MACHINE-GUN MOUTH,KRAFTON,DDB MUDRA,Media & Entertainment,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/f64487efc3524cdf8a1d2a897d66084f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WHEN WILL SHE BE RIGHT?,UN WOMEN AUSTRALIA,THE MONKEYS PART OF ACCENTURE SONG,Cultural Insight,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/9dbb5f79e328465e8211017a40f41bda/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,GIVE A FLYBUYS,FLYBUYS,CHE PROXIMITY,Consumer Services & Business to Business,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/6a608c75309a4a22b0d295fe5db62f50/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WHEN WILL SHE BE RIGHT?,UN WOMEN AUSTRALIA,THE MONKEYS PART OF ACCENTURE SONG,Social Film,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/8d6bafff0e9a44f18f1f9559d2c1cfbb
Spikes Asia,2022,LOCAL BRAND,SONGKRAN STRANGER - TIKTOK INTERACTIVE FILM,TIKTOK,WUNDERMAN THOMPSON,Interactive Film,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/64a66bd995844a3ea6acf96d3d1f4405/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,NISSIN CUP NOODLE 8 IN 1 COMMERCIAL,NISSIN FOOD PRODUCTS CO,DENTSU INC,Use of Film,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/a79cf6c169c5403abd28a3fefcae75a2/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,MAKE LAMB NOT WALLS,MEAT & LIVESTOCK AUSTRALIA,THE MONKEYS PART OF ACCENTURE SONG,Single-market Campaign,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/695d0d170ff44b4a8ce148f0a1de3fab
Spikes Asia,2022,LOCAL BRAND,MACHINE-GUN MOUTH,KRAFTON,DDB MUDRA,Social Behaviour,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/f64487efc3524cdf8a1d2a897d66084f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,A CAREER-LIMITING FILM,GLOBAL WOMEN,SAATCHI & SAATCHI,Cultural Insight,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/14f9a17be964452895506d644e1976fd/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,GIVE A FLYBUYS,FLYBUYS,CHE PROXIMITY,Market Disruption,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/6a608c75309a4a22b0d295fe5db62f50/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,SPACE MANU,L&P,DDB NEW ZEALAND,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/b3ba0e23ccbb4b269772d1dcb8e9a741/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MACHINE-GUN MOUTH,KRAFTON,DDB MUDRA,Media & Entertainment,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/f115b44b405d44208734ae43ef0f655e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WHEN WILL SHE BE RIGHT?,UN WOMEN AUSTRALIA,THE MONKEYS PART OF ACCENTURE SONG,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/6bb76ce069374b309dbea77cd2dd06fd/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MAKE LAMB NOT WALLS,MEAT & LIVESTOCK AUSTRALIA,THE MONKEYS PART OF ACCENTURE SONG,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/conversion/ca542612d08442c9b6198b4d96b2c61b
Spikes Asia,2022,LOCAL BRAND,A BIG IDEA THAT STUCK,SAINT-GOBAIN WEBER CO LTD,YELL ADVERTISING,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/46b8298b00fc482489b8b6ac7dce6244/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,GIVE A FLYBUYS,FLYBUYS,CHE PROXIMITY,Consumer Services & Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/6a608c75309a4a22b0d295fe5db62f50/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,A CAREER-LIMITING FILM - WINDOW,GLOBAL WOMEN,SAATCHI & SAATCHI,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/c446d9a9c9374e0b8b0004b469a1ebc5/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,A CAREER-LIMITING FILM - COOKIE,GLOBAL WOMEN,SAATCHI & SAATCHI,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/66e3e3551b754c458cc04fed87bc7dcc/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,A CAREER-LIMITING FILM - TIE,GLOBAL WOMEN,SAATCHI & SAATCHI,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/44e730019c5144ce8a9671eb7db46f10/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,MACHINE-GUN MOUTH,KRAFTON,DDB MUDRA,Social Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/f64487efc3524cdf8a1d2a897d66084f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,A CAREER-LIMITING FILM,GLOBAL WOMEN,SAATCHI & SAATCHI,Social Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/14f9a17be964452895506d644e1976fd/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,BMW BAYIERS SPRING FESTIVAL,BMW,TBWA\BOLT SHANGHAI,Branded Content & Entertainment Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/5d149716f5c445e59f84cfbf980f85f0/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,LOTTO ON ICE,LOTTO,DDB NEW ZEALAND,Use of Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/238b12f5ec464c1a9f52867ad757d109/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,GIVE A FLYBUYS,FLYBUYS,CHE PROXIMITY,Single-market Campaign,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/6a608c75309a4a22b0d295fe5db62f50/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,MACHINE-GUN MOUTH,KRAFTON,DDB MUDRA,Corporate Purpose & Social Responsibility,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/f64487efc3524cdf8a1d2a897d66084f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,LITTLE ANGELS,HYUNDAI,INNOCEAN WORLDWIDE AUSTRALIA,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/00c28009f7874d149c5232355d3db48e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,LIBRARY,VOIZ,OGILVY,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/760338bad18648ba8048da4ce050836b/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,BORN THIS WAY,LUX,WUNDERMAN THOMPSON,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/2b73a15f413f44efb6f9839c03cfd8be/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,GUILTY FREE FESTIVAL,CENTRAL DEPARTMENT STORE,WOLF,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/760280efb5cb4b1b9868feb63aff7906/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE WATCH,SKY,DDB NEW ZEALAND,Media & Entertainment,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/fe00e23da62246a08fc0fa778609ff14/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,ROCKS,BELONG,HOWATSON COMPANY,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/6ad2c3a33c774090806b9424cd77c5e7/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,TWINS,IDFC MUTUAL FUND,TBWA\INDIA,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/de7d5a1b67ff4da082227f81499d8445/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PARTY,CHEERS,GIGIL,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b39a4c109bac45a39790270020027fda/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MAQUILLAGE SHORTFILM?TOUCHING??SHISEIDO,SHISEIDO CO,SHISEIDO CO LTD,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/45e09e37e04e4df9af7a19a37a902ec1/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,RELIEF,ACTOR PHARMA,FIVE BY FIVE GLOBAL,Healthcare,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/fd82e0bb6eef43dc85ee83bf27e83b19/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,GUILTY FREE FESTIVAL,CENTRAL DEPARTMENT STORE,WOLF,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/760280efb5cb4b1b9868feb63aff7906/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE TRAINEE,THE 1 CENTRAL LIMITED,WUNDERMAN THOMPSON,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4aedbab043df42e78db521be3206cb0f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,CREAM,JOLLIBEE,GIGIL,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/d0f79f73a5a243838313f6940c96a151/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,JACKET,JOLLIBEE,GIGIL,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/772159edbb7b44028f688663fb0e871e/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,DEAR HOMOSAPIENS,GRAB,WOLF,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/7212df32a40c4cc7b4598c24bd929e6a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,COME BACK,KRUNGSRI AUTO,TBWA\THAILAND,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a9d933e894ae44b1957bbd3fc0c595af/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MASTER,SATAKE CORPORATION,GEEK PICTURES INC,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/14859306e7154aa5bcaff05f90c589cb/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,BOYS DO CRY,GOTCHA4LIFE FOUNDATION,THE HALLWAY,Not-for-profit & Charity & Government,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/1bf7feb204f94f55a1d465b8fee917e3/storyboard_000008.jpg?resize=600,600
