Track,Title,Brand,Agency,Category,Award Level,Board image
BRANDED CONTENT & ENTERTAINMENT FILM,THE COMEBACK - SHOT ON IPHONE,APPLE,TBWA\MEDIA ARTS LAB,Branded Content & Entertainment Film,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/b9ec626bb93344dba3e44fbf18d3394f/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE EYES,MONDE NISSIN (THAILAND) CO LTD,OGILVY,Consumer Goods,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/373daa245ed74f32b3bcb14758b40d4d/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,LEFT AND RIGHT,MONDE NISSIN (THAILAND) CO LTD,OGILVY,Consumer Goods,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/a02cc8a5fe2f40af8730cd3c2bd19d61/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE BATTLE,MONDE NISSIN (THAILAND) CO LTD,OGILVY,Consumer Goods,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/06a8a25996034b80be3d0bcd5df688e8/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,DUEL,NRMA,BEAR MEETS EAGLE ON FIRE,Consumer Services / Business to Business,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/ed95705db56d46da9f2307b6efb3c822/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE FIRST DIGITAL NATION,THE GOVERNMENT OF TUVALU,THE MONKEYS PART OF ACCENTURE SONG,Social Film,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/a3676a3c96c84e13b7231882df0d898c/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,LAST PERFORMANCE,PARTNERS LIFE,SPECIAL,Branded Content & Entertainment Film,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/fe5774d2661e41ba92a5683b5985ae43/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,RED IS THE NEW BLACK,TRUECALLER,THE WOMB COMMUNICATIONS,Cultural Insight,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/02f06e44bbf84174a2c528b19ced2aa9/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,WRONG RIDE,TVNZ,DENTSU CREATIVE,Media / Entertainment,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/2b0912c525d043169779f8a283a905ab/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,AIRPORT,ZEPTO,LAW & KENNETH SAATCHI & SAATCHI,Consumer Services / Business to Business,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/14601fb5490a47bdaa2ea70603d6ef60/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,CLINIC,ZEPTO,LAW & KENNETH SAATCHI & SAATCHI,Consumer Services / Business to Business,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/3d45274995304f80b0e39fb847ac96de/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE EYES,MONDE NISSIN (THAILAND) CO LTD,OGILVY,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/373daa245ed74f32b3bcb14758b40d4d/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,LEFT AND RIGHT,MONDE NISSIN (THAILAND) CO LTD,OGILVY,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/a02cc8a5fe2f40af8730cd3c2bd19d61/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE BATTLE,MONDE NISSIN (THAILAND) CO LTD,OGILVY,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/06a8a25996034b80be3d0bcd5df688e8/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE COMEBACK - SHOT ON IPHONE,APPLE,TBWA\MEDIA ARTS LAB,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/b9ec626bb93344dba3e44fbf18d3394f/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,WRONG RIDE,TVNZ,DENTSU CREATIVE,Media / Entertainment,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/2b0912c525d043169779f8a283a905ab/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE FIRST DIGITAL NATION,THE GOVERNMENT OF TUVALU,THE MONKEYS PART OF ACCENTURE SONG,Not-for-profit / Charity / Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/a3676a3c96c84e13b7231882df0d898c/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,RED IS THE NEW BLACK,TRUECALLER,THE WOMB COMMUNICATIONS,Social Behaviour,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/02f06e44bbf84174a2c528b19ced2aa9/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,ZEPTO - INDIAN STRETCHABLE TIME,ZEPTO,LAW & KENNETH SAATCHI & SAATCHI,Cultural Insight,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/98a24afa9ea149be9914fbdd84265e70/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE COMEBACK - SHOT ON IPHONE,APPLE,TBWA\MEDIA ARTS LAB,Cultural Insight,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/b9ec626bb93344dba3e44fbf18d3394f/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE FIRST DIGITAL NATION,THE GOVERNMENT OF TUVALU,THE MONKEYS PART OF ACCENTURE SONG,Corporate Purpose & Social Responsibility,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/a3676a3c96c84e13b7231882df0d898c/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,HUMAN,SCG,CHOOJAI AND FRIENDS,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/b55b395f5bc341cc8276e3ecb2b6d692/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,RED IS THE NEW BLACK,TRUECALLER,THE WOMB COMMUNICATIONS,Consumer Services / Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/02f06e44bbf84174a2c528b19ced2aa9/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,TOLL BOOTH,WAKA KOTAHI (NEW ZEALAND TRANSPORT AGENCY),FCB NEW ZEALAND,Not-for-profit / Charity / Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/73ea96ff4a5d44c6a0e30f2d2f90a52f/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,AHEAD OF TIME,BREAST CANCER ASSOCIATION,DDB,Not-for-profit / Charity / Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/486f07117c3243a7b6918e63e5b5a042/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,LOVE YOUR GUT,DUTCH MILL CO,OGILVY,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/c1e893ba804f4834bc9f968282e2d852/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,CLINIC,ZEPTO,LAW & KENNETH SAATCHI & SAATCHI,Consumer Services / Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/3d45274995304f80b0e39fb847ac96de/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,RESTAURANT,ZEPTO,LAW & KENNETH SAATCHI & SAATCHI,Consumer Services / Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/78f8c89a055749d7800824aa27432048/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,RED IS THE NEW BLACK,TRUECALLER,THE WOMB COMMUNICATIONS,Consumer Services / Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/02f06e44bbf84174a2c528b19ced2aa9/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,WORK WORK WORK,KASIKORNBANK,GREYNJ UNITED,Consumer Services / Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/5758c4fe1d804a26a72d9f761de6e4d9/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,AHEAD OF TIME,BREAST CANCER ASSOCIATION,DDB,Social Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/486f07117c3243a7b6918e63e5b5a042/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,IN LOVE WE TRUST 2,SINYI REALTY,DENTSU CREATIVE TAIWAN,Branded Content & Entertainment Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/8102c1e1d31a4015b9bb3633039f4d2f/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THOSE THAT FOLLOW - SHOT ON IPHONE 13 PRO,APPLE,TBWA\MEDIA ARTS LAB,Branded Content & Entertainment Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/b36e9c810a8e4b88bc25121c650bfcaa/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,WORK WORK WORK,KASIKORNBANK,GREYNJ UNITED,Social Behaviour,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/5758c4fe1d804a26a72d9f761de6e4d9/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,AHEAD OF TIME,BREAST CANCER ASSOCIATION,DDB,Cultural Insight,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/486f07117c3243a7b6918e63e5b5a042/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THOSE THAT FOLLOW - SHOT ON IPHONE 13 PRO,APPLE,TBWA\MEDIA ARTS LAB,Cultural Insight,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/b36e9c810a8e4b88bc25121c650bfcaa/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,LETS GO PLACES CHOICE BOMBS,TOYOTA,SAATCHI & SAATCHI,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a9037b16f6244e20b765e902063ea58a/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,CONTACT LENS,MONDE NISSIN (THAILAND) CO LTD,OGILVY,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/ea85d94652134ca1985c277fdadda289/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,WE ARE THE DESTINATION,P&O CRUISES,THE MONKEYS PART OF ACCENTURE SONG,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/75ff808fa4e44dd69fadde85d4400201/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,IF YOU SEEK CAMPAIGN,TOURISM NEW ZEALAND,DDB NEW ZEALAND,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/87add46e47fb4c4bb7ae8626422dabc2/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,LOST WORLD - IF YOU SEEK,TOURISM NEW ZEALAND,DDB NEW ZEALAND,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/9792f8faf1cc40da9034a4b4cea60573/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,UBER - UBER ONE MEMBERSHIP,UBER,SPECIAL,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/911d47ecc9ee4efea6a49d9be9bb78c3/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,WOOING JEFF,TVNZ,DENTSU CREATIVE,Media / Entertainment,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/8846e1de4d57466784ce154d21fb9862/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,RUNAWAY,NRMA,BEAR MEETS EAGLE ON FIRE,Consumer Services / Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b398921587da4e32b5a4559619b845e1/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE TAKEOVER,STAKE,BEAR MEETS EAGLE ON FIRE,Consumer Services / Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b10313089fbd478fbaa5b3b30bb542ec/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE TRUTH,CAR HERO,AUDACITY BANGKOK,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/026ec6ea158146afb9fb4dd6957d0793/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,CROCS CHOIR,CATCH,THE GLUE SOCIETY,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/2e362fa64e684fe6a25be0b1716785c1/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,GIRLS IN WHITE,CENTRAL RETAIL,CENTRAL RETAIL CORPORATION LTD,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a40e747ad4d04d7891060f1e080c4d28/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,THE MOVIES THAT MADE (FROM) US,FIVE STAR,BBDO BANGKOK,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/50843f185e694acd8a178a99a8d794ee/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,TRAFFIC,SPOTIFY,LEO BURNETT,Media / Entertainment,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4c70872da3084b75b667272078d311e0/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,TINDER LIVE YOUNG AGAIN / KONBINI GIRL,TINDER JAPAN,WIEDEN+KENNEDY,Consumer Services / Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/0d773195f5a74d9abfc1ca6c10209917/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,A ARTIFICIAL INTELLIGENCE ACADEMY,SK TELECOM,DOLPHINERS FILM,Consumer Services / Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/abe7e09c276e4b469de7fa4d224596a7/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,A DOT ARTIFICIAL INTELLIGENCE ACADEMY_HOW TO READ THE MIND,SK TELECOM,DOLPHINERS FILM,Consumer Services / Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/35e678fddfbf4788a47e47ce922d84c0/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,AHEAD OF TIME,BREAST CANCER ASSOCIATION,DDB,Not-for-profit / Charity / Government,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/486f07117c3243a7b6918e63e5b5a042/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,FIVE STAR - QUALITY TIME AGAIN,FIVE STAR,RABBITS TALE,Social Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/183de323e53a41f8b7201e263a922df7/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,WALK THE NIGHT,SAMSUNG,CHEP NETWORK,Screens & Events,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/31ddb0dcb50b4e338ba1ebc88e0b12ea/storyboard_000008.jpg
BRANDED CONTENT & ENTERTAINMENT FILM,A STEP FORWARD,BITIS,BITIS,Micro-film,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/5312e77047734c95823c9ce65abeb7c2
BRANDED CONTENT & ENTERTAINMENT FILM,WRONG RIDE,TVNZ,DENTSU CREATIVE,Branded Content & Entertainment Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/2b0912c525d043169779f8a283a905ab/storyboard_000008.jpg
