Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,SAMMAKORN NOT SANPAKORN,SAMMAKORN,CHOOJAI AND FRIENDS,Consumer Services & Business to Business,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/71b849c9bf5e494992e1c5d822b352af/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,A TRAIN OF MEMORIES,SOTETSU,SIX INC,Travel Leisure Retail Restaurants & Fast Food Chains,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/d8326ad95a5f495fa84ff087985b17c6/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,THE AIR DRUMMER,ROBINSON DEPARTMENT STORE,WOLF BKK,Travel Leisure Retail Restaurants & Fast Food Chains,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/3901aa5c33364e089393f948ae48e370/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,PLAY IT SAFE,SYDNEY OPERA HOUSE,THE MONKEYS | ACCENTURE SONG,Travel Leisure Retail Restaurants & Fast Food Chains,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/3fb1214aa8c74f888f4ad0fe0d805da7/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,THIS IS FOOTY COUNTRY,TELSTRA,THE MONKEYS | ACCENTURE SONG,Cultural Insight,Gold,https://ascentialcdn.filespin.io/api/v1/conversion/b604b610c2e04559b508f6542d94e5f8
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,THIS IS FOOTY COUNTRY,TELSTRA,THE MONKEYS | ACCENTURE SONG,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/fe6bf99940474031a9ea431ceba12dec/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,WEATHER ANYTHING,MACPAC,THE MONKEYS | ACCENTURE SONG,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/b21a483bc9ac486480ef2e8078a713e5/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,MAGIC,UBER EATS,SPECIAL,Travel Leisure Retail Restaurants & Fast Food Chains,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/7fd16e74cd8b4ed390ced1b11ead07fa/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,SHARE THE CHALLENGE,MARUBENI,DENTSU INC,Consumer Services & Business to Business,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/0811bf42f6b74d6681e6b80a02950a57/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,THE AIR DRUMMER,ROBINSON DEPARTMENT STORE,WOLF BKK,Social Film,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/3901aa5c33364e089393f948ae48e370/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,SAMMAKORN NOT SANPAKORN,SAMMAKORN,CHOOJAI AND FRIENDS,Branded Content & Entertainment Film,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/71b849c9bf5e494992e1c5d822b352af/storyboard_000008.jpg
Spikes Asia,2024,CONSUMER SERVICES BUSINESS TO BUSINESS,A TRAIN OF MEMORIES,SOTETSU,SIX INC,Local Brand,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/6590120389b7447095e7b17107796819
