Festival,Year,Track,Track slug,Title,Brand,Agency,Category,Award,Board image,Entry URL
Spikes Asia,2026,Audio & Radio,audio-radio,VOICE OF FOOD,AJINOMOTO CO.,DENTSU INC.,Audio-Led Creativity,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/4f04f56e9e2d4754b5a7a2b980a2db34/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/voice-of-food-772409
Spikes Asia,2026,Audio & Radio,audio-radio,FUTURES,MUSICIANS MAKING A DIFFERENCE,SUPERMASSIVE,Use of Audio & Radio as a Medium,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/2e8d2262dc2243928e61f870c654ce07/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/futures-769487
Spikes Asia,2026,Audio & Radio,audio-radio,VOICE OF FOOD,AJINOMOTO CO.,DENTSU INC.,Corporate Purpose & Social Responsibility,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/4f04f56e9e2d4754b5a7a2b980a2db34/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/voice-of-food-773092
Spikes Asia,2026,Audio & Radio,audio-radio,FUTURES,MUSICIANS MAKING A DIFFERENCE,SUPERMASSIVE,Social Behaviour,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/2e8d2262dc2243928e61f870c654ce07/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/futures-772405
Spikes Asia,2026,Audio & Radio,audio-radio,FUTURES,MUSICIANS MAKING A DIFFERENCE,SUPERMASSIVE,Audio-Led Creativity,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/2e8d2262dc2243928e61f870c654ce07/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/futures-769551
Spikes Asia,2026,Audio & Radio,audio-radio,AUSTRALIA'S DEADLIEST PREDATOR,TRANSPORT ACCIDENT COMMISSION,EARDRUM,Sound Design,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/579600015542448c974f5849e5c433e2?quality=85&format=webp,https://www.lovethework.com/work/entries/australias-deadliest-predator-770542
Spikes Asia,2026,Audio & Radio,audio-radio,HEARING 1945,BINGGRAE & THE MINISTRY OF PATRIOTS AND VETERANS AFFAIR,INNOCEAN,Use of Audio & Radio Technology,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b3699a401e33413f97f1dc4e8682ef8e/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/hearing-1945-771222
Spikes Asia,2026,Audio & Radio,audio-radio,HEARING 1945,BINGGRAE & THE MINISTRY OF PATRIOTS AND VETERANS AFFAIR,INNOCEAN,Cultural Engagement,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b3699a401e33413f97f1dc4e8682ef8e/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/hearing-1945-770554
Spikes Asia,2026,Audio & Radio,audio-radio,THE UNOFFICIAL OFFICIAL SOUND OF F1,STING,LEO,Audio-Led Creativity,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/ad2bed00db9e4a8c8fcec4d73a840934/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/the-unofficial-official-sound-of-f1-771305
Spikes Asia,2026,Audio & Radio,audio-radio,PRAYKINSON,VAJIRA HOSPITAL,DENTSU CREATIVE THAILAND,Cultural Engagement,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/bc46456d45ad43edb216a8f655cc6182/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/praykinson-769699
