Festival,Year,Track,Title,Brand,Agency,Category,Award,Board image,Entry URL,Permalink
Spikes Asia,2026,Innovation,VISION PULSE : SIGHT BEYOND SEEING,HYUNDAI MOTOR COMPANY,HYUNDAI MOTOR COMPANY,Early-Stage Technology,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/7f95dfe53da842fbb3a115a7c4faeba0?quality=85&format=webp,https://www.lovethework.com/work/entries/vision-pulse-sight-beyond-seeing-770579,/awards/spikes_asia/2026/campaigns/vision-pulse-sight-beyond-seeing-hyundai-motor-company-hyundai-motor-company-2026/
Spikes Asia,2026,Innovation,HAVEN,SUNCORP INSURANCE,LEO,Brand-Led Innovation,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/1c2dd1f33da546d5a9a7c8556366bc64?quality=85&format=webp,https://www.lovethework.com/work/entries/haven-770718,/awards/spikes_asia/2026/campaigns/haven-suncorp-insurance-leo-2026/
Spikes Asia,2026,Innovation,DARESCORE,MOUNTAIN DEW,LEO,Societal Innovation,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/2d017b7a37f1456db0d330ecec745d14?quality=85&format=webp,https://www.lovethework.com/work/entries/darescore-771036,/awards/spikes_asia/2026/campaigns/darescore-mountain-dew-leo-2026/
Spikes Asia,2026,Innovation,WAVES OF WILL POWERED BY NTT,NTT HUMAN INFORMATICS LABORATORIES,DENTSU INC.,Societal Innovation,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/a8f08726b34b4e5b8a6e464104b8ffa4?quality=85&format=webp,https://www.lovethework.com/work/entries/waves-of-will-powered-by-ntt-770717,/awards/spikes_asia/2026/campaigns/waves-of-will-powered-by-ntt-ntt-human-informatics-laboratories-dentsu-inc-2026/
Spikes Asia,2026,Innovation,TSUGIKI：COFFEE REBORN,TULLY'S,PR CONSULTING DENTSU,Environmental Innovation,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/d629372d7ab34bf2b9e26920e8eb51c8?quality=85&format=webp,https://www.lovethework.com/work/entries/tsugikicoffee-reborn-770520,/awards/spikes_asia/2026/campaigns/tsugikicoffee-reborn-tullys-pr-consulting-dentsu-2026/
Spikes Asia,2026,Innovation,SMART EYE CAMERA,OUI INC.,TBWA\HAKUHODO,Product Innovation,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/b55e3f82689e4dcdbd14bc4ea496d7be?quality=85&format=webp,https://www.lovethework.com/work/entries/smart-eye-camera-769951,/awards/spikes_asia/2026/campaigns/smart-eye-camera-oui-inc-tbwahakuhodo-2026/
Spikes Asia,2026,Innovation,CHEER SIGNS,CHEER SIGNS,TBWA\HAKUHODO,Societal Innovation,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/c8feabbe3b7949879999ac690bd274ea?quality=85&format=webp,https://www.lovethework.com/work/entries/cheer-signs-770585,/awards/spikes_asia/2026/campaigns/cheer-signs-cheer-signs-tbwahakuhodo-2026/
Spikes Asia,2026,Innovation,GARUDA RAKSHAK,DSP MUTUAL FUNDS,DENTSU CREATIVE,Societal Innovation,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/89bc4fc4a633468194b5cba46a8d4ffc?quality=85&format=webp,https://www.lovethework.com/work/entries/garuda-rakshak-771329,/awards/spikes_asia/2026/campaigns/garuda-rakshak-dsp-mutual-funds-dentsu-creative-2026/
Spikes Asia,2026,Innovation,SAKURA SCAN,KIRIN BEER,KIRIN BREWERY COMPANY,Environmental Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/1de049ba98d24b558834c6067c5802b0?quality=85&format=webp,https://www.lovethework.com/work/entries/sakura-scan-770716,/awards/spikes_asia/2026/campaigns/sakura-scan-kirin-beer-kirin-brewery-company-2026/
Spikes Asia,2026,Innovation,THE BREATHING WALL,TBC BANK UZBEKISTAN,FCB ARTGROUP,Environmental Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/a611be99781e44cfaa76018fb67e90b2?quality=85&format=webp,https://www.lovethework.com/work/entries/the-breathing-wall-769955,/awards/spikes_asia/2026/campaigns/the-breathing-wall-tbc-bank-uzbekistan-fcb-artgroup-2026/
Spikes Asia,2026,Innovation,DFREE HAPPEE BUDDY,DFREE,DFREE,Societal Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/5b1caf5634d7491f89e88d068992791e?quality=85&format=webp,https://www.lovethework.com/work/entries/dfree-happee-buddy-769976,/awards/spikes_asia/2026/campaigns/dfree-happee-buddy-dfree-dfree-2026/
Spikes Asia,2026,Innovation,SECOND LIFE KURA,THE BATH & BED TEAM,DENTSU INC.,Societal Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/3c8fecb11088412e9880c54b1380b919?quality=85&format=webp,https://www.lovethework.com/work/entries/second-life-kura-771372,/awards/spikes_asia/2026/campaigns/second-life-kura-the-bath-and-bed-team-dentsu-inc-2026/
Spikes Asia,2026,Innovation,TK MATES - AI FASHION COMPANION TRANSFORMING RETAIL EXPERIENCE,SWIRE PROPERTIES,SWIRE PROPERTIES,Brand-Led Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/9a907b571cf44d7b89e173616fa3e42e?quality=85&format=webp,https://www.lovethework.com/work/entries/tk-mates-ai-fashion-companion-transforming-retail-experience-770410,/awards/spikes_asia/2026/campaigns/tk-mates-ai-fashion-companion-transforming-retail-experience-swire-properties-swire-properties-2026/
Spikes Asia,2026,Innovation,MOBILIFE,MOBILIFE,MOBICOM,Fintech,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/d5f4c0362ac74775a42f1ec0023415fd?quality=85&format=webp,https://www.lovethework.com/work/entries/mobilife-770091,/awards/spikes_asia/2026/campaigns/mobilife-mobilife-mobicom-2026/
Spikes Asia,2026,Innovation,LAY'S REVIVING MITTI,LAY'S,LEO,Environmental Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/e4890d931f84403980e9402752d2a76a?quality=85&format=webp,https://www.lovethework.com/work/entries/lays-reviving-mitti-770991,/awards/spikes_asia/2026/campaigns/lays-reviving-mitti-lays-leo-2026/
Spikes Asia,2026,Innovation,SC WELLNESSNOW,STANDARD CHARTERED,DENTSU CREATIVE,Technology,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/038b667e10a44d4990a54272601109d0?quality=85&format=webp,https://www.lovethework.com/work/entries/sc-wellnessnow-770715,/awards/spikes_asia/2026/campaigns/sc-wellnessnow-standard-chartered-dentsu-creative-2026/
Spikes Asia,2026,Innovation,HAPTALE,ITOCHU CORPORATION,ITOCHU CORPORATION,Early-Stage Technology,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/ed61c38774c843739e84106970bfba7e?quality=85&format=webp,https://www.lovethework.com/work/entries/haptale-769934,/awards/spikes_asia/2026/campaigns/haptale-itochu-corporation-itochu-corporation-2026/
Spikes Asia,2026,Innovation,ORAL HEALTH MOMENT,COLGATE,NETWORK18 MEDIA & INVESTMENTS,Societal Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/cf53595d44cb4b739a93fa5632e5b48c?quality=85&format=webp,https://www.lovethework.com/work/entries/oral-health-moment-770714,/awards/spikes_asia/2026/campaigns/oral-health-moment-colgate-network18-media-and-investments-2026/
Spikes Asia,2026,Innovation,GEOPRO - POPULATION MOVEMENT ANALYSIS,MOBICOM LLC,MOBICOM,Technology,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/35ef6b0772ed48b4a27aafcdcf8fb42e?quality=85&format=webp,https://www.lovethework.com/work/entries/geopro-population-movement-analysis-770087,/awards/spikes_asia/2026/campaigns/geopro-population-movement-analysis-mobicom-llc-mobicom-2026/
Spikes Asia,2026,Innovation,ENTOUCHABLE MUSEUM,HACHIOJI VISUALLY IMPAIRED WELFARE ASSOCIATION,HACHIOJI VISUALLY IMPAIRED WELFARE ASSOCIATION,Societal Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/59b909fc167d436aa9c0afd1d21125b3?quality=85&format=webp,https://www.lovethework.com/work/entries/entouchable-museum-771375,/awards/spikes_asia/2026/campaigns/entouchable-museum-hachioji-visually-impaired-welfare-association-hachioji-visually-impaired-welfare-association-2026/
Spikes Asia,2026,Innovation,CAMPANION,KURO SNACKS,McCANN,Early-Stage Technology,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/89b1ad86568342619074aa3eb72aa48e?quality=85&format=webp,https://www.lovethework.com/work/entries/campanion-769924,/awards/spikes_asia/2026/campaigns/campanion-kuro-snacks-mccann-2026/
Spikes Asia,2026,Innovation,MOBILIFE,MOBILIFE,MOBICOM,Societal Innovation,Entrie,https://ascentialcdn.filespin.io/api/v1/conversion/809b2b027cd1499884561061e646b57c?quality=85&format=webp,https://www.lovethework.com/work/entries/mobilife-769984,/awards/spikes_asia/2026/campaigns/mobilife-mobilife-mobicom-2026-2/
