Festival,Year,Track,Title,Brand,Agency,Category,Award,Product
The Loerie Awards,2025,Design,Second Rodeo,Second Rodeo,Halo,LOGOS,Bronze,Second Rodeo
The Loerie Awards,2025,Design,Vegapro Pet Rebrand,Vegapro Pet,Boom,LOGOS,Finalist,Vegapro Pet brand
The Loerie Awards,2025,Design,Sweepsouth Rebrand,Sweepsouth,Sweepsouth T-A Shift South Pty Ltd,LOGOS,Finalist,Sweepsouth Home Services
The Loerie Awards,2025,Design,Spotlights,One to One,Bain Bunkell,LOGOS,Finalist,Lighting Studio
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,LOGOS,Finalist,Marble Cape Town
The Loerie Awards,2025,Design,Naka,Naka,Grid Worldwide,LOGOS,Finalist,Naka
The Loerie Awards,2025,Design,GG Productions Rebrand - The Goosebumps Company,GG Productions,Grid Worldwide,LOGOS,Finalist,Logo Design
The Loerie Awards,2025,Design,DStv,DStv,Grid Worldwide,LOGOS,Finalist,DStv
The Loerie Awards,2025,Design,We Are Bizarre,We Are Bizarre,Sunshinegun,LOGOS,Finalist,Advertising Agency
The Loerie Awards,2025,Design,Food for Education - Logo refresh,Foor for Education,BCKRDS Pty Ltd,LOGOS,Finalist,African Feeding Scheme
The Loerie Awards,2025,Design,Lampost Productions - Logo Refresh,Lampost Productions,BCKRDS Pty Ltd,LOGOS,Finalist,Full Service Production Company
The Loerie Awards,2025,Design,Mother of Music Festival - Logo Design,Spotify,BCKRDS Pty Ltd,LOGOS,Finalist,Music Festival
The Loerie Awards,2025,Design,The UpUp Group Logo Design,The UpUp Group,MC Saatchi Abel a division of The Up Up Group Pty Ltd,LOGOS,Finalist,Logo Design Brand
The Loerie Awards,2025,Design,We Are Bizarre,We Are Bizarre,Sunshinegun,IDENTITY PROGRAMMES,Bronze,Advertising Agency
The Loerie Awards,2025,Design,Champions Of Cheers Identity System,Tusker Lager,Dentsu Creative Kenya,IDENTITY PROGRAMMES,Bronze,Team Kenya Olympics
The Loerie Awards,2025,Design,The Luxurious Marble Circus,The Marble Group,Grid Worldwide,IDENTITY PROGRAMMES,Bronze,The Luxurious Marble Circus
The Loerie Awards,2025,Design,Basecamp Rule the Urban Wilderness,Basecamp,Sunshinegun,IDENTITY PROGRAMMES,Finalist,Outdoor Gear
The Loerie Awards,2025,Design,Samsung Prekend Special - Identity Program,Samsung,BCKRDS Pty Ltd,IDENTITY PROGRAMMES,Finalist,Live Shopping Experience
The Loerie Awards,2025,Design,54 Collective - Rebrand,54 Collective,BCKRDS Pty Ltd,IDENTITY PROGRAMMES,Finalist,Venture Capital Firm
The Loerie Awards,2025,Design,Spotify - Mother of Music MOM,Spotify,BCKRDS Pty Ltd,IDENTITY PROGRAMMES,Finalist,Music Festival
The Loerie Awards,2025,Design,DStv,DStv,Grid Worldwide,IDENTITY PROGRAMMES,Finalist,DStv
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,IDENTITY PROGRAMMES,Finalist,Marble Cape Town
The Loerie Awards,2025,Design,A Living Growing Identity,Standard Bank Mycohab,Design Bridge and Partners,IDENTITY PROGRAMMES,Finalist,Mycohab
The Loerie Awards,2025,Design,The Coolest Ihram,Saudia Airlines,Landor,IDENTITY PROGRAMMES,Finalist,Male and Female Ihrams Islamic Pilgrimage Uniform
The Loerie Awards,2025,Design,South African Startup Awards,Startup Club ZA,MakeReign,DIGITAL BRANDING,Finalist,Awards Programme
The Loerie Awards,2025,Design,THE DESERT RUNNER,adidas,Havas Middle East,POSTERS ENVIRONMENTAL GRAPHICS,Silver,DR ADIZERO BOSTON 12 DUB SHOES
The Loerie Awards,2025,Design,Retire Cash - Rhino Elephant Lion Buffalo Leopard,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Campaign Silver,Pantry
The Loerie Awards,2025,Design,Unwanted Sites,AfriSam,Promise,POSTERS ENVIRONMENTAL GRAPHICS,Bronze,Construction Materials
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Pantry
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Pantry
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Pantry
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Pantry
The Loerie Awards,2025,Design,ENS Timeless Tales,ENS,Design Bridge and Partners,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,ENS
The Loerie Awards,2025,Design,Cheetos Pants posters,Cheetos,Impact BBDO,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Cheetos
The Loerie Awards,2025,Design,SAB130 - A letter 130 years in the making,AB-InBev,Boundless - The Unlimited Agency Pty Ltd,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,SAB Corporate
The Loerie Awards,2025,Design,LumpDolls,Carrefour,Saatchi Saatchi Middle East,GENERAL DESIGN,Bronze,Dolls
The Loerie Awards,2025,Design,Bring back lost lover,Showmax,distrikt 9,GENERAL DESIGN,Finalist,Ubuthe Uzobuya
The Loerie Awards,2025,Design,Behind the Label,The Salvation Army,Clockwork,GENERAL DESIGN,Finalist,The Salvation Army
The Loerie Awards,2025,Design,--Hui Gaeb,SAB AB INBEV,Promise,GENERAL DESIGN,Finalist,Corporate
The Loerie Awards,2025,Design,The UpUp Group Signage,The UpUp Group,MC Saatchi Abel a division of The Up Up Group Pty Ltd,GENERAL DESIGN,Finalist,Brand Identity Signage
The Loerie Awards,2025,Design,The Worlds first Limescale Testing Business Card,Scalex,Shift Engage,GENERAL DESIGN,Finalist,Scalex Limescale Remover
The Loerie Awards,2025,Design,1862 Collection,Standard Bank,Design Bridge and Partners,GENERAL DESIGN,Finalist,1862 Collection
The Loerie Awards,2025,Design,GHOST TOWN,CARREFOURSA,TBWA-Istanbul,ENVIRONMENTAL SIGNAGE,Gold,RETAIL
The Loerie Awards,2025,Joe Public Wasted Food,TryJanuary,Heineken Beverages South Africa,TBWA- Hunt Lascaris,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Bronze,Savanna Cider
The Loerie Awards,2025,Joe Public Wasted Food,The Taste Thats Stood The Test Of Time,SAB ABInBev,SHIFT,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Castle Lager
The Loerie Awards,2025,Joe Public Wasted Food,Savanna Neat,Heineken Beverages South Africa,TBWA- Hunt Lascaris,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Savanna Cider
The Loerie Awards,2025,Joe Public Wasted Food,Extra CCCCold Cooler Box,SAB ABInBev,Ogilvy,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Castle Lite
The Loerie Awards,2025,Joe Public Wasted Food,Unboxing Skin,Nivea,Saatchi Saatchi Middle East,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Nivea Sun
The Loerie Awards,2025,Joe Public Wasted Food,Landfilla,MINI South Africa,VML SA,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,MINI Electric
The Loerie Awards,2025,Joe Public Wasted Food,The Coolest Ihram,Saudia Airlines,Landor,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Male and Female Ihrams Islamic Pilgrimage Uniform
The Loerie Awards,2025,Design,NEURAL MURALS,DEPARTMENT OF CULTURE AND TOURISM ABU DHABI,SERVICEPLAN MIDDLE EAST FZ-LLC,DATA INFORMATION VISUALISATION,Silver,SAADIYAT CULTURE DISTRICT
The Loerie Awards,2025,Design,Max Speed,Heineken,LePub Johannesburg,DATA INFORMATION VISUALISATION,Silver,Heineken beer
The Loerie Awards,2025,Design,The Dark Circle Sale,Home Centre,Leo Middle East,DATA INFORMATION VISUALISATION,Finalist,Furniture
The Loerie Awards,2025,Design,Ruby Blooms,Nana,Saatchi Saatchi Middle East,PUBLICATION DESIGN,Gold,Sanitary Pads
The Loerie Awards,2025,Design,--Hui Gaeb,SAB AB INBEV,Promise,PUBLICATION DESIGN,Bronze,Corporate
The Loerie Awards,2025,Design,Rewrite the Gap,ItsHerWay,Saatchi Saatchi Middle East,PUBLICATION DESIGN,Finalist,Published Books
The Loerie Awards,2025,Design,MTV Base Monster Charts,Paramount Africa,Fairchild Creative,MOTION GRAPHIC DESIGN,Finalist,MTV Base
The Loerie Awards,2025,Design,The Coolest Ihram,Saudia Airlines,Landor,MOTION GRAPHIC DESIGN,Finalist,Male and Female Ihrams Islamic Pilgrimage Uniform
The Loerie Awards,2025,Design,Stitched With Cheer,Tusker Lager,Dentsu Creative Kenya,DESIGN FOR DIGITAL,Bronze,Team Kenya Olympics
The Loerie Awards,2025,Design,NEURAL MURALS,DEPARTMENT OF CULTURE AND TOURISM ABU DHABI,SERVICEPLAN MIDDLE EAST FZ-LLC,DESIGN FOR DIGITAL,Bronze,SAADIYAT CULTURE DISTRICT
The Loerie Awards,2025,Design,Rewrite the Gap,ItsHerWay,Saatchi Saatchi Middle East,DESIGN FOR DIGITAL,Finalist,Published Books
The Loerie Awards,2025,Design,The Dark Circle Sale,Home Centre,Leo Middle East,DESIGN FOR DIGITAL,Finalist,Furniture
The Loerie Awards,2025,Design,LeHotel,Dream Hotels Resorts,One Over One,DESIGN FOR DIGITAL,Finalist,Dream Hotels Resorts
The Loerie Awards,2025,Design,The UpUp Group Website,The UpUp Group,Studio Malvah PTY LTD,DESIGN FOR DIGITAL,Finalist,UpUp Group
The Loerie Awards,2025,Design,South African Startup Awards,Startup Club ZA,MakeReign,DESIGN FOR DIGITAL,Finalist,Awards Programme
The Loerie Awards,2025,Design,AddPay,AddPay,MakeReign,DESIGN FOR DIGITAL,Finalist,Payment Solution Provider
The Loerie Awards,2025,Design,LeHotel,Dream Hotels Resorts,One Over One,DIGITAL EXPERIENCES,Finalist,Dream Hotels Resorts
The Loerie Awards,2025,Design,Audi TikTok Test Drive,Audi South Africa,Ogilvy,DIGITAL EXPERIENCES,Finalist,Audi RS 3
The Loerie Awards,2025,Design,Social Screen,Heineken,LePub Johannesburg,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,Heineken beer
The Loerie Awards,2025,Design,1862 Experience Store,Standard Bank,Design Bridge and Partners,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,1862 Experience Store
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,Marble Cape Town
The Loerie Awards,2025,Design,The Luxurious Marble Circus,The Marble Group,Grid Worldwide,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,The Luxurious Marble Circus
The Loerie Awards,2025,Design,SAB Sharp,SAB ABInBev,We Are Bizarre Pty Ltd,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,SAB Sharp
The Loerie Awards,2025,Design,Stitched With Cheer,Tusker Lager,Dentsu Creative Kenya,FABRIC DESIGN,Grand Prix,Team Kenya Olympics
The Loerie Awards,2025,Design,Cheetos Pants,Cheetos,Impact BBDO,FABRIC DESIGN,Silver,Cheetos
The Loerie Awards,2025,Design,The Coolest Ihram,Saudia Airlines,Landor,FABRIC DESIGN,Bronze,Male and Female Ihrams Islamic Pilgrimage Uniform
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,FABRIC DESIGN,Finalist,Marble Cape Town
The Loerie Awards,2025,Design,African Bank Fashionable Banking,African Bank,House of Brave,FABRIC DESIGN,Finalist,Fashionable Banking
The Loerie Awards,2025,Design,Phones Down Picnic,SAB ABInBev,Joe Public,FABRIC DESIGN,Finalist,Brutal Fruit Spritzer
