Festival,Year,Track,Title,Brand,Agency,Category,Award,Product,Permalink
The Loerie Awards,2025,Design,Second Rodeo,Second Rodeo,Halo,LOGOS,Bronze,Second Rodeo,/awards/the_loerie_awards/2025/campaigns/second-rodeo-second-rodeo-halo-2025/
The Loerie Awards,2025,Design,Vegapro Pet Rebrand,Vegapro Pet,Boom,LOGOS,Finalist,Vegapro Pet brand,/awards/the_loerie_awards/2025/campaigns/vegapro-pet-rebrand-vegapro-pet-boom-2025/
The Loerie Awards,2025,Design,Sweepsouth Rebrand,Sweepsouth,Sweepsouth T-A Shift South Pty Ltd,LOGOS,Finalist,Sweepsouth Home Services,/awards/the_loerie_awards/2025/campaigns/sweepsouth-rebrand-sweepsouth-sweepsouth-t-a-shift-south-pty-ltd-2025/
The Loerie Awards,2025,Design,Spotlights,One to One,Bain Bunkell,LOGOS,Finalist,Lighting Studio,/awards/the_loerie_awards/2025/campaigns/spotlights-one-to-one-bain-bunkell-2025/
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,LOGOS,Finalist,Marble Cape Town,/awards/the_loerie_awards/2025/campaigns/marble-cape-town-marble-cape-town-grid-worldwide-2025/
The Loerie Awards,2025,Design,Naka,Naka,Grid Worldwide,LOGOS,Finalist,Naka,/awards/the_loerie_awards/2025/campaigns/naka-naka-grid-worldwide-2025/
The Loerie Awards,2025,Design,GG Productions Rebrand - The Goosebumps Company,GG Productions,Grid Worldwide,LOGOS,Finalist,Logo Design,/awards/the_loerie_awards/2025/campaigns/gg-productions-rebrand-the-goosebumps-company-gg-productions-grid-worldwide-2025/
The Loerie Awards,2025,Design,DStv,DStv,Grid Worldwide,LOGOS,Finalist,DStv,/awards/the_loerie_awards/2025/campaigns/dstv-dstv-grid-worldwide-2025/
The Loerie Awards,2025,Design,We Are Bizarre,We Are Bizarre,Sunshinegun,LOGOS,Finalist,Advertising Agency,/awards/the_loerie_awards/2025/campaigns/we-are-bizarre-we-are-bizarre-sunshinegun-2025/
The Loerie Awards,2025,Design,Food for Education - Logo refresh,Foor for Education,BCKRDS Pty Ltd,LOGOS,Finalist,African Feeding Scheme,/awards/the_loerie_awards/2025/campaigns/food-for-education-logo-refresh-foor-for-education-bckrds-pty-ltd-2025/
The Loerie Awards,2025,Design,Lampost Productions - Logo Refresh,Lampost Productions,BCKRDS Pty Ltd,LOGOS,Finalist,Full Service Production Company,/awards/the_loerie_awards/2025/campaigns/lampost-productions-logo-refresh-lampost-productions-bckrds-pty-ltd-2025/
The Loerie Awards,2025,Design,Mother of Music Festival - Logo Design,Spotify,BCKRDS Pty Ltd,LOGOS,Finalist,Music Festival,/awards/the_loerie_awards/2025/campaigns/mother-of-music-festival-logo-design-spotify-bckrds-pty-ltd-2025/
The Loerie Awards,2025,Design,The UpUp Group Logo Design,The UpUp Group,MC Saatchi Abel a division of The Up Up Group Pty Ltd,LOGOS,Finalist,Logo Design Brand,/awards/the_loerie_awards/2025/campaigns/the-upup-group-logo-design-the-upup-group-mc-saatchi-abel-a-division-of-the-up-up-group-pty-ltd-2025/
The Loerie Awards,2025,Design,We Are Bizarre,We Are Bizarre,Sunshinegun,IDENTITY PROGRAMMES,Bronze,Advertising Agency,/awards/the_loerie_awards/2025/campaigns/we-are-bizarre-we-are-bizarre-sunshinegun-2025-2/
The Loerie Awards,2025,Design,Champions Of Cheers Identity System,Tusker Lager,Dentsu Creative Kenya,IDENTITY PROGRAMMES,Bronze,Team Kenya Olympics,/awards/the_loerie_awards/2025/campaigns/champions-of-cheers-identity-system-tusker-lager-dentsu-creative-kenya-2025/
The Loerie Awards,2025,Design,The Luxurious Marble Circus,The Marble Group,Grid Worldwide,IDENTITY PROGRAMMES,Bronze,The Luxurious Marble Circus,/awards/the_loerie_awards/2025/campaigns/the-luxurious-marble-circus-the-marble-group-grid-worldwide-2025/
The Loerie Awards,2025,Design,Basecamp Rule the Urban Wilderness,Basecamp,Sunshinegun,IDENTITY PROGRAMMES,Finalist,Outdoor Gear,/awards/the_loerie_awards/2025/campaigns/basecamp-rule-the-urban-wilderness-basecamp-sunshinegun-2025/
The Loerie Awards,2025,Design,Samsung Prekend Special - Identity Program,Samsung,BCKRDS Pty Ltd,IDENTITY PROGRAMMES,Finalist,Live Shopping Experience,/awards/the_loerie_awards/2025/campaigns/samsung-prekend-special-identity-program-samsung-bckrds-pty-ltd-2025/
The Loerie Awards,2025,Design,54 Collective - Rebrand,54 Collective,BCKRDS Pty Ltd,IDENTITY PROGRAMMES,Finalist,Venture Capital Firm,/awards/the_loerie_awards/2025/campaigns/54-collective-rebrand-54-collective-bckrds-pty-ltd-2025/
The Loerie Awards,2025,Design,Spotify - Mother of Music MOM,Spotify,BCKRDS Pty Ltd,IDENTITY PROGRAMMES,Finalist,Music Festival,/awards/the_loerie_awards/2025/campaigns/spotify-mother-of-music-mom-spotify-bckrds-pty-ltd-2025/
The Loerie Awards,2025,Design,DStv,DStv,Grid Worldwide,IDENTITY PROGRAMMES,Finalist,DStv,/awards/the_loerie_awards/2025/campaigns/dstv-dstv-grid-worldwide-2025-2/
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,IDENTITY PROGRAMMES,Finalist,Marble Cape Town,/awards/the_loerie_awards/2025/campaigns/marble-cape-town-marble-cape-town-grid-worldwide-2025-2/
The Loerie Awards,2025,Design,A Living Growing Identity,Standard Bank Mycohab,Design Bridge and Partners,IDENTITY PROGRAMMES,Finalist,Mycohab,/awards/the_loerie_awards/2025/campaigns/a-living-growing-identity-standard-bank-mycohab-design-bridge-and-partners-2025/
The Loerie Awards,2025,Design,The Coolest Ihram,Saudia Airlines,Landor,IDENTITY PROGRAMMES,Finalist,Male and Female Ihrams Islamic Pilgrimage Uniform,/awards/the_loerie_awards/2025/campaigns/the-coolest-ihram-saudia-airlines-landor-2025/
The Loerie Awards,2025,Design,South African Startup Awards,Startup Club ZA,MakeReign,DIGITAL BRANDING,Finalist,Awards Programme,/awards/the_loerie_awards/2025/campaigns/south-african-startup-awards-startup-club-za-makereign-2025/
The Loerie Awards,2025,Design,THE DESERT RUNNER,adidas,Havas Middle East,POSTERS ENVIRONMENTAL GRAPHICS,Silver,DR ADIZERO BOSTON 12 DUB SHOES,/awards/the_loerie_awards/2025/campaigns/the-desert-runner-adidas-havas-middle-east-2025/
The Loerie Awards,2025,Design,Retire Cash - Rhino Elephant Lion Buffalo Leopard,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Campaign Silver,Pantry,/awards/the_loerie_awards/2025/campaigns/retire-cash-rhino-elephant-lion-buffalo-leopard-pantry-grid-worldwide-2025/
The Loerie Awards,2025,Design,Unwanted Sites,AfriSam,Promise,POSTERS ENVIRONMENTAL GRAPHICS,Bronze,Construction Materials,/awards/the_loerie_awards/2025/campaigns/unwanted-sites-afrisam-promise-2025/
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Pantry,/awards/the_loerie_awards/2025/campaigns/retire-cash-pantry-grid-worldwide-2025/
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Pantry,/awards/the_loerie_awards/2025/campaigns/retire-cash-pantry-grid-worldwide-2025-2/
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Pantry,/awards/the_loerie_awards/2025/campaigns/retire-cash-pantry-grid-worldwide-2025-3/
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Pantry,/awards/the_loerie_awards/2025/campaigns/retire-cash-pantry-grid-worldwide-2025-4/
The Loerie Awards,2025,Design,ENS Timeless Tales,ENS,Design Bridge and Partners,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,ENS,/awards/the_loerie_awards/2025/campaigns/ens-timeless-tales-ens-design-bridge-and-partners-2025/
The Loerie Awards,2025,Design,Cheetos Pants posters,Cheetos,Impact BBDO,POSTERS ENVIRONMENTAL GRAPHICS,Finalist,Cheetos,/awards/the_loerie_awards/2025/campaigns/cheetos-pants-posters-cheetos-impact-bbdo-2025/
